chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,government of jamaica,21,3,5,0,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
2,# a new approach : # # # national security policy for jamaica,61,13,15,1,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
3,"# # # # # towards a secure & prosperous nation - - - - - professor anthony clayton from the institute for sustainable development, university of the west indies mona was engaged as lead consultant to the project",211,39,42,2,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
4,"# # # # # a vision for national security to establish a safe and secure environment for the people of jamaica, so that together we can build a prosperous and progressive society, founded on democracy and liberty, justice and the rule of law, responsibility and respect for human rights and dignity. reviewed and updated through a consultative process by the national security policy coordination unit ( cabinet office ) and the ministry of national security. professor anthony clayton from the institute for sustainable development, - - - - -",542,90,99,3,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
5,# # table of contents _ executive summary.......................................................... 4 _ introduction.......................................................... 6,176,12,130,4,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
6,updating the national security policy..................................... 9 environmental analysis................................................ 10 assessing probabilities and impacts...........................,213,13,130,4,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
7,.......... 11 total expected impact metric........................................... 13 _ tier 1 threats ( clear and present dangers ).................................... 16 _ assessing tier 1..................,211,22,130,4,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
8,................................... 16 homicide........................................................... 17 organised crime & gangs...........................,160,8,130,4,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
9,"................... 19 corruption fraud, extortion & money laundering............................ 20 the impact of crime on the economy.................................... 21 calculating the cost of crime.....................",225,22,130,4,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
10,....................... 22 the role of national security in enabling development...................... 26 key recommendations................................................ 28 1. remove profit from crime................,220,19,130,4,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
11,........................ 28 2. reform the justice system...................................... 35 3. policing by consent............................................ 41 4. anti - gang strategies..,195,18,130,4,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
12,......................................... 46 5. focus on at - risk communities.................................... 53 6. strengthen systems of governance................................ 57 _ tier,195,18,130,4,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
13,"2 threats ( major potential threats )....................................... 58 _ traditional threats................................................... 60 organised crime, terrorism, narco - terrorism.................",218,18,130,4,jamaica_2013_SecurityStrategy.md,2025-01-28 18:54:00
