chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# national defense program guidelines for fy 2019 and beyond december 18, * * 2018 * *",86,17,21,0,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
2,"# # i. ndpg ' s objective japan since the end of world war ii has consistently treaded the path of a peaceloving nation. this has been accomplished by the persistent efforts of our forerunners under the principle of maintaining peace. the most consequential responsibility of the government of japan is to maintain japan ' s peace and security, to ensure its survival and to defend to the end japanese nationals ' life, person and property of its nationals and territorial land, waters and airspace. this is the foremost responsibility that japan must fulfill as a sovereign nation. carrying out this responsibility by exerting efforts on its own accord and",657,110,130,1,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
3,"initiative is at the very heart of japan ' s national security. japan ' s defense capability is the ultimate guarantor of its security and the clear representation of the unwavering will and ability of japan as a peace - loving nation. and maintaining japan ' s peace and security is an essential premise for its prosperity. at present, security environment surrounding japan is changing at extremely high speeds. changes in the balance of power in the international arena are accelerating and becoming more complex, and uncertainty over the existing order is increasing. in addition, rapid expansion in the use of new domains, which are space, cyberspace and electromagnetic spectrum is poised to",697,113,130,1,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
4,"fundamentally change the existing paradigm of national security, which has prioritized responses in traditional, physical domains, which are land, sea and air. even under these circumstances, japan will vigorously march forward as a peaceloving nation. to do so, japan, amid the dramatically changing security environment, needs to fundamentally strengthen its national defense architecture with which to protect, by exerting efforts on its own accord and initiative, life, person and property of its nationals, territorial land, waters and airspace, and its sovereignty and independence, thereby expanding roles japan can fulfill. today, no country can preserve its security by itself alone. strengthening the japan",716,102,130,1,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
5,"- u. s. alliance as well as security cooperation with other countries are critical to japan ' s national security, and this cannot be achieved without japan ' s own efforts. the international community also expects japan to play roles that are commensurate with its national power. in strengthening its defense capability, japan must squarely face the aforementioned realities of national security and ensure necessary and sufficient quality and quantity so as to build a truly effective defense capability that does not lie on a linear extension of the past. in particular, it has become essential that japan achieve superiority in new domains, which are space, cyberspace and electromagnetic spectrum. to build",712,112,130,1,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
6,"a new defense capability that combines strengths across all domains, japan needs to engage in a transformation at a pace that is fundamentally different from the past, completely shedding the thinking that relies on traditional division among land, sea, and air. on the other hand, given the rapidly aging population with declining birthrates and severe fiscal situation, japan cannot strengthen its defense capability without thorough rationalization that does not dwell on the past. the japan - u. s. alliance, together with japan ' s own defense architecture, continues to be the cornerstone of japan ' s national security. as stated above, japan ' s fulfillment of its foremost responsibility as a",701,111,130,1,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
7,"sovereign nation is the very way to fulfill its roles under the japan - u. s. alliance and further enhance the alliance ' s ability to deter and counter threats, and is a foundation upon which to strategically promote security cooperation in line with the vision of free and open indo - pacific. based on the foregoing thoughts, the government, in line with "" on national security strategy "" ( approved by the national security council and the cabinet on december 17, 2013, and hereinafter referred to as "" national security strategy "" ), hereby sets forth the "" national defense program guidelines for fy 2019 and beyond "" as the new guidelines",645,113,130,1,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
8,regarding how japan ' s national defense ought to be to form the foundation of japan ' s future.,96,19,22,1,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
9,# ii. security environment surrounding japan,44,6,9,2,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
10,"# # 1. characteristics of current security environment in the international community, interdependency among countries further expands and deepens. on the other hand, thanks to further growth of national power of such countries as china, changes in the balance of power are accelerating and becoming more complex, thereby increasing uncertainty over the existing order. against such a backdrop, prominently emerging are inter - state competitions across the political, economic and military realms, in which states seek to shape global and regional order to their advantage as well as to increase their influence. these inter - state competitions occur on a continuous basis : in conducting interstate competitions, states leverage various means",745,111,130,3,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
11,"such as undermining other country ' s sovereignty using military and law - enforcement entities, and manipulating foreign country ' s public opinion by exploiting social media. also, the so - called gray - zone situations are becoming persistent over a long period of time, playing out as part of interstate competitions. they may possibly further increase and expand. such gray - zone situations harbor the risk of rapidly developing into graver situations without showing clear indications. in addition, methods employed to alter the status quo, such as "" hybrid warfare, "" that intentionally blur the boundaries between the military and non - military realms are forcing affected actors to take complex measures not",718,114,130,3,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
12,"limited to military ones. driven by rapid technological innovation in information & communications and other fields, military technologies are showing remarkable advances. against the backdrop of such technological advances, contemporary warfare increasingly features capabilities combined across all domains : not only land, sea and air but also new domains, which are space, cyberspace and electromagnetic spectrum. aiming to improve overall military capability, states are seeking to gain superiority in technologies that undergird capabilities in new domains. since space and cyber domains are widely used for civilian purposes, if stable use of these domains is impeded, it may entail serious consequences for the safety of state and its citizens. due to",759,110,130,3,japan_2019_NationalDefenseProgramGuidelines.md,2025-01-28 18:57:27
