chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"[ provisional translation as of january 17, 2023 ]",50,9,13,0,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
2,"# defense buildup program december 16, 2022 table of contents i program guidelines ii major programs regarding sdf ’ s capabilities 1 stand - off defense capabilities 2 integrated air and missile defense capabilities 3 unmanned defense capabilities 4 cross - domain operation capabilities ( 1 ) capabilities in the space domain ( 2 ) capabilities in the cyber domain ( 3 ) capabilities in the electromagnetic domain ( 4 ) capabilities in the ground, maritime, and air domains 5 command and control / intelligence - related functions ( 1 ) enhancing command and control functions ( 2 ) enhancing information gathering and analysis functions ( 3 ) responses to integrated information warfare with special regard to the cognitive dimension 6 mobile",745,122,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
3,deployment capabilities / civil protection 7 sustainability and resiliency ( 1 ) procurement of various ammunitions ( 2 ) securing fuel ( 3 ) improving the operational availability of defense equipment ( 4 ) facilities improvement [UNK] organization of self - defense forces ( sdf ) 1 joint operation structure 2 japan ground self - defense force ( gsdf ) ( 1 ) level of defense capability to possess ( 2 ) reorganization of the major units 3 japan maritime self - defense force ( msdf ) ( 1 ) level of defense capability to possess ( 2 ) reorganization of the major units 4 japan air and space self - defense force ( asdf ) 1 - - - -,634,121,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
4,"- [ provisional translation as of january 17, 2023 ] ( 1 ) level of defense capability to possess ( 2 ) reorganization of the major units 5. optimizing organizational capacity iv strengthening the japan - u. s. alliance 1 strengthening japan - u. s. defense cooperation 2 steady implementation of measures to support stationing of u. s. forces in japan v collaboration with like - minded countries and others 1 bilateral / multilateral training and exercises 2 equipment and technology cooperation 3 capacity building assistance vi elements supporting defense capabilities 1 training and exercises 2 reinforcing collaboration and cooperation with the japan coast guard 3 collaboration with local communities 4 reinfor",717,112,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
5,"##cing policy making functions vii protection of life, person and property of japanese nationals / utilizing defense capability and measures for global security cooperation 1 measures to large - scale disasters 2 efforts for maritime security and use of the airspace based on existing international rules 3 international peace cooperation activities [UNK] new measures for early deployment of defense equipment [UNK] defense production and technological base as virtually integral part of a defense capability 1 reinforcing defense production base 2 reinforcing defense technological base ( 1 ) stand - off defense capabilities ( 2 ) capabilities to respond to hgvs, etc. ( 3 ) capabilities to respond to drones and swarm attacks ( 4 ) measures for unmanned assets",764,119,133,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
6,"( 5 ) measures for next - generation fighter aircraft ( 6 ) reinforcing other deterrence and response capabilities 3 promoting transfer of defense equipment and technology 4 promotion of various measures and institutional development [UNK] reinforcing the foundation for sdf personnel, to fulfill abilities as core of defense capabilities 2 - - - - - [ provisional translation as of january 17, 2023 ] 1 reinforcing human resource base ( 1 ) reinforcement of recruitment measures ( 2 ) utilization of sdf reserve personnel and others ( 3 ) effective use of human resources ( 4 ) improvement of living and working environment, etc. ( 5 ) human resource development ( 6 )",669,114,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
7,"improving treatment and reemployment 2 transformation of medical functions xi optimization efforts 1 equipment 2 personnel xii quantities of major procurement xiii expenditures xiv notes appendix 1 appendix 2 appendix 3 3 - - - - - [ provisional translation as of january 17, 2023 ] * * i. program guidelines * * in accordance with the “ national defense strategy ” ( approved by the national security council and cabinet on december, 16, 2022 ), japan will fundamentally reinforce its “ multi - domain defense force, ” through the synergy of organically integrated capabilities including space, cyber, and electromagnetic domains, and is capable of sustained conduct of flexible and strategic",693,111,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
8,"activities during all phases from peacetime to armed contingencies, focusing on the capabilities of our opponents and new ways of warfare. by fy 2027 or by five years from now, japan will strengthen its defense capabilities to the point at which japan is able to take the primary responsibility for dealing with invasions against its nation, and disrupt and defeat such threats while gaining support of its ally and others. furthermore, in approximately 10 years from now, japan will make further efforts to better attain this defense objective and will reinforce its defense capabilities to the point at which it will be possible to disrupt and defeat invasions against its nation much earlier and at a",703,116,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
9,"further distance. given the guiding thoughts above, ministry of defense / self - defense forces ( hereinafter referred to as “ mod / sdf ” ) will effectively and efficiently build, maintain and operate defense capabilities based on the following program guidelines. 1 the functions and capabilities required for the defense of japan are, firstly, japan needs capabilities with which to disrupt and defeat invading forces over long distances, thereby defending invasion itself. japan therefore will reinforce “ stand - off defense capabilities ” and “ integrated air and missile defense capabilities ”. secondly, should deterrence fail and invasion of japan occur, japan would need to ensure asymmetric advantage by",714,110,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
10,"leveraging, in addition to these capabilities, manned as well as unmanned assets and gain superiority across domains such as underwater, surface, and air. to this end, japan will reinforce “ unmanned defense capabilities, ” “ crossdomain operation capabilities, ” and “ command and control / intelligence related functions ”. lastly, japan would also need to operate in a swift as well as persistent manner so as to force the opponent to give up invasion. for this, japan will reinforce “ mobile deployment capabilities / civil protection ” and 4 - - - - - [ provisional translation as of january 17, 2023 ] “ sustainability and resiliency. ”",642,108,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
11,"additionally, japan will also place emphasis on the defense production and technology base, characterized as virtually integral part of a defense capability, as well as areas such as the human resource base that supports our defense capability. 2 in procuring equipment, by properly combining the introduction of new, high performance equipment, along with life extension and improvement of existing equipment, mod / sdf will efficiently secure necessary and sufficient quality and quantity of defense capability. in this regard, mod / sdf will strengthen its project management throughout its equipment life - cycle, including during its research and development activities, and reduce the life - cycle costs to improve cost - effectiveness.",742,111,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
12,"in addition, mod / sdf will steadily realize acceleration of defense equipment deployment which is particularly urgent and significant from a policy perspective of the areas that could directly affect the sdf ' s current and future ways of warfare by incorporating advanced civilian technologies. 3 in the face of japan ’ s aging population with a declining birth rate, and with no prospect of an increase in the number of recruits, mod / sdf will comprehensively promote various measures to reinforce human resource base such as strengthening recruitment efforts, utilizing sdf reserve personnel and others, promoting women ’ s participation, raising the retirement age for uniformed sdf personnel, utilizing diverse and distinguished personnel",745,114,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
13,"including retired uniformed sdf personnel, improving living and working environment, developing the human resources, improving treatments, and supporting reemployment, etc. 4 to further reinforce the joint deterrence capabilities of japan and the united states in an integrated manner, japan will promote cooperation, etc. related to cross - domain operations, including space, cyber, and electromagnetic domains. in addition, in order to reinforce the infrastructure to support effective joint response capabilities in all phases, japan will reinforce efforts related to information security and cybersecurity, as well as equipment and technology cooperation to 5 - - - - - [ provisional translation as of january 17",717,103,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
14,", 2023 ] promote information sharing between japan and the united states. in addition, measures to support the stationing of u. s. forces in japan will be steadily implemented. in line with the vision of the free and open indo - pacific ( foip ), to strategically promote multifaceted and multilayered security operations, japan will further promote establishing policy frameworks such as reciprocal access agreement ( raa ), acquisition and cross servicing agreement ( acsa ), general security of ( military ) information agreement ( gsomia / gsoia ), and transfer of defense equipment and technology agreement, while also promoting defense cooperation and",657,103,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
15,"exchanges including bilateral / multilateral training and exercises, defense equipment and technology cooperation, capacity building, and interchanges among military branches. 5 in fundamentally reinforcing defense capabilities, japan will, while adhering to scrap - and - build approach, optimize sdf ’ s organization and authorized strength as well as equipment. we will also further our ongoing efforts toward more efficient procurement, which have achieved significant cost reductions. in addition, to account for japan ’ s aging population with a declining birth rate, japan will robustly promote automation, labor - saving and optimization. * * [UNK] major programs regarding sdf ’ s capabilities * * in",709,104,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
16,"order for japan to buildup defense capabilities to the point at which japan is able to take the primary responsibility for dealing with invasions against its nation, and disrupt and defeat such threats while gaining support of its ally and others by fy 2027. japan will place emphasis on implementing the following major programs listed from 1 to 7 in fundamentally reinforcing defense capabilities. 1 stand - off defense capabilities in order to reinforce capabilities to conduct diverse responses from outside of the threat envelope and against vessels and landing forces invading japan, mod / sdf will continue development and production of the prototype of upgraded type - 12 surface - to - ship missile ( develop surface",725,118,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
17,"-, ship -, and air - to - ship models ), upgraded hyper 6 - - - - - [ provisional translation as of january 17, 2023 ] velocity gliding projectile and hypersonic missiles. mod / sdf will extend the ranges of its various missiles, such as by upgrading hyper velocity gliding projectile and hypersonic missiles. in order to fundamentally reinforce defense capability as soon as possible, mod / sdf will procure mass - produced rounds for the abovementioned standoff missiles, and will also continue to steadily procure foreign - made stand - off missiles, such as u. s. - made tomahawks.",585,102,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
18,"in addition, mod / sdf will proceed research and development for further diversifying launch platforms, and will develop and procure vertical missile launch system ( vls ) that can be equipped on submarines and a system that can be equipped on transport aircraft, aiming to improve the operational capability of standoff missiles. in order to ensure the effectiveness of stand - off defense capabilities, mod / sdf will enhance functions of information collection and analysis as well as command and control by acquiring imagery intelligence, etc. using satellite constellations and introducing unmanned aerial vehicles ( uav ) and target observation rounds, from the perspective of effective collection of target information. since",732,111,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
19,"the operation of these stand - off missiles requires a series of command and control including the collection of target information and the assignment of targets to each unit to be conducted in a unified manner, a posture based on joint operation will be established. in addition, a series of functions necessary for the development and operation of stand - off missiles will be established by building additional ammunition storage facilities for storing stand - off missiles and other equipment, as well as facilities necessary for testing and maintenance, including securing facilities that can be used for livefiring. 2 integrated air and missile defense capabilities in order to enhance capabilities to detect and track threats such as hypersonic glide",757,119,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
20,"vehicles ( hgv ), mod / sdf will procure and upgrade ground - based warning and control radars ( fps ) etc., as well as procure a future warning and control radar. in addition, mod / sdf will improve its capability to respond to hgvs and other such weapons with interceptor missiles with upgraded capabilities ( pac - 3 mse ) by upgrading the 7 - - - - - [ provisional translation as of january 17, 2023 ] surface - to - air guided missile patriot system and introducing a new radar ( ltamds ). in order to respond more effectively to various situations, mod",558,106,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
21,"/ sdf will begin reviewing the organization and deployment of fire units and establish a multi - layered air defense system in key areas together with mid - range ground - to - air guided missile units, and conduct unit operations for deployment from peacetime. mod / sdf will also promote the upgrade of base air defense surface - to - air missile ( sam ). in addition, research and studies will be conducted on a guided missile system which is capable of responding to hgvs and other such weapons at the glide phase. in order to enhance the capability to respond to hgvs and other such weapons, mod / sdf will upgrade the",623,114,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
22,"type 03 medium - range surfaceto - air guided missile ( modified ), and also procure missiles such as interceptor missiles for ballistic missile defense ( sm - 3 block iia ), interceptors with upgraded capabilities ( pac - 3mse ), and long - range ship - to - air missiles ( sm - 6 ). to achieve effective and efficient response through networking, mod / sdf will acquire a network system that enables fire control network between destroyers and other vessels ( fc network ) and will possess cooperative engagement capability ( cec ). in addition, by modifying the information coordination central ( icc ) of the surface - toair guided",635,112,130,1,japan_2022_DefenseBuildupProgram.md,2025-01-28 18:54:45
