chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,тиркеме ( кыргыз республикасынын президентинин 2021 - жылдын 20декабрындагы пж № 570 * жарлыгына ) *,100,16,78,0,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
2,# кыргыз республикасынын улуттук коопсуздук концепциясы,55,6,50,1,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
3,"# # [UNK] улуттук коопсуздукту камсыз кылуу кыргыз [UNK] коргоо, элдин улуттук [UNK] сактоо, кыргызстандын андан ары туруктуу, ар тараптуу жана ырааттуу [UNK], ошондои эле",171,25,130,2,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
4,региондо коопсуздукту жана туруктуулукту талаптагыдаи [UNK] колдоп туруу [UNK] [UNK] процесс болуп саналат. улуттук коопсуздукту камсыз кылуу системасынын натыи,160,19,130,2,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
5,"##жалуулугу, сапаты жана анын жалпысынан туруктуу иштеши кыргыз республикасынын [UNK] ролуна жана ордуна расмии таанылган [UNK] караштардан, анын улуттук баалуулуктары",167,20,132,2,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
6,"##нан, кызыкчылыктарынан жана максаттарынан, [UNK], региондо жана [UNK] болуп [UNK] [UNK] эске алуу менен тышкы жана ички реалдуу жана потенциалдуу коркунучтарга каршы турууну",175,23,132,2,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
7,##н ыкмаларынан жана каражаттарынан [UNK] каранды. чакырыктардын жана коркунучтардын трансформациясы улуттук коопсуздук концепциянын жана анын негизинде иштели,159,17,132,2,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
8,"##п чыккан пландардын, доктриналардын жана стратегиялардын актуалдуулугуна [UNK] талдоо [UNK] талап кылат. улуттук коопсуздуктун чакырыктарын жана коркунучтарыны",161,17,132,2,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
9,"##н алдын алуу боюнча чаралар бул концепцияны ишке ашыруу [UNK] иштелип чыккан пландарга, стратегияларга жана доктриналарга [UNK] [UNK] жана толуктоолорду [UNK] жолу менен толу",176,24,132,2,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
10,"##кталышы [UNK] жана толукталууга тиииш. мындаи мамиленин натыижасында гана концепцияны ишке ашыруу коомду сактоого, адамдык потенциалды [UNK], жарандардын жашоо",161,19,132,2,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
11,"сапатын жана бакубаттуулугун жогорулатууга, [UNK] коргонуу [UNK], элдин ынтымагын жана биримдигин [UNK], [UNK] улуттук максаттарын аткарууга, атаандашуу [UNK] жана эл аралык",173,21,130,2,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
12,аброиду жогорулатууга максималдуу [UNK] [UNK].,46,5,36,2,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
13,# # 1. жалпы жоболор 1. 1. концепцияда колдонулуучу негизги [UNK] концепцияда [UNK] негизги [UNK] колдонулат : кыргыз республикасынын улуттук коопсуздук концепциясы -,166,23,130,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
14,"жашоотурмуштун бардык [UNK] узак [UNK] келечекке карата тышкы жана ички коркунучтардан инсандын, коомдун жана мамлекеттин коопсуздугун камсыз кылуу боюнча макс",159,20,130,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
15,"##аттарга жана милдеттерге [UNK] караштардын расмии кабыл алынган системасы ; улуттук коопсуздук - инсандын, коомдун жана мамлекеттин жашоого [UNK] кызыкчылыктары",162,20,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
16,##нын тышкы жана ички коркунучтардан корголушунун кепилдик кылынган абалы ; улуттук кызыкчылыктар - узак [UNK] келечекке карата мамлекеттин тышкы жана ички сая,159,22,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
17,"##сатынын негизги максаттарын, стратегиялык жана [UNK] маселелерин аныктаган [UNK] жыиындысы, аларды ишке ашыруунун натыижасында инсандын, коомдун жана мамлекет",160,18,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
18,"##тин болушу жана [UNK] [UNK] [UNK] [UNK] камсыз кылынат ; улуттук коопсуздуктун коркунучтары - инсандын, коомдун жана мамлекеттин жашоого [UNK] кызыкчылыктарына коркунуч жарату",177,23,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
19,##учу шарттардын жана факторлордун жыиындысы ; улуттук коопсуздукту камсыз кылуу - мамлекеттик биилик органдарынын жарандык институттар жана уюмдар менен,153,19,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
20,"[UNK] ара [UNK] улуттук коопсуздуктун коркунучтарына каршы [UNK] багытталган саясии, укуктук, аскердик, социалдык - экономикалык, маалыматтык, уюштуруучулук жана б",163,19,130,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
21,##ашка чараларды ишке ашыруусу ; улуттук коопсуздукту камсыз кылуу системасы - мыизам чыгаруу жана аткаруу органдарынын укуктук ченемдеринин жана принципт,154,20,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
22,"##еринин, ошондои эле улуттук кызыкчылыктарды [UNK] коргоону камсыз кылуучу каражаттардын, ыкмалардын жана багыттардын атаиын [UNK] жана негиз салуучу жыиынды",158,19,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
23,"##сы ; экономикалык коопсуздук - ар кандаи коркунучтардын таасири астында туруктуу иштешин камсыз кылуучу, социалдык - экономикалык процесстерди [UNK] башкар",157,20,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
24,"##ууну калыптандырууга, коомдук муктаждыктарды зарыл болгон масштабдарда канааттандырууга, улуттук жана эл аралык [UNK] инсандын, коомдун жана мамлекеттин эк",157,18,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
25,"##ономикалык кызыкчылыктарын коргоого [UNK] [UNK] экономиканын абалы ; маалыматтык коопсуздук - инсандын, коомдун жана мамлекеттин маалыматтык коркунучтардан ко",160,18,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
26,##рголгон абалы ; азык - [UNK] коопсуздугу - республиканын азык - [UNK] [UNK] карандысыздыгы камсыз кылынган жана тамак - аш азыктарын [UNK] белгиленген минималдуу ченемдерин,174,25,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
27,##е ылаиык калк [UNK] азык - [UNK] физикалык жана экономикалык [UNK] кепилдик берилген экономиканын абалы ; энергетикалык коопсуздук - [UNK] [UNK] отун жана энергия менен [UNK] жана [UNK] камсыз,194,29,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
28,"кылууда [UNK] энергетикалык [UNK] карандысыздыгы камсыз кылынган экономиканын абалы ; коррупция - социалдык укукка каршы [UNK], ал негизинен [UNK] мыизам бузуу [UNK] билдирилет",176,23,130,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
29,". ага пара алуу, опузалоо же [UNK] гана эмес, жарандардан жана мамлекеттен материалдык баалуулуктарды уурдоо да кирет. ал мамлекеттин [UNK] болбогон саясии, эконом",163,23,130,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
30,"##икалык жана социалдык укуктук мамилелердин [UNK] системасы, анын натыижасында финансылык, материалдык жана башка ресурстардын олуттуу мыизамсыз ( коррупция",157,18,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
31,##лык ) [UNK] камсыз кылынат ; экологиялык коопсуздук - [UNK] болуучу терс антропогендик жана табигыи таасирлерден жаратылыш [UNK] жана адамдын жашоого [UNK] кызыкчылыктары,172,23,132,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
32,"##нын корголгон абалы ; демографиялык коопсуздук - демографиялык коркунучтардан инсандын, коомдун жана мамлекеттин корголгон абалы.",131,15,114,3,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
33,"# # 1. 2. улуттук коопсуздукту камсыз кылуунун укуктук негиздери бул концепциянын укуктук негизин кыргыз республикасынын конституциясы, "" улуттук кооп",150,20,130,4,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
34,"##суздук [UNK] "" кыргыз республикасынын мыизамы, кыргыз республикасынын мыизамдары жана башка ченемдик укуктук актылары, ошондои эле кыргыз республикасынын м",157,19,132,4,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
35,##ыизамдарына ылаиык [UNK] кирген эл аралык келишимдер [UNK].,61,8,47,4,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
36,# # 2. улуттук коопсуздукту камсыз кылуу [UNK] учурдагы абал 2. 1. кыргыз республикасы заманбап [UNK] кыргызстан эл аралык коомчулукка кошулуу менен ага [UNK] [UNK]. кыргыз р,174,27,130,5,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
37,##еспубликасы жаигашкан регион туруксуздуктун [UNK] толкундары менен [UNK]. кыргыз республикасы [UNK] мамлекет менен чектешет. жети облустун ар бири чек аралык аимак,165,21,132,5,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
38,"болуп саналат, 40 административдик раиондун 8 раиону гана [UNK] мамлекеттер менен чектешпеит. кыргызстандын чектеринин алкагы жана анын [UNK] курчоосу боюнча кырг",162,21,130,5,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
39,##ыз республикасынын улуттук коопсуздугунун абалына [UNK] же кыиыр таасирин [UNK] ар кандаи процесстер [UNK]. мамлекеттер аралык мамилелер жана региондор аралык баилан,167,21,132,5,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
40,"##ыштардын мурда [UNK] системасына коронавирустун пандемиясы олуттуу таасирин тиигизди, ал болуп [UNK] адамдык жана экономикалык жоготууларга алып келип, [UNK] саясатта",168,20,132,5,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
41,"ар кандаи процесстердин катализатору болуп калды. эл аралык соода карантиндин киргизилиши, [UNK] [UNK] кыскарышы, [UNK] ташуулардын чектелиши жана суроо - талаптын к",165,22,130,5,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
42,"##ыскарышы менен шартталган [UNK] туш болду. мунаи затка баалар кескин арзандап, фондулук рыноктордун кыироосуна алып келди. соодалык [UNK] жана протекционисттик тен",165,21,132,5,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
43,"##денциялар кыила [UNK] алды. [UNK] бир мезгилдин аралыгында [UNK] [UNK] коммерциялык ишмердиктин [UNK] шарттарын киргизип жатышты, анын ичинде медициналык товарларды экспорт",174,21,132,5,kyrgyzstan_2021_OnTheConceptofNationalSecurity_noneng.md,2025-01-28 18:57:55
