chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,ministry of defence of the republic of latvia,45,8,10,0,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
2,# the national defence concept,30,5,7,1,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
3,# # approved by the cabinet of ministers 24 may 2016 adopted by the saeima 16 june 2016 - - - - - - - - - - ministry of defence of the republic of latvia,153,36,40,2,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
4,# tional defence concept,24,4,7,3,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
5,# # approved by the cabinet of ministers 24 may 2016 adopted by the saeima 16 june 2016 - - - - - - - - - -,107,28,32,4,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
6,"# # # introduction 1. the national defence concept is a policy planning document prepared on the basis of the military threat analysis. it defi nes the strategic goals, core principles, priorities and general measures undertaken for defence of the state during times of peace, threats and war. 2. the national defence concept has been developed pursuant to article 29 of the law on national security and is based on the military threat analysis. the national defence concept has been developed taking into account geopolitical situation of latvia, national security and foreign policy goals, as well as obligations of latvia within the north atlantic treaty organisation ( hereinafter − nato ) and",697,112,130,5,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
7,"in the european union ( hereinafter − the eu ). 3. the national defence concept is the basis for national defence policy. political and operational measures, allocation of necessary resources, development of the national armed forces ( hereinafter − naf ) are all based on the national defence concept. cooperation amongst executive authorities, state administration, local municipalities, as well as the readiness and actions undertaken by individual and legal entities during times of peace, threats and war, are outlined in the national defence concept. implementation of the national defence measures will be ensured in accordance with available resources, eff ecting functions and tasks of the na",701,106,130,5,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
8,##f that are stipulated by law. - - - - -,41,11,16,5,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
9,"# # # 1. international security environment 4. the current international security environment is characterised by interdependence amongst states, rapid change with outcomes that are diffi cult to predict and by the diversity of security challenges. security challenges arise both from states and non - governmental organisations that use both conventional and asymmetric warfare elements. the world is becoming increasingly multipolar and sooner or later this may lead to changes in the existing international order. 5. together with the nato and the eu allies, latvia has faced the deterioration of the european security environment caused by the russian aggression in ukraine. by changing the internationally recognised borders and not comply",744,110,130,6,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
10,"##ing with assumed international commitments, russia is destroying the existing international order. 6. to ensure internal stability and unite its society, russia creates and promotes the image of an external threat to its society in which nato and the eu are portrayed as the main sources of threat. this is attested also by the russian national security strategy approved on 31 december 2015. russia continues to undertake military activities outside its territory, for example, in syria, in a way that is contrary to the interests of nato and the eu. 7. russian foreign policy is a continuation of its domestic policy. the current russian policy confi rms that russia is prepared to reach its goals",701,115,132,6,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
11,"regarding its neighbouring countries by any means, including the use of military force to enforce its foreign policy and security orientation. 8. as a country of the baltic sea region latvia is most directly aff ected by what is happening in this region. contrary to the declared values and commitments undertaken in the core documents defi ning the relationship between the nato and russia, during recent years russia has extensively developed its military infrastructure and has been demonstrating its military power in the direct vicinity of latvia ’ s border. russia is striving to expand its military presence in belarus and this in turn is strengthening russia ’ s capacity to act in nato ’ s",698,116,130,6,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
12,"eastern fl ank. 9. by improving rapid response capabilities, mobility and combat readiness of the russian armed forces, by developing the - - - - - airborne and special task forces and by providing modernised combat vehicles to its armed forces in the border area with the baltic countries, russia is creating challenges to the defence of the baltic countries. 10. thus, taking into account the trends within russian internal aff airs, the increasing military presence in the vicinity of nato and the demonstrated russian willingness to use military force for achieving political goals, threats to latvia ’ s security during the validity period of this concept are increasing. 11. it is becoming",695,113,130,6,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
13,"increasingly diffi cult to distinguish between times of peace, crisis and war within the current security environment. the elements of asymmetric warfare are often diffi cult to identify ; they are generally intended to weaken the state, discredit its political administration and undermine the trust in one ’ s country. various elements of “ soft ” and “ hard ” power are used to undermine sovereign countries by means of the so - called hybrid warfare. 12. since regaining of independence, latvia has been under assault from various elements of asymmetric warfare which have intensifi ed in recent years. constantly increasing attempts by russia to erode the security",669,108,130,6,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
14,"of latvia using various methods can be identifi ed. artifi cially coordinated and managed communication ( propaganda ), psychological indoctrination, attacks in cyberspace, use of the energy industry to attain political goals, sabotaging of the economic and business environment by means of the imposition of artifi cial trade barriers and prohibitions, the provision of support to agents of infl uence and encouragement of public dissatisfaction, military activities close to the border of latvia — all these are elements of the asymmetric warfare implemented by russia. 13. russian rhetoric and military activities demonstrate russia ’ s intention to de",655,98,130,6,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
15,"##grade the trust in nato ’ s capacity to act and its effi ciency, as well as russia ’ s desire to split and weaken the unity of nato countries by positioning itself as an alternative security guarantor on the global scale. militarily russia develops and exercises capabilities that can be used to launch an unexpected military attack against the baltic countries that would split them from the rest of the nato and obstruct implementation of article 5 of the north atlantic treaty, as well as to prevent nato from securing dominance in the sea and air. - - - - - 14. signifi cant security challenges are created by the",619,111,132,6,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
16,"increasing instability in europe ’ s neighbouring regions, fl ows of illegal immigration and other cross - border threats, especially terrorism. terrorist groups like daesh ( the self - proclaimed terrorist organisation islamic state in iraq and the levant ) represent a serious threat to the security within the greater middle east region and are creating challenges for allies and partners worldwide. although this does not represent a direct military threat to latvia, there is still a risk to the safety of naf personnel who participate in inter national military missions and operations. the threat of terrorism and migration is intensifying in the nato and eu region, therefore joint and coordinated action by the allies is",729,116,130,6,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
17,"required. that can only be achieved by strengthening the unity and solidarity of nato and the eu. 15. at the same time, security threats arise from the consequences of the economic crisis. it contributed to social inequality and the decrease in population, which in turn increases both domestic and external vulnerability of latvia to external threats. - - - - -",362,61,70,6,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
18,"# # # 2. general basis of national defence 16. the purpose of the national defence system is preservation of latvia ’ s national independence and sovereignty. preservation of national independence and sovereignty is possible by engaging the entire society, by the government ’ s ability to act and the military force. national defence is the responsibility of the entire society, state institutions and the national defence system. in a timely manner deter, prevent and if necessary eliminate threats. state power ’ s capacity to act, its effi cient functioning and continuity will contribute to the achievement of this task. the state must promote and organise national military defence, promote civic confi den",712,113,130,7,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
19,"##ce and provide for direct, voluntary and broad involvement in national defence. in case of external aggression, the state uses and implements individual self - defence and collective defence rights and mechanisms adhering to the principles and order stipulated in international agreements, national and international laws and regulations. 17. integrity, willingness, and unity of the people of latvia for joint resistance are an integral expression of civic self - confi dence and national identity of latvia that has formed historically and that creates a unique and strong foundation for the national defence against any kind of aggressors. 18. it is the task of the state to develop a national defence system that",718,112,132,7,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
20,will ensure the survival of latvia as a state and will 19. the foundation of the national military defence is the naf. the naf ensures national military defence and provides support to civil society during peacetime and undertakes other assignments in accordance with laws and international treaties. - - - - -,310,52,61,7,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
21,"# # # 3. strategic principles of national defence 20. national defence is implemented according to the following strategic principles : 21. * * state ’ s capacity and will to act. in a * * situation when threats are changing and diffi cult to predict, the ability of the state power to anticipate potential threats and to respond thereto must be developed. early warning and identifi cation of threats, information exchange and interinstitutional cooperation are necessary to ensure the effi cient adoption of decisions. the willingness of society to participate in national defence and the protection of latvian sovereignty verifies that latvia",645,103,130,8,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
22,"will defend its independence if it is threatened. 22. * * deterrence policy as a mean for mini - * * * * mising external military threats. it is * * the objective of national defence to deter an adversary from their intention to use military force. an effi cient deterrence policy takes the form of a set of measures that will demonstrate to a potential adversary that the price of engaging in a military confl ict against latvia will be high and will outweigh any potential political, economic or military gains. this is ensured by the sum of individual and collective defence capabilities of all nato countries, including latvia, and allied",642,112,130,8,latvia_2016_NationalDefenceConcept.md,2025-01-28 18:55:47
