chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# comprehensive national defence in latvia * * 1. introduction * * the nature of current security threats is complex, often beyond mere military challenge, affecting areas such as information, cyberspace, functioning civic society, financial sector and other sectors. targeted activities supported by foreign - based entities and aimed at destabilising or influencing a particular state, or society, have become a part of today ' s reality. some countries have been caught applying influence, cyber attacks and other non - military means to make an impact on political processes in another country. in some countries, hybrid warfare has become an extension of foreign policy, a non - military way to",699,110,130,0,latvia_2020_NationalDefenseConcept.md,2025-01-28 18:54:16
2,"strengthen national interests abroad. the high degree of complexity of threats faced by latvia means that national defence system and its conventional forces alone will not be able to address all dimensions of hybrid threats. latvia needs a comprehensive state defence system, where all non - government and government actors are prepared to manage a crisis, ensure resilience against external impacts, resist and recover from major shocks and challenges. national defence system needs to be adjusted to solve these challenges. it must be based on trust and collaboration between people and government, the whole nation must support the state and its safety. russia is currently implementing aggressive foreign policy, strongly challenging the security across europe.",767,115,130,0,latvia_2020_NationalDefenseConcept.md,2025-01-28 18:54:16
3,"russia has interfered with democratic processes in europe and the usa, raising real concerns about similar policies being implemented towards latvia. nationally and internationally, latvia has traditionally been heavily influenced by information from russian federation, its political and economic processes, energy policy and other initiatives. such exposure, 2008 conflict in georgia and the events which began to unfold in ukraine in 2014, as well as latvia ' s choice to stick to development principles and values contradicting russia ' s interests, raise real concerns about russia ' s possible intentions to undermine domestic political processes inside latvia. * * 2. system * * comprehensive national defence ( cnd ) is designed to ensure",746,113,130,0,latvia_2020_NationalDefenseConcept.md,2025-01-28 18:54:16
4,"security and crisis preparedness across all sectors, including preparedness for military conflicts. since latvia joined the north atlantic treaty organisation, latvia has been developing its defence system through strengthening its national and collective defence capabilities. nato is the cornerstone of latvia ' s security, and comprehensive national defence will not contradict nato ' s collective defence objectives, plans and other regional initiatives. the key purpose of comprehensive national defence is to enhance latvia ' s deterrence capabilities and build resilience against possible crises or armed conflicts. * * the objective * * of cnd is to get the latvian population ready to defend the country, facilitate efficient crisis management at the national",768,112,130,0,latvia_2020_NationalDefenseConcept.md,2025-01-28 18:54:16
5,"level and support critical functions of the state, including the work of government, energy supply, health care, logistics, international relations, sustainability of defence capabilities, internal security, economy and infrastructure, psychological resilience, etc., during crisis or other emergency. these critical functions will be planned, coordinated and implemented by government bodies in partnership with private actors, ngos and inhabitants. * * the goal * * of cnd model is to identify specific defence responsibilities and roles of individual government bodies. it also strives to strengthen the ties with latvian population, business community, ngos and public administration to minimise the distrust among people towards the government bodies",755,104,130,0,latvia_2020_NationalDefenseConcept.md,2025-01-28 18:54:16
6,and between various social groups. mutual trust is essential in bringing people of different backgrounds closer together. partnership between private entities and public authorities is equally important in creating open personal contacts and contractual relations. 1 - 10 - - - - - ministry of defence should set up and coordinate a decentralised system for planning and implementation of specific activities proposed and jointly executed by government agencies. here are some proposed cnd activities : 1 ) development of military capabilities and defence strategies 2 ) closer defence cooperation between private and public sectors 3 ) introduction into statehood course for latvian schools and public awareness raising 4 ) civil protection 5 ) psychological defence 1 6 ) strategic communication 2,799,121,130,0,latvia_2020_NationalDefenseConcept.md,2025-01-28 18:54:16
7,"7 ) economic resilience 8 ) law enforcement and security agency capacity building 9 ) cyber security, etc. cnd model also extends to other areas like advanced military technologies and innovation, energy infrastructure security, personal income protection, political leadership and other fields. the scope of model may be adjusted and expanded as necessary. * * 2. 1. development of military capabilities and defence strategies ( ministry of defence, * * * * national armed forces, naf ) * * national military defence system of latvia is based on military capabilities of naf to defend latvia ' s freedom, territorial integrity and sovereignty in case of an armed conflict. current na",684,110,130,0,latvia_2020_NationalDefenseConcept.md,2025-01-28 18:54:16
8,"##f focus is on priority capabilities like special forces, military engineering, air defence, intelligence, command and control, mechanisation, indirect fire support and other capabilities. naf medium and long - term capability development priorities are described in naf development plan. priorities will be further elaborated in state defence concept 2020. national defence strategy defines how naf structures military defence. defence strategy is reviewed and updated by the ministry of defence ( mod ) and naf. mod and naf are already working on naf personnel development and enhanced role of the ng. new ng units are formed, individual equipment is acquired. defence strategy also covers other areas,",705,105,132,0,latvia_2020_NationalDefenseConcept.md,2025-01-28 18:54:16
9,"including protection of critical infrastructure and government agencies, supply security, communication infrastructure security and other fields. another critical issue for latvia ' s military defence is individual willingness to resist occupation and proactive strengthening of weaker elements of resistance. this requires full government and citizen engagement. every inhabitant of latvia should be given a specific role and position in the resistance. from naf perspective, if latvia would fully or partly lose legitimate control over its 1 psychological defence may be described as an integrated set of consistently planned and implemented activities aimed at protecting society against intentional or unintentional negative external or internal influence and undermining of people ' s will to defend",804,113,130,0,latvia_2020_NationalDefenseConcept.md,2025-01-28 18:54:16
10,"their state. 2 strategic communication consists of strategic actions aimed at reaching the strategic goals of the country, or individual government body. these actions are derived from the content of the strategy. it also involves close focus on active coordination and management of the impact of such actions on the society and specific target groups. 2 - 10 - - - - - territory during a crisis or armed conflict, resistance would be one of the ways to protect latvia. proactive development of dual use infrastructure, which can be utilised in times of crisis or war, planning and adoption of national defence and resistance models, are a part of a responsible approach. military component is",694,115,130,0,latvia_2020_NationalDefenseConcept.md,2025-01-28 18:54:16
