chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"* * national security strategy * * * * 1. general provisions * * 1. 1. the aim of the national security strategy of the republic of lithuania is to provide a vision of the state ’ s development, its national interests and the actions required for their implementation. the national security strategy establishes the basic goals and means of the national security policy. it encompasses political, diplomatic, defence, economic and other spheres of the state ’ s policy. 1. 2. the republic of lithuania implements its national security strategy through a system of long - term political provisions and means, enabling to preserve the sovereignty of the state, its territorial integrity, democratic",696,113,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
2,"constitutional order, human and civil rights and freedoms, and a safe environment of individual, by confronting security challenges, dangerous conditions, threats, crisis situations or military conflicts. 1. 3. the republic of lithuania perceives its security as preserving its sovereignty and territorial integrity, internal security and order, democratic foundations, economic security of all legal entities and population and protection of its natural environment. 1. 4. the national security strategy defines basic goals of specialised strategies and doctrines in separate areas of the state policy. these strategies must be directly based on the provisions of the national security strategy of the republic of lithuania and they must be revised every time the national",773,111,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
3,"security strategy of lithuania itself is updated. 1. 5. the agenda for the security policy of the republic of lithuania until the next review of the national security strategy will be determined by the following distinguishing features of the current security environment : 1. 5. 1. final preparations for entry into nato and the eu ; 1. 5. 2. addressing the challenge of international terrorism. * * 2. basic assumptions of security policy * * 2. 1. after five decades of occupation, the republic of lithuania restored its independence on march 11, 1990 and has since been developing as a modern, politically, economically, socially and culturally mature democracy, actively",675,109,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
4,"pursuing integration into the organisations of democratic states adhering to the same values. dismantling of the soviet bloc and the restoration of freedom and independence have created appropriate conditions for the republic of lithuania to define its security interests and policy. 2. 2. the current situation of the republic of lithuania within the international security system is as favourable as at the latter decade. the independence of the republic of lithuania is universally recognised and respected, growth in the economy is improving steadily, friendly relations and practical co - operation with the neighbours are being maintained, national minorities have been successfully integrated into lithuanian society, ten years of experience of functioning democratic institutions has been accumulated",808,116,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
5,", democratic civil control of the military has been efficiently established, and integration into the global and western institutions is advancing successfully. - - - - - 2. 3. currently the majority of traditional and new challenges to the security of the republic of lithuania are transnational in nature. internal political, military, economic, ethnic or other crises can exert a major influence upon other states both neighbouring and further afield. therefore, the republic of lithuania considers international security as indivisible and seeks to ensure its security as an integral and indispensable part of the security of the broader regional, european and global community of states. alongside the",706,107,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
6,"national efforts to ensure security, in accordance with its assets and together with the international partners, the republic of lithuania contributes to security and stability in other regions of europe, and she is resolved to accept the assistance of international partners if a crisis would arise in lithuania. therefore, the republic of lithuania pledges by mutual political, military and economic commitment, to ally with states that adhere to the same political, social, cultural, and moral values. at the same time, the republic of lithuania attaches particular importance to cooperation with all neighbouring countries with the objective of assuring the stable functioning of democracy, civil society and free market economies in these countries",753,112,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
7,". joining and participating in those international bodies that recognise and promote these values is an essential element of the national security strategy of the republic of lithuania. in this regard nato and the eu occupy a special place among such institutions with lithuanian membership in each as the highest priority. 2. 4. at present, the republic of lithuania does not observe any immediate military threat to national security and as a result does not regard any state as its enemy. the security policy of the republic of lithuania is open, transparent and non - confrontational. it is not directed against the legitimate interests of any other state. 2. 5. globalisation in relation to the",699,115,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
8,"national security of the republic of lithuania is considered as objective process, which is inevitable due to the scientific, technical, economical and other progress of mankind civilisation, the intensification of mutual interdependence of various countries and regions, and international economical, political and cultural integration processes, at large extent stipulated by above mentioned factors. the main result of globalisation in the area of security – internationalisation of factors determining world ’ s security and stability. in seeing its future as a part of secure europe and secure world, lithuania is open to the globalisation processes. globalisation does not mean automatic and total levelling of national identity",734,105,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
9,". on the contrary, it gives opportunity to enrich national culture, civilisation and societal political practice by most valuable world ’ s achievements in the corresponding areas, and, the other way round, to make best achievements of lithuania an integral part of world ’ s cultural and civilisation heritage. therefore the republic of lithuania does not consider globalisation as a threat to the national security. * * 3. security interests of the republic of lithuania * * 3. 1. vital interests. the security of the republic of lithuania is based on protection of national interests. to secure vital interests, every possible means of protection are employed. a basic prece",677,109,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
10,"##pt of national security is that failure to protect vital interests will result in _ immediate and _ _ serious threat to the existence of the state of lithuania and its people. vital interests are the _ following : 3. 1. 1. sovereignty of the republic of lithuania, territorial integrity and democratic constitutional order ; 3. 1. 2. respect and protection of human and civil rights and freedoms ; - - - - - 3. 1. 3. peace and prosperity of the state. 3. 2. primary interests. these are the interests that if not protected, could eventually affect the vital interests of the republic of lithuania. primary interests are the following",635,111,132,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
11,": 3. 2. 1. global and regional stability ; 3. 2. 2. freedom and democracy in central and eastern europe and the baltic states ; 3. 2. 3. open and predictable security policy of all countries in the euro - atlantic area ; 3. 2. 4. ensuring alternative energy supplies and supply of resources that are of strategic importance ; 3. 2. 5. a region free of environmental dangers. * * 4. challenges, dangers and threats * * 4. 1. challenges, dangers and threats that are non - military in nature arise as a consequence of globalisation, therefore, individual states cannot respond to them",582,104,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
12,"alone. such transnational factors as terrorism, organised crime, arms proliferation, drug traffic, the illegal migration, and the spread of epidemics defy state borders and become international security challenges, dangers and threats. the probability that they will continue to spread is increasing. 4. 1. 1. terrorism poses a serious security threat to the global community, and therefore to lithuania as well. however, this threat is largely external to the republic of lithuania. the internal situation and the historical heritage of lithuania do not provide conditions for the formation of a broad domestic network of terrorism. this danger stems primarily from abroad : 4. 1. 1. 1",686,105,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
13,. the republic of lithuania may become a potential target of international terrorism. acts of terrorism may be directed against infrastructure or other objects of strategic importance to national security as well as the objects of foreign states in lithuania. 4. 1. 1. 2. the republic lithuania may become a transit country for international terrorism focused on the other countries. the following circumstances could intensify the threat of domestic terrorism : 4. 1. 1. 2. 1. occurrences of political extremism in the republic of lithuania ; 4. 1. 1. 2. 2. social and economical differentiation may trigger conditions for social terrorism ( acts of such terror may,666,107,130,0,lithuania_2002_NationalSecurityStrategy.md,2025-01-28 18:54:12
