chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# w h i t e l i t h u a n i a n d e f e n c e p o l i c y,57,29,31,0,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
2,"# # p a p e r m i n i s t r y o f n a t i o n a l d e f e n c e v i l n i u s, 2 0 0 6 - - - - - | w h i t e | p a p e r 22222 udk 355 ( 474. 5 ) | | - - - | - - - | vh - 05 * * chief editor * * kæstutis paulauskas * * translators : * * giedrimas jeglinskas, kæstutis paulauskas, edmundas eapas",294,100,130,1,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
3,"* * photos : * * alfredo pliadþio, egidijaus mitkaus, kæstueio dijoko, luko kalvaieio, martyno gutniko, rieardo uzelkos, skomanto pavilionio, valentino ðlepiko, vytauto palubinsko, and other photos from the archive of the ministry of national defence * * designer * * edita namajuniene 2006 05 29. tiraþas 1000. uþsakymas gl - 217 lietuvos respublikos kraðto apsau",364,56,130,1,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
4,"##gos ministerija totoriø g. 25 / 3, lt - 01121 vilnius, www. kam. lt maketavo kam leidybos ir informacinio aprupinimo tarnyba, totoriø g. 25 / 3, lt - 01121 vilnius spausdino lk karo kartografijos centras, muitines g. 4, domeikava, lt - 54359 kauno r. isbn 9986 - 738 - 78 - 4 - - - - - | 33333 w h i t e | p a p e r | | -",323,73,133,1,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
5,- - | - - - |,13,7,9,1,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
6,# # # content,13,4,6,2,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
7,# # # # # # foreword........................................................................................................................ 5,142,8,130,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
8,1. changing global security environment..................................................................... 7 2. new role and new missions of the armed forces.........................................,200,16,130,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
9,........... 11 3. the main directions of lithuania ’ s defence policy.................................................. 15 3. 1. srengthening of euro - atlantic security.........................................,210,21,130,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
10,......................... 16 3. 2. projection of stability.......................................................................................... 19 3. 3.,157,10,130,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
11,international defence cooperation....................................................................... 21 3. 3. 1. multilateral defence cooperation...........................................,192,10,130,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
12,........................... 22 3. 3. 2. bilateral defence cooperation.......................................................................... 23 4. defence reform : building modern armed forces.......,202,17,130,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
13,.............................................. 27 4. 1. shifting from territorial to collective defence principles.......................................... 27 4. 2. new tasks and requirements for the lithuanian armed forces..............,238,23,130,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
14,................. 29 4. 3. review of the armed forces structure.................................................................. 31 4. 4. personnel management and training.........................,197,17,130,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
15,........................................... 49 4. 5. defence resources..............................................................................,148,6,130,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
16,.............. 51 4. 6. defence and society.......................................................................................... 56 5. new agenda of lithuania ’ s defence policy.....,187,17,130,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
17,......................................................... 59 abbreviations....................................................................,142,3,130,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
18,.......................................... 60 - - - - - | w h i t e | p a p e r 44444 | | - - - | - - - | - - - - - | 55555 w h i t e | p a p e r | | - - - | - - - |,165,58,104,3,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
19,"# # # foreword after we have published the last white paper, two events of enormous historical importance took place : in 2004, after more than a decade of hard and dedicated work, lithuania became a member of the north atlantic treaty organisation ( nato ) and the european union ( eu ). for a long time we have already been acting as true members of the euro - atlantic community. we have firmly adhered to democratic principles while implementing reforms, have taken an active part in international operations and confidence building measures, and have contributed to the spread of euro - atlantic stability. in 2004, our achievements received due acknowledgment. membership",677,112,130,4,lithuania_2006_WhitePaper.md,2025-01-28 18:53:58
