chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,second investigation department state security under the department of ministry of the republic of national defence lithuania,125,17,19,0,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
2,# # national threat assessment,30,5,7,1,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
3,# 2020 - - - - - second investigation department under the ministry of national defence state security department of the republic of lithuania,142,24,26,2,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
4,# # national threat assessment # 2020 - - - - -,47,12,14,3,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
5,# # # contents introduction 3 summary 4 regional security 8 military security 19 activities of hostile intelligence and security services 26 protection of constitutional order 37 information security 40 economic and energy security 48 terrorism and migration 55 global security 60 - - - - -,290,47,49,4,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
6,"# # # introduction the national security threat assessment by the second investigation depart ment under the ministry of national defence ( aotd ) and the state security department of the republic of lithuania ( vsd ) is presented to the public in accordance with the articles 8 and 26 of the law on intelligence of the repub lic of lithuania. the document provides consolidated, unclassified assessment of threats and risks to national security of the republic of lithuania prepared by both intelligence services. the document assesses events, processes and trends that make the biggest influence on national security situation in the republic of lithuania. based on them and considering the long - term",704,114,130,5,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
7,"trends affecting national security, the document provides the assessment of major challenges that the lithuanian national security is to face in the near term ( 2020 – 2021 ). the assessments of long - term trends project the perspective up to 10 years. the assessment is based on information available before 10 december 2019. the table below outlines the language of probability and definition of terms used in this assessment : | short term : 0 – 6 mont | hs near term : 6 mont | hs – 2 years mid term : | 3 – 5 years long term : 6 – 10 years | | - - - | - - - | - - - | - - - |",581,124,130,5,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
8,< 25 % 25 – 50 % 50 – 75 % > 75 % unlikely possible likely highly likely - - - - -,82,24,26,5,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
9,"# # # summary * * the main threat to lithuania ’ s national security is russia ’ s foreign and * * * * security policies driven by the kremlin ’ s desire to ensure the regime ’ s sta - * * * * bility and demonstrate its indispensability to domestic audience. while dis - * * satisfaction with declining living standards and actions of authoritarian regime in russia has been on the rise, even the largest protests in moscow in recent years have failed to mobilise a largely passive society. * * russia ’ s increasing military potential and activity in the western military * * * * district and kali",598,114,130,6,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
10,"##ningrad region, as well as its deepening military integration * * * * with belarus, has a negative impact on lithuania ’ s military security. russia * * is consistently strengthening its conventional and nuclear capabilities, deve loping new armaments and conducting large - scale exercises. russia ’ s mili tary potential and the rapid centralized decision - making create a significant advantage for russia over lithuania and other neighbouring states. * * the russian intelligence and security services that are closely cooperating * * * * with the belarusian intelligence and security services pose the main intelli - * * * * gence threat to lithuania. the system of free",677,111,133,6,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
11,"electronic visas to kaliningrad * * and st. petersburg allows russian intelligence services to collect information from visiting tourists and to look for recruitment targets. russian intelligence services not only actively collect intelligence information related to lithuania, but also seek to carry out influence activities through the russian compatriot community in lithuania. - - - - - * * ongoing malicious use of russian and chinese cyber capabilities is being * * * * observed in lithuanian cyberspace. * * the biggest threat to the security of lithuanian information systems, and the information stored in them, is the cyber espionage of the russian intelligence services. the development of 5g technology without sufficient focus",739,113,130,6,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
12,"on the trustworthiness of the it service or product provider may become a new risk factor. * * in the information domain, events that underpin lithuania ’ s statehood * * * * and testify to its resistance to the soviet occupation are the main targets of * * * * the russian propaganda and its history policy. for this reason, russian propa - * * ganda seeks to convince foreign and domestic audiences that those convicted during the case of january 1991 coup case are unduly persecuted political pri soners. * * the biggest risk to lithuania ’ s energy independence comes from rus - * * * * sia ’ s aim",602,114,130,6,lithuania_2020_NationalThreatAssessment.md,2025-01-28 18:54:27
