chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,grand - duche de luxembourg - - - - - - - - - - - - - - - - - - - - - - - - - - ministere des affaires etrangeres rapport d ' activite 2011 mars 2011 | l | le service public. | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,316,119,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
2,- - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
3,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | 1. 1 | gestion consulaire de crises a l ' etranger | | 1. 2 | assistance consulaire | | delivrance de passeports et visas, legalisations bpvl | | | 1. 3 | | | 2 | la diplomatie au service du pays. | | 2. 1 | interaction avec le parlement | | 2. 2 | soutien au gouvernement, aux ministeres et",355,95,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
4,au palais grand - ducal........................ 13 | | soutien aux organisations de promotion economique et financier du luxembourg 15 | | | 2. 3 | | | 2. 4 | la promotion culturelle a l ' etranger. | | 2. 5 | gestion du corps diplomatique et consulaire etranger a luxembourg................................,307,51,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
5,................................ 17 | | 3 | la politique et les domaines d ' action | | 3. 1 | le luxembourg dans le cadre bilateral et regional | | 3. 1. 1 | belgique. | | 3. 1. 2 | pays - bas. | | 3. 1. 3 | france. | | 3. 1. 4 | allemagne | | 3. 1. 5 | japon. | | 3. 1. 6 | print,281,71,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
6,##emps arabe | | 3. 1. 7 | proche et moyen - orient. | | 3. 1. 8 | afrique sub - saharienne. | | 3. 1. 9 | etats - unis. | | 3. 1. 10 | chine | | 3. 1. 11 | russie. | | 3. 1. 12 | norvege | | 3. 1. 13 | vietnam | | 3. 2 | le luxembourg dans l ' union europeenne | | 3. 2. 1 | la crise de la dette souveraine dans la zone euro,325,88,132,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
7,| | 3. 2. 2 | l ' elargissement de l ' union europeenne | | 3. 2. 3 | le service europeen pour l ' action exterieure ( seae ) | | 3. 2. 4 | efforts du luxembourg en faveur d ' une position unifiee de l ' union | | europeenne sur la palestine | | | 3. 2. 5 | renforcement des sanctions et situation des droits de l ' homme en iran......... 37 | | 3. 2. 6 | la coordination interminister,385,87,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
8,##ielle de la politique europeenne | | 3. 2. 7 | europaforum. lu. | | 3. 2. 8 | le luxembourg dans les organisations internationales. | | 3. 2. 9 | organisation des nations unies. | | candidature du luxembourg a un siege non - permanent du conseil de securite............ 45 | | | 3. 2. 10 | ocde. | | 3. 2. 11 | омс | | 3. 3 | le luxembourg - capitale europeenne | | 3.,370,79,132,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
9,4 | la cooperation au developpement et l ' action humanitaire | | 3. 4. 1 | la cooperation bilaterale | | 3. 4. 2 | efficacite de l ' aide. | | 3. 4. 3 | cooperation multilaterale | | 3. 4. 4 | action humanitaire. | | 3. 4. 5 | initiatives en matiere de microfinance. | | 3. 4. 6 | assises de la cooperation | | 3. 5 | la defense. | | 3. 5. 1 | reforme de l ' armee. | | 3. 6 |,377,91,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
10,l ' immigration | | les eloignements et la retention 69 | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,283,125,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
11,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
12,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
13,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
14,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
15,- - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | 4 | les moyens 72 | | 4. 1 | organisation du mae 72 | | 4. 1. 1 | organisation du mae 72,286,123,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
16,"| | - | luxembourg for business - "" ict - your european ebusiness platform "" et "" it | | security "", 9 mars 2011 74 - normes de securite ue et otan, 14 mars 2011 74 - luxembourg for business - "" propriete intellectuelle "", 7 juin 2011 74 - cooperation au developpement, 12 septembre 2011 74 - luxembourg for finance - place financiere, 28 septembre 2011 74 - securite informatique, plusieurs seances en septembre et octobre 2011 74 - amelioration de la gestion",460,86,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
17,"par la qualite sur base du modele de l ' auto - evaluation des fonctions publiques, 10 - 11 octobre 2011 74 - politique de defense du luxembourg, 13 octobre 2011 74 - carriere diplomatique - carriere et formation, 10 octobre 2011 74 - etiquette et protocole, 14 decembre 2011 74 | | | les visites de formation : 74 - visite de la chambre de commerce, 28 janvier 2011 74 - visite de jeunes diplomates au secretariat general du benelux, 24 mars 2011 74 - visite de paul",467,89,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
18,"wurth s. a., 05 avril 2011 74 - visite de arcelormittal, 06 juillet 2011 74 4. 2 personnel et reseau diplomatique 74 4. 2. 1 nouveautes du reseau diplomatique en 2011 78 4. 2. 2 personnel du ministere des affaires etrangeres 79 4. 3 budget 80 4. 4 batiments ( mae et missions diplomatiques et consulaires ) 81 | | | 5 | les technologies de l ' information 82 | | 5. 1 | site internet du mae et des missions 82 | | 5. 2 | systeme informatique",441,90,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
19,"en matiere de passeports et visas 83 | | 5. 3 | sidoc 83 | | 5. 4 | service informatique du mae 83 | | 6 | annexe : liste des visites a luxembourg 83 | | visite privee de l ' honorable dennis hastert 87 | | | visite de monsieur christian schmidt, secretaire d ' etat parlementaire au ministre federal de la defense de la republique federale d ' allemagne 87 | | | visite de travail de s. e. m. lucas papademos, premier minist",425,88,130,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
20,"##re de la republique hellenique 88 | | | visite de travail de s. e. mme helle thorning - schmidt, premier ministre du royaume du danemark 88 | | | visite de monsieur victor rashnikov, president du conseil d ' administration de la s. a. mmk, a l ' occasion de son assermentation en tant que consul honoraire du g. - d. de luxembourg avec siege a magnitogorsk 88 | | | visite de travail de dr. werner hoyer, ministre",415,80,132,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
21,"adjoint aux affaires etrangeres et president | | | designe de la banque europeenne d ' investissement 88 | | | visite de travail s. e. m. vuk jeremic, ministre des affaires etrangeres de la republique de | | | serbie 88 | |",223,44,75,0,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
22,"# # 1 * * le service public * * le ministere des affaires etrangeres, une administration de l ' etat luxembourgeois qui represente le pays a l ' etranger, met en œuvre la politique etrangere dont les principales orientations se trouvent definies dans le programme de gouvernement, et fournit, dans certains domaines, un service au public et assiste les citoyens et residents luxembourgeois a l ' etranger.",405,68,112,1,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
23,"# # 1. 1 gestion * * consulaire de crises a l ' etranger * * l ' annee 2011 a ete marquee par une serie de crises a l ' etranger qui ont directement touche des ressortissants et residents luxembourgeois, necessitant l ' intervention rapide du ministere des affaires etrangeres et de ses missions diplomatiques. les evenements du printemps arabe en afrique du nord, ont vu des troubles de l ' ordre public dans des regions touristiques ainsi que les grandes",456,82,130,2,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
24,"agglomerations de la tunisie et de l ' egypte. le ministere des affaires etrangeres a assiste les ressortissants et residents luxembourgeois sejournant a ce moment en tunisie et en egypte. une cellule de crise a ete mise en place au ministere avec un numero de contact d ' urgence pour les personnes ayant besoin d ' assistance consulaire. le ministere a travaille en cooperation etroite avec les ambassades de pays partenaires sur place, a commencer",450,75,130,2,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
25,"par nos partenaires belges, pour suivre de pres la situation sur le terrain et pour coordonner les actions de soutien. des conseils de voyage ont ete emis, dans le cadre d ' une concertation etroite avec luxair et les operateurs touristiques luxembourgeois, pour assurer le rapatriement des voyageurs. le violent seisme qui a frappe le japon le 11 mars 2011 a amene le ministere des affaires etrangeres a lancer des mesures d ' urgence au service des ressor",457,78,130,2,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
26,"##tissants luxembourgeois au japon. la cellule de crise du ministere des affaires etrangeres a ete immediatement activee en liaison directe avec l ' ambassade du luxembourg a tokyo. vu la situation dramatique qui s ' est ensuite manifestee sur le site nucleaire de fukushima, la cellule de crise a ete elargie pour impliquer la division de radioprotection du ministere de la sante, ainsi que de l ' administration des services de secours et le service information et presse du gouverne",485,80,132,2,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
27,"##ment. la cellule de crise a suivi 24h / 24h la situation de tous les ressortissants luxembourgeois et des membres de leur famille presents au japon et a pu leur fournir assistance et conseil de maniere continue, soit directement, soit par le biais de l ' ambassade du luxembourg au japon. moyennant des communiques de presse et avis de voyage, le public ete tenu informe de l ' evolution de la situation au japon.",415,74,126,2,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
28,"# # 1. 2 * * assistance consulaire * * le ministere des affaires etrangeres fournit des avis de voyages sur des pays qui sont des destinations touristiques et d ' affaires recherchees de la population luxembourgeoise lorsque des situations de crise s ' y produisent. ainsi, en 2011, le ministere des affaires etrangeres a emis sur son site internet des avis de voyages cibles sur les pays et destinations suivantes : la tunisie, l ' egypte, le japon et le burkina faso. pour ce qui",481,86,130,3,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
29,"est des autres pays du monde, le site internet du ministere des affaires etrangeres fournit un lien utile pour les avis de voyages emis par les ministeres des affaires etrangeres de l ' allemagne, de l ' autriche, de la belgique, des etats - unis d ' amerique, de la france, de l ' irlande, des pays - bas et du royaume - uni. la direction du protocole et de la chancellerie, responsable des affaires consulaires, ainsi que la",426,79,130,3,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
30,"direction politique ont traite des appels telephoniques de plus en plus frequents de la part des personnes souhaitant obtenir des informations au sujet de la representation consulaire du luxembourg a l ' etranger. les agents responsables des affaires consulaires au ministere ont porte conseil et assistance tout au long de l ' annee 2011 aux entreprises, ong et ressortissants luxembourgeois, residant de facon permanente ou effectuant un sejour a l ' etranger",461,72,130,3,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
31,"( etudiants, stagiaires, touristes, etc. … ), qui les ont contacte pour un soutien consulaire. dans le souci de fournir une information plus complete aux citoyens luxembourgeois sur le reseau des representations diplomatiques et consulaires luxembourgeoises et autres a l ' etranger en cas de besoin, le ministere des affaires etrangeres a mis en place, en 2011, sur son * * site internet * * une base de donnees couvrant tous les pays du monde. cette base de",459,78,130,3,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
32,"donnees, sous forme d ' une carte geographique, inclut les pays dans lesquels aucune mission diplomatique ou consulaire luxembourgeoise n ' est presente mais ou les ambassades ou consulats d ' autres pays representent les interets luxembourgeois. la direction du protocole et de la chancellerie du ministere s ' est occupee des ressortissants luxembourgeois incarceres a l ' etranger demandant un soutien en suivant l ' evolution de leur dossier judiciaire et",459,72,130,3,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
33,"de leur situation personnelle et en etant en contact regulier avec le personnel consulaire, souvent belge, sur place. en liaison etroite avec les proches et / ou le ministere de la famille, le ministere des affaires etrangeres est intervenue onze fois pour preter assistance a respectivement rapatrier des ressortissants luxembourgeois en situation de detresse a l ' etranger. la direction responsable des affaires consulaires a egalement prete son concours aux familles de",473,72,130,3,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
34,"dix - neuf luxembourgeois decedes a l ' etranger afin d ' assurer le rapatriement des depouilles. les ambassades et consulats luxembourgeois a l ' etranger apportent leur plein soutien dans ce contexte. dans les cas ou le luxembourg ne dispose pas d ' une ambassade ou d ' un consulat sur place, le ministere des affaires etrangeres a pu compter sur le soutien des ambassades ou consulats de la belgique de la france et de l",424,77,130,3,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
35,"' allemagne. durant l ' annee 2011, le ministere a traite des * * demandes diverses * * en matiere consulaire, a assure le suivi de dossiers judiciaires et s ' est charge de la collecte et de l ' envoi d ' objets voles ou perdus a l ' etranger. ainsi, la direction du protocole et de la chancellerie a recu 195 demandes de renseignements emanant de particuliers ou d ' autorites etrangeres. ces demandes son",407,77,130,3,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
36,"##t de nature tres variee : demandes de statistiques au sujet de ressortissants de certains pays residant au luxembourg ; demandes de, respectivement, delivrances de specimens de documents nationaux ( carte d ' identite, permis de conduire, certificat d ' immatriculation, etc... ) ; demandes de renseignements, notamment sur les caisses de pension, des legislations specifiques, le systeme politique du luxembourg, differents corps de metier … etc. dans",454,68,132,3,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
37,"le domaine des * * affaires judiciaires * *, la chancellerie a veille a la transmission de 75 nouveaux dossiers ( commission rogatoires internationales, demandes d ' entraide judiciaire ) aux autorites et institutions concernees et elle a assure le suivi de la transmission de documents ayant trait a des dossiers ouverts les annees anterieures. la direction du protocole et de la chancellerie s ' est aussi chargee de la collecte et de l ' envoi au service national des * * ob",477,83,130,3,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
38,"##jets trouves * * de 178 objets, perdus ou voles a l ' etranger et appartenant a des ressortissants luxembourgeois ainsi que de la transmission aux ambassades respectives de 27 objets trouves, appartenant a des non - residents.",228,38,72,3,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
39,"# # 1. 3 delivrance de passeports et visas, legalisations * * bpvl * * la delivrance de * * passeports * * et titres de voyage, avec 29 334 unites, a connu une legere baisse au cours de l ' annee 2011 par rapport a 2010.! [ 5 _ image _ 0. png ] ( 5 _ image _ 0. png ) le nombre de pertes / vols de documents de voyage est reste stable avec 1 122 documents par rapport a 1 113 en 2010. au ni",390,89,130,4,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
40,"##veau des * * visas * *, une legere croissance par rapport a 2010 a ete constatee. ainsi 12 125 visas ont ete delivres en 2011.! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png ) dans le contexte des visas il y a lieu de souligner l ' entree en vigueur du « systeme d ' information sur les visas » ( vis ), le 11 octobre 2011. il s ' agit d ' un systeme d ' echange de donnees sur",377,89,132,4,luxembourg_2011_Rapportdactivite_noneng.md,2025-01-28 18:57:50
