chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"declaration on the european and foreign policy of the grand duchy of luxembourg 14 november 2012 mr president, honourable members of parliament, ladies and gentlemen, 1. you will not have failed to notice that, in recent years, whenever the declaration on european and foreign policy has drawn to a close, i have always made a point of stating that our candidature for a non - permanent seat on the united nations security council was part of a foreign policy that is founded on the defence of both our values and our interests. 2. you will thus not begrudge me if today i allow myself to start with what is after all an historic undertaking.",642,114,130,0,luxembourg_2012_DeclarationOnForeignPolicy.md,2025-01-28 18:56:12
2,"while we must avoid excessive self satisfaction, of course, we can be satisfied that, in the second round of voting, more than two thirds of the un ’ s member states gave us their votes. never before in our history have we, as a country, been the recipients of such an expression of confidence and esteem from such a large proportion of the international community. 3. we would therefore like to extend our thanks to all those who, here and throughout the world, have contributed to this success, all the more because the human and financial resources we committed to this campaign were incommensurate compared with the vast means of our competitors",649,112,130,0,luxembourg_2012_DeclarationOnForeignPolicy.md,2025-01-28 18:56:12
3,". 4. the campaign is now over and the time has come to launch intensive preparations, a subject i have already had the opportunity to raise before your - - - - - foreign affairs and defence committee. we are fully aware of the scale of the challenge facing us. un security council 5. granted : at this stage, we cannot foresee exactly down to the last detail what awaits us. in contrast to holding the presidency of the eu, the agenda of the security council is dictated by international events, particularly by threats to international peace and security. 6. that said, we can already highlight some of the core principles which will guide",640,114,130,0,luxembourg_2012_DeclarationOnForeignPolicy.md,2025-01-28 18:56:12
4,"us over the course of the two years that we have been called upon to serve on the council. as a first point, i would like to cite the integrated approach of the three ds : diplomacy, development, defence. we have known for a long time that any crisis is multidimensional. it does not only have a security or military dimension, but is also rooted in economic and socio - cultural origins. consequently, any sustainable and fair solution requires an involvement from the international community that takes all these considerations into account. 7. on the one hand, therefore, international security, the maintenance of which is the primary responsibility of the council",668,111,130,0,luxembourg_2012_DeclarationOnForeignPolicy.md,2025-01-28 18:56:12
5,", must be seen in connection with economic development. in return, both security and economic development must be based on the respect for human rights and the rule of law. 8. in this context, we can draw on our experience gained during our recent presidency of the un economic and social council ( ecosoc ) and our involvement with the peacebuilding commission. - - - - - 9. this integrated approach of peace and security will inevitably require us to develop an interest in new threats, affecting the security and stability of many of the world ’ s regions. this involves in particular organised transnational crime, with its corollaries of human,",649,111,130,0,luxembourg_2012_DeclarationOnForeignPolicy.md,2025-01-28 18:56:12
6,"drug and arms trafficking, as well as piracy. and we must not forget the “ threat multiplier ” that is climate change. the potential impact that climate change has on the resources and living conditions of the world ’ s population – and therefore on peace and security – cannot be stressed enough. 10. this in no way of course should prevent us from making every possible effort press ahead with resolving the conflicts that have for a long time occupied the security council ’ s agenda – an example being the conflict of the middle east, which i will touch upon a little later. 11. another core principle is that we must place particular emphasis on the",654,118,130,0,luxembourg_2012_DeclarationOnForeignPolicy.md,2025-01-28 18:56:12
7,"weakest victims, those least able to defend themselves. we will continue with the work that we have already focused on in the past, such as sexual violence committed against women or children in armed conflicts. here solidarity must prevail, the same solidarity that i have always defended as a core value of our involvement, on both the international and european levels. 12. here also, it will be useful to build upon the work we have already carried out in this area, as well as on the cooperation we have developed with various un bodies, in areas such as conflict prevention, the protection of civilians, the rule of law or the reform of",642,112,130,0,luxembourg_2012_DeclarationOnForeignPolicy.md,2025-01-28 18:56:12
8,"the security forces. 13. finally, we will also endeavour to be good, open and accessible listeners. this applies to everything that is said within the council, obviously. but it is also our duty to heed the voices of those standing outside the council ’ s door. it - - - - - is without irony that that i say that we are well placed to understand the need for transparency for all those who follow the council ’ s work from the outside. after all, there are more than 70 countries that have never served on the security council. 14. as you can see, there is nothing fundamentally new with regard to the conception",612,114,130,0,luxembourg_2012_DeclarationOnForeignPolicy.md,2025-01-28 18:56:12
9,"##s and approaches that have traditionally guided our policy. quite the contrary : on both an intellectual and a psychological level, we can build on what we know. the experience we have gained over the years will serve us well in this context. 15. granted, the global context has changed. we need to prove that we deserve sitting on the supreme body of global governance. nevertheless, i have no doubt that, by drawing on these familiar principles and our relentless commitment, we will live up to the confidence that has been placed in us. this mandate is the most tangible expression of our commitment of responsibility and solidarity that constitutes the root of our foreign and",682,116,132,0,luxembourg_2012_DeclarationOnForeignPolicy.md,2025-01-28 18:56:12
10,"european policy. 16. this commitment and the values that underpin it are today more necessary than ever. 17. the temptation is always great to let others deal with the challenges facing the world and to take a backseat, by hiding behind objective realities, such as our modest size and resources. it is not difficult to find reasons to leave the responsibilities to others. but our country cannot and does not want to shy away from its responsibilities and duties in such a way. - - - - - globalisation 18. a country such as ours has always been at the mercy of external events that are out of its control. in today ’ s global",626,115,130,0,luxembourg_2012_DeclarationOnForeignPolicy.md,2025-01-28 18:56:12
