chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# defence,9,2,4,0,malaysia_2020_DefenceWhitePaper.md,2025-01-28 18:55:22
2,# # # white paper,17,5,7,1,malaysia_2020_DefenceWhitePaper.md,2025-01-28 18:55:22
3,"# # # # # a secure, sovereign and prosperous malaysia - - - - - - - - - -",73,21,24,2,malaysia_2020_DefenceWhitePaper.md,2025-01-28 18:55:22
4,# defence,9,2,4,3,malaysia_2020_DefenceWhitePaper.md,2025-01-28 18:55:22
5,# # # white paper,17,5,7,4,malaysia_2020_DefenceWhitePaper.md,2025-01-28 18:55:22
6,"# # # # # a secure, sovereign and prosperous malaysia - - - - -",63,16,19,5,malaysia_2020_DefenceWhitePaper.md,2025-01-28 18:55:22
7,"# # # # # # first published 2020 © ministry of defence ( mindef ) all rights reserved. no part of this book may be reprinted or reproduced or utilised in any form, or by electronic, photopcopy, mechanical, recording or other methods without permission in writing by the secretary general, ministry of defence, 5th floor, wisma pertahanan, jalan padang tembak, 50634, kuala lumpur, malaysia. telephone number : ( 60 ) 3 - 2059 8400. malaysia nasional library cataloguing in publication data ministry of defence defence white paper isbn 978 - 967 - 16437",552,94,130,6,malaysia_2020_DefenceWhitePaper.md,2025-01-28 18:55:22
8,"- 6 - 1 1. defence 2. white paper i. title printed by percetakan nasional malaysia berhad 1, jalan chan sow lin, chan sow lin, 50554 kuala lumpur. - - - - - - - - - -",166,38,56,6,malaysia_2020_DefenceWhitePaper.md,2025-01-28 18:55:22
9,# # # # # # table of contents foreword by the prime minister 1 foreword by the minister of defence 2 executive summary 4 section 1 : vision chapter 1 : introduction 10 what is a defence white paper ( dwp )? 11 why malaysia ’ s first dwp? 11 how does the dwp serve the national vision? 16 chapter 2 : strategic outlook 20 a changing security environment 20 long - term national strategy 28 section 2 : strategy chapter 3 : defence strategy 34 national defence framework 34 fundamental principles of defence 39 pillars of national defence strategy 40 chapter 4 : the future force 44 force structure 44 capability requirements 46 force posture 48 catalyst,652,119,130,7,malaysia_2020_DefenceWhitePaper.md,2025-01-28 18:55:22
10,for developing the future force 54 chapter 5 : people in defence 56 regular forces 56 volunteer forces 59 the maf veterans 60 civil servants in defence 61 participation of and by the rakyat 61 - - - - -,202,40,45,7,malaysia_2020_DefenceWhitePaper.md,2025-01-28 18:55:22
11,"# # # # # # chapter 6 : international defence 64 engagement goals of credible partnerships 64 scope and levels of defence engagement 64 future direction of defence engagement 74 section 3 : implementation chapter 7 : defence science, 78 technology and industry the key contributors of defence science, 79 technology and industry the government ’ s support for the defence 79 science, technology and industry framework for the national defence 80 industry policy ( ndip ) chapter 8 : reforms, governance 86 and funding defence reform 86 good governance 88 funding 89 summary 90 abbreviations 91 - - - - - * * nc * * * * w * *",624,113,122,8,malaysia_2020_DefenceWhitePaper.md,2025-01-28 18:55:22
