chunk_id,header,text,char_length,word_count,token_count,has_header,section_index,source_file,processed_date,section_depth
1,# # # programa para la seguridad nacional 2014 - 2018,# # # # programa para la seguridad nacional 2014 - 2018,55,12,17,True,0,mexico_2014_SecurityProgram.md,2025-01-21 13:17:47,1
2,# # # # # una politica multidimensional para mexico en el siglo xxi consejo de seguridad nacional - - - - - - - - - -,# # # # # # una politica multidimensional para mexico en el siglo xxi consejo de seguridad nacional - - - - - - - - - -,119,29,43,True,1,mexico_2014_SecurityProgram.md,2025-01-21 13:17:47,1
3,# # # programa para la seguridad nacional 2014 - 2018,# # # # programa para la seguridad nacional 2014 - 2018,55,12,17,True,2,mexico_2014_SecurityProgram.md,2025-01-21 13:17:47,1
4,"# # # # # una politica multidimensional para mexico en el siglo xxi consejo de seguridad nacional - - - - - - - - - - i. politica de seguridad nacional, ii. seguridad multidimensional, iii. gobernabilidad democratica isbn - en tramite © presidencia de la republica, 2014 todos los derechos reservados ( en tramite ) este documento, al igual que sus anexos y los documentos de trabajo generados durante su","# # # # # # una politica multidimensional para mexico en el siglo xxi consejo de seguridad nacional - - - - - - - - - - i. politica de seguridad nacional, ii. seguridad multidimensional, iii. gobernabilidad democratica isbn - en tramite © presidencia de la republica, 2014 todos los derechos reservados ( en tramite ) este documento, al igual que sus anexos y los documentos de trabajo generados durante su",406,73,130,True,3,mexico_2014_SecurityProgram.md,2025-01-21 13:17:47,1
5,,"formulacion, es propiedad de la presidencia de la republica. se permite la reproduccion parcial o total del mismo, siempre y cuando no se afecten los derechos de autor y de edicion correspondientes. se autoriza la difusion de este documento para fines de estudio, investigacion o diseno de politicas publicas. de acuerdo con lo dispuesto por la legislacion federal vigente, el programa para la seguridad nacional 2014 - 2018 fue public",435,70,130,False,3,mexico_2014_SecurityProgram.md,2025-01-21 13:17:47,0
6,,"##ado en el diario oficial de la federacion ( dof ) el 30 de abril de 2014. la version publicada en el dof puede ser descargada en el siguiente enlace : http : / / www. dof. gob. mx / nota _ detalle. php? codigo = 5342824 & fecha = 30 / 04 / 2014 a traves de la secretaria tecnica del consejo de seguridad nacional, la presidencia de la republica dispuso la preparacion de esta version editorializada",400,78,133,False,3,mexico_2014_SecurityProgram.md,2025-01-21 13:17:47,2
7,,"del documento. ello, con el objetivo de difundir los propositos de la politica de seguridad nacional adoptada por esta administracion. - - - - - - - - - -",154,30,53,False,3,mexico_2014_SecurityProgram.md,2025-01-21 13:17:47,0
8,# # # # consejo de seguridad nacional * * lic. enrique pena nieto * * presidente de los estados unidos mexicanos * * lic. miguel angel osorio chong * * secretario de gobernacion * * gral. salvador cienfuegos zepeda * * secretario de la defensa nacional * * alm. vidal francisco soberon sanz * * secretario de marina * * dr. luis videgaray caso * * secretario de hacienda y credito publico * * lic. julian alfonso oliva,# # # # # consejo de seguridad nacional * * lic. enrique pena nieto * * presidente de los estados unidos mexicanos * * lic. miguel angel osorio chong * * secretario de gobernacion * * gral. salvador cienfuegos zepeda * * secretario de la defensa nacional * * alm. vidal francisco soberon sanz * * secretario de marina * * dr. luis videgaray caso * * secretario de hacienda y credito publico * * lic. julian alfonso oliva,420,80,130,True,4,mexico_2014_SecurityProgram.md,2025-01-21 13:17:47,1
9,,##s ugalde * * subsecretario de responsabilidades administrativas y contrataciones publicas de la secretaria de la funcion publica * * dr. jose antonio meade kuribrena * * secretario de relaciones exteriores * * lic. gerardo ruiz esparza * * secretario de comunicaciones y transportes * * lic. jesus murillo karam * * procurador general de la republica * * lic. eugenio imaz gispert * * director general del centro de invest,424,71,132,False,4,mexico_2014_SecurityProgram.md,2025-01-21 13:17:47,2
10,,##igacion y seguridad nacional - - - - - - - - - -,50,14,22,False,4,mexico_2014_SecurityProgram.md,2025-01-21 13:17:47,2
