chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,draft national security strategy podgorica september 2008! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ),104,23,32,0,montenegro_2008_NationalSecurityStrategy.md,2025-01-28 18:57:19
2,"# contents introduction 1. strategic goal 2. security interests and objectives of montenegro.............. - 4 - 3. challenges, risks and threats against the security of montenegro. 4. reaction of state to security challenges, risks and threats | … … | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",386,107,130,1,montenegro_2008_NationalSecurityStrategy.md,2025-01-28 18:57:19
3,"- - - - - - - | | 4. 1. national security states | | 4. 2. missions | | 4. 2. 1. defence. | | 4. 2. 2. maintaining and enhancing internal security. | | 4. 2. 3. managing emergency situations. | | 4. 2. 4. participation in international peace and humanitarian operations | | led by un, nato and eu :. | | 5. national security system | | 5. 1. national security system structure. | | 5. 2. managing the national security system. | | 5. 3. resources. | | final provisions.",469,96,130,1,montenegro_2008_NationalSecurityStrategy.md,2025-01-28 18:57:19
4,|,1,1,3,1,montenegro_2008_NationalSecurityStrategy.md,2025-01-28 18:57:19
5,"# # introduction the national security strategy of montenegro ( hereinafter : the strategy ) represents a strategic document that defines the development and functioning of the system of national security of montenegro and it is an expression of its commitment to be a part of regional and international ( un, nato, eu and osce ) security systems. based on established national interests, security challenges, risks and threats, the strategy defines security goals, possible reactions of the state of montenegro, national security system and required resources. the strategy confirms the commitment of montenegro to undertake all necessary activities so as to meet the conditions for its integration into the european, euro - atlantic and",738,114,130,2,montenegro_2008_NationalSecurityStrategy.md,2025-01-28 18:57:19
6,"other international security structures. in that context, the strategic goal of montenegro is to become a fully fledged nato and eu member as soon as possible. having that goal in mind, montenegro has joined nato partnership for peace program and signed the stabilization and association agreement with the eu. the strategy represents the basis for an essential reform of the national security sector, as well as for normative adaptation and further development of the national security system. the strategy is a document that serves as the basis for reforming security and defence sectors in montenegro and it can be amended and adjusted to the extent of innovation and improvement of the security system.",706,113,124,2,montenegro_2008_NationalSecurityStrategy.md,2025-01-28 18:57:19
7,"# # 1. strategic goal the strategic goal of montenegro is to build an integrated and functional security system that enables prevention, management and resolution of possible crises, conflicts and disputes, regardless of their level and character, and in compliance with international standards and principles. the achievement of the above mentioned goal will create a positive environment for efficient protection and defence of vital national and social values and interests as defined by the constitution of montenegro.",522,77,86,3,montenegro_2008_NationalSecurityStrategy.md,2025-01-28 18:57:19
8,"# # 2. * * security interests and objectives of montenegro * * montenegro is focused on the realization of its national interests and security objectives based on the principles of a developed democracy, rule of law, market economy and its orientation towards euro - atlantic and european integrations with full respect of international law and internationally accepted principles of peaceful resolution of disputes. if necessary, montenegro will use all available capabilities and resources to protect its national interests. national interests constitute the most important needs of montenegro and its citizens. they derive from the highest values of montenegro established by the constitution, and they are : freedom, equality, ethnic and gender equality, stability of society",779,116,130,4,montenegro_2008_NationalSecurityStrategy.md,2025-01-28 18:57:19
9,", social justice, human rights, safety of property, preservation of nature and environment, rule of law and democracy. a peaceful and stable environment, protection of life and property of citizens and development of democracy represent important national interests. foreign and security policy of montenegro is especially directed to developing good neighbourly relations and strengthening regional cooperation with the objective to establish confidence and to promote peace in south east europe, as well as membership in international and regional organizations. montenegro believes that small countries can best provide and solve their own security by accessing the system of collective security. montenegro actively participates and contributes to stability and security in the region and euro - atlantic community",818,116,130,4,montenegro_2008_NationalSecurityStrategy.md,2025-01-28 18:57:19
10,"by being actively engaged in regional initiatives and processes and through bilateral and multilateral cooperation with partners and allies. starting from economic progress and progress in overall already undertaken reforms and integrative processes, montenegro wishes to establish new, quality relations with nato, which should strengthen our role and responsibility in the stability and security of euro - atlantic space. the enlargement of the north atlantic alliance to the region of west balkans will strengthen and further build the area where joint values shared by nato ( democracy, rule of law and human and minority rights ) are reigning. this will also additionally stabilize and unite the region which shares common goals and integrative processes",759,114,130,4,montenegro_2008_NationalSecurityStrategy.md,2025-01-28 18:57:19
