chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,g y,3,2,4,0,netherlands_2018_InternationalSecurityStrategy.md,2025-01-28 18:55:51
2,# # # # working worldwide for the security of the netherlands | 1 |,67,15,17,1,netherlands_2018_InternationalSecurityStrategy.md,2025-01-28 18:55:51
3,# # # # # an integrated international security strategy 2018 - 2022 - - - - - ngkok port of spain praag tunis ankara kampala vaticaanstad caracas abu dhabi washington new york londen hanoi harare pretoria oul juba stockholm bern geneve niamey sydney antwerpen rio de janeiro sao paolo toronto vancouver chongqing guangzhou hong ng shanghai dusseldorf munchen bangalore mumbai erbil milaan osaka st. petersburg istanbul dubai chicago miami new york san ancisco ho chi minh stad kaapstad almaty chisinau lagos minsk kabul tirana algiers luanda buenos aires canberra bakoe dhaka brussel ton,587,94,130,2,netherlands_2018_InternationalSecurityStrategy.md,2025-01-28 18:55:51
4,##ou sarajevo brasilia sofia bujumbura ottawa santiago de chile peking bogota san jose havanna nicosia kinshasa kopenhagen santo omingo berlijn cairo tallinnaddis abeba manilla helsinki parijs straatsburg tblisi accra athene boedapest dublin new delhi jakarta bagdad heran tel aviv rome abidjan tokio sana ’ a amman astana nairobi koeweit pristina zagreb riga beiroet tripoli vilnius luxemburg skopje ala lumpur bamako valletta rabat mexico maputo yangon wellington abuja oslo kiev muscat,488,70,132,2,netherlands_2018_InternationalSecurityStrategy.md,2025-01-28 18:55:51
5,wenen islamabad ramallah panama - stad ma warschau lissabon doha boekarest moskou kigali riyadh dakar belgrado singapore ljubljana bratislava madrid colombo khartoem ramaribo dar es salaam bangkok port of spain praag tunis ankara kampala vaticaanstad caracas abu dhabi washington new york londen noi harare pretoria seoul juba stockholm bern geneve niamey sydney antwerpen rio de janeiro sao paolo toronto vancouver chongqing angzhou hong kong shanghai dusseldorf munchen bangalore mumbai erbil milaan osaka st. petersburg istanbul dubai chicago miami w york san francisco ho chi minh,584,85,130,2,netherlands_2018_InternationalSecurityStrategy.md,2025-01-28 18:55:51
6,stad kaapstad almaty chisinau lagos minsk kabul tirana algiers luanda buenos aires canberra bakoe haka brussel cotonou sarajevo brasilia soia bujumbura ottawa santiago de chile peking bogota san jose havanna nicosia kinshasa penhagen santo domingo berlijn cairo tallinnaddis abeba manilla helsinki parijs straatsburg tblisi accra athene boedapest dublin new lhi jakarta bagdad teheran tel aviv rome abidjan tokio sana ’ a amman astana nairobi koeweit pristina zagreb riga,471,68,130,2,netherlands_2018_InternationalSecurityStrategy.md,2025-01-28 18:55:51
7,beiroet tripoli vilnius xemburg skopje kuala lumpur bamako valletta rabat mexico maputo yangon wellington abuja oslo kiev muscat wenen islamabad mallah panama - stad lima warschau lissabon doha boekarest moskou kigali riyadh dakar belgrado singapore ljubljana bratislava madrid lombo khartoem paramaribo dar es salaam bangkok port of spain praag tunis ankara kampala vaticaanstad caracas abu dhabi washing n new york londen hanoi harare pretoria seoul juba stockholm bern geneve niamey sydney antwerpen rio de janeiro sao paolo,527,77,130,2,netherlands_2018_InternationalSecurityStrategy.md,2025-01-28 18:55:51
8,toronto ncouver chongqing guangzhou hong kong shanghai dusseldorf munchen bangalore mumbai erbil milaan osaka st. petersburg istanbul bai chicago miami new york san francisco ho chi minh stad kaapstad almaty chisinau lagosminsk kabul tirana algiers luanda buenos res canberra bakoe dhaka brussel cotonou sarajevo brasilia sofia bujumbura ottawa santiago de chile peking bogota san jose havanna cosia kinshasa kopenhagen santo domingo berlijn cairo tallinnaddis abeba manilla helsinki parijs straatsburg tblisi accra athene edapest dublin new delhi,547,76,130,2,netherlands_2018_InternationalSecurityStrategy.md,2025-01-28 18:55:51
9,jakarta bagdad teheran tel aviv rome abidjan tokio sana ’ a amman astana nairobi koeweit pristina zagreb ga beiroet tripoli vilnius luxemburg skopje kuala lumpur bamako valletta rabat mexico maputo yangon wellington abuja oslo kiev uscat wenen islamabad ramallah panama - stad lima warschau lissabon doha boekarest moskou kigali riyadh dakar belgrado singapore ubljana bratislava madrid colombo khartoem paramaribo dar es salaam bangkok port of spain praag tunis ankara kampala vaticaanstad,490,71,130,2,netherlands_2018_InternationalSecurityStrategy.md,2025-01-28 18:55:51
10,racas abu dhabi washington new york londen hanoi harare pretoria seoul juba stockholm bern geneve niamey sydney antwerpen rio janeiro sao paolo toronto vancouver chongqing guangzhou hong kong shanghai dusseldorf munchen bangalore mumbai erbil milaan aka st. petersburg istanbul dubai chicago miami new york san francisco ho chi minh stad kaapstad almaty chisinau osminsk kabul ana algiers luanda buenos aires canberra bakoe dhaka brussel cotonou sarajevo brasilia sofia bujumbura ottawa santiago de chile king bogota san jose havanna nicosia kinshasa kopenhagen santo domingo berlijn cairo tallinn,597,86,130,2,netherlands_2018_InternationalSecurityStrategy.md,2025-01-28 18:55:51
