chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,nederlandse defensie doctrine,29,3,9,0,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
2,# 2 colofon vormgeving & layout crossmedia | mediacentrum defensie | den haag historische inleidingen dr. a. ten cate voorzitter werkgroep / penvoerder nlda luitenant - kolonel drs. c. j. sellmeijer verantwoording de ndd is onder verantwoordelijkheid van de defensiestaf samengesteld door een werkgroep met vertegenwoordigers van de operationele commando ' s en enkele bet,372,55,130,1,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
3,"##rokken defensieonderdelen. reacties defensiestaf ( ds / dplan / k & i ) postbus 20701 2500 es den haag © defensiestaf, den haag, februari 2019 no parts of this book may be reproduced in any form, by print, photo print, microfilm or any other means without written permission from the publisher. niets uit deze uitgave mag worden verveelvoudigd en / of openbaar gemaakt door middel van druk, fotokopie, microfilm of op welke wi",428,73,132,1,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
4,##jze dan ook zonder de voorafgaande schriftelijke toestemming van de uitgever.,79,11,35,1,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
5,"# vooraf de nederlandse defensie doctrine verklaart het militaire instrument van de macht en het nut ervan, zowel in als buiten oorlogsvoering. beroepen worden gedeeltelijk bepaald door hun professionele kennis en de ndd maakt deel uit van ons kennisdomein. hoewel de ndd gezaghebbend is, vereist dit een oordeel door de professional over de toepassing ervan. doctrine maakt gebrui",381,58,130,2,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
6,"##k van lessen uit de geschiedenis, van originele denkers en van ervaringen die zijn opgedaan met operaties en de voorbereidingen daarop. het beschrijft de fundamentele principes waarmee het militaire machtsinstrument wordt gebruikt. directe aanleiding voor de herziening van de ndd 2013 was de ratificatie en implementatie van de navo allied joint doctrine 01. daarnaast verwerkt de herziene versie van",403,59,132,2,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
7,"de ndd de meest recente beleidsdocumenten en de meest recente operationele ervaring, bijvoorbeeld op het gebied van cyber. tenslotte is deze versie aangepast aan de huidige veiligheidspolitieke visie van de nederlandse regering en als gevolg daarvan de hernieuwde aandacht voor de eerste hoofdtaak van de nederlandse krijgsmacht. doctrine is bij uitstek een instrument voor",373,54,130,2,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
8,"bevordering van interne en externe samenwerking door het weergeven van het gemeenschappelijke gedachtengoed en door het stimuleren van een vaktaal. het doel van het vastleggen van ons gedachtengoed is om het geheel groter te maken dan de som der delen. door een conceptueel kompas te bieden en een mentaal tegenwicht, kan het team beter omgaan met de chaos en onzekerheden van de",379,62,130,2,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
9,"oorlogsomstandigheden. wie deze doctrine leest, moet echter onthouden dat dit nooit het individueel initiatief kan vervangen. doctrine is een gids voor commandanten en ondergeschikten over hoe te denken, niet wat te denken. de commandant der strijdkrachten r. bauer luitenant - admiraal 3! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png )",335,58,122,2,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
10,# inhoud | inleiding | 8 | | | | - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,260,124,130,3,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
11,- - - - - - - - - - - - - - - - - - - - - | - - - - | | 1 | de context van militair optreden | 17 | | | 1. 1 | inleiding | 17 | | | 1. 2 | actoren en factoren | 20 | | | 1. 3 | doelstellingen en belangen | 20 | | | 1. 4 | machtsmiddelen | 21 | | | | 1. 4. 1 | het diplomatieke machtsmiddel | 21 | | | 1. 4. 2 |,310,97,130,3,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
12,informatie als machtsmiddel. | 22 | | | 1. 4. 3 | het militaire machtsmiddel | 22 | | | 1. 4. 4 | het economische machtsmiddel | 23 | | | 1. 4. 5 | civiele capaciteiten. | 23 | | 1. 5 | toepassing van machtsmiddelen | 24 | | | 1. 6 | niveaus van militair optreden | 27 | | | | 1. 6. 1 | het strategische niveau |,312,74,130,3,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
13,28 | | | 1. 6. 2 | het operationele niveau | 29 | | | 1. 6. 3 | het tactische niveau | 30 | | | 1. 6. 4 | verwevenheid van de niveaus ( strategische compressie ) | 32 | | | 1. 6. 5 | eenvormige benadering van planning en uitvoering van operaties | 33 | | 2 | nederlands veiligheidsbeleid | 34 | | | 2. 1 | inleiding | 34 | | | 2,328,80,130,3,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
14,. 2 | internationale inbedding | 37 | | | 2. 3 | nederlands veiligheidsbeleid | 38 | | | | 2. 3. 1 | trends | 38 | | | 2. 3. 2 | geintegreerde buitenland - en veiligheidsstrategie | 40 | | | 2. 3. 3 | defensienota | 41 | | | 2. 3. 4 | strategie nationale veiligheid | 41 | | 2. 4 | gevolgen van het veiligheidsbeleid voor de kri,328,76,130,3,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
15,##jgsmacht | 42 | | | 3 | de krijgsmacht als instrument van de regering | 45 | | | 3. 1 | inleiding | 45 | | | 3. 2 | internationaalrechtelijk kader | 48 | | | | 3. 2. 1 | het soevereiniteitsbeginsel | 48 | | | 3. 2. 2 | het geweldsverbod | 48 | 4 3. 2. 3 gebruik van geweld en recht op zelfverdediging 48 3. 2. 4,313,75,132,3,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
16,rechtsregimes 49 3. 2. 5 humanitair oorlogsrecht 49 3. 2. 6 mensenrechten 50 3. 3 nationaalrechtelijk kader 50 3. 3. 1 het statuut voor het koninkrijk der nederlanden 50 3. 3. 2 de grondwet 51 3. 4 hoofdtaken 52 3. 4. 1 eerste hoofdtaak 53 3. 4. 2 tweede hoofdtaak 53 3. 4. 3 derde hoofdtaak 53 3,296,58,130,3,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
17,. 5 besluitvorming over inzet 55 3. 5. 1 besluitvorming over structurele inzet van de krijgsmacht binnen het koninkrijk 55 3. 5. 2 besluitvorming voor incidentele inzet van de krijgsmacht binnen het koninkrijk 55 3. 5. 3 optreden in geval van buitengewone omstandigheden in nederland 57 3. 5. 4 besluitvorming over inzet van de inlichtingen - en veil,350,58,130,3,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
18,##igheidsdiensten 57 3. 5. 5 besluitvorming over inzet van de krijgsmacht buiten het koninkrijk 58 3. 6 rules of engagement 59 3. 7 aansturing tijdens inzet 60 3. 7. 1 aansturing tijdens militaire bijstand en steunverlening binnen het koninkrijk 61 3. 7. 2 aansturing tijdens de inzet van de krijgsmacht buiten het koninkrijk 61 4,330,55,133,3,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
19,* * militair vermogen * * 63 4. 1 inleiding 63 4. 2 de componenten van militair vermogen 66 4. 2. 1 de mentale component 67 4. 2. 1. 1 motivatie 67 4. 2. 1. 2 leiderschap 67 4. 2. 1. 3 verantwoord organiseren van de inzet 67 4. 2. 1. 4 perceptie 68 4. 2. 1. 5 militair werk is mensenwerk 69 5 | | 4. 2. 2 | de fysieke,317,72,130,3,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
20,component | 69 | | - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - -,264,128,130,3,netherlands_2019_DefensieDoctrine_noneng.md,2025-01-28 18:56:45
