chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# future acquisitions for the norwegian defence sector 2023 – 2030,66,11,15,0,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
2,# # # # may 2023,16,6,9,1,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
3,# # # # # # 1 - - - - -,23,12,14,2,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
4,# # # # table of contents,25,7,9,3,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
5,# # # # # # 1. introduction.......................................................................................................................,146,8,130,4,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
6,.............. 3 2. national defence industry strategy................................................................................................ 4 3. investments in the norwegian defence sector..,201,15,130,4,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
7,............................................................................. 5 4. main focus areas.............................................,144,6,130,4,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
8,................................................................................... 7 4. 1 acquisitions during the period 2023 – 2030................................,165,11,130,4,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
9,............................................. 7 4. 2 land domain.............................................................................,141,6,130,4,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
10,............................................... 9 4. 3 maritime domain...........................................................................,145,6,130,4,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
11,....................................... 17 4. 4 air domain...................................................................................,141,6,130,4,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
12,.......................................... 24 4. 5 cyber domain................................................................................,143,6,130,4,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
13,........................................ 30 2 - - - - -,55,8,49,4,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
14,# # # # 1. introduction,23,6,9,5,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
15,"# # # # # # the norwegian long - term defence plan outlines the continuous development of the norwegian defence sector with respect to organisation, infrastructure ( garrisons and bases ), personnel ( numbers, composition and qualifications ) and materiel ( existing equipment and new acquisitions ). the government outlines a direction towards a more capable and sustainable defence force better able to face future challenges and the changing security environment. the ministry of defence ( mod ) maintains the national investment plan for the defence sector through continuous planning in different timeframes from four to twenty years ahead. the national investment plan itself is evaluated and updated several times per annum based on changing requirements,",762,117,130,6,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
16,resources and progress within on - going acquisitions. the investment plan outlines the basis for all major procurement activities in the short - term ( 4 years ) and the medium - term ( 8 years ) perspectives. mod issues the investment plan at least once a year. the government acknowledges the defence industries contribution to the armed forces ’ capabilities. the defence industry provides the armed forces with support from the provision and maintenance of military equipment through delivery of a wide range of support services. a central feature in the annual updating of the investment plan is the preparation and publication of an unclassified overview of long - term requirements and objectives. this publication does not examine,739,119,130,6,netherlands_2023_FutureAcquisitions.md,2025-01-28 18:56:33
