chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # national security strategy,30,5,7,0,nigeria_2019_NationalSecurityStrategy.md,2025-01-28 18:54:35
2,# # # federal republic of nigeria,33,7,9,1,nigeria_2019_NationalSecurityStrategy.md,2025-01-28 18:54:35
3,# # # # # december 2019 - - - - - - - - - -,43,17,19,2,nigeria_2019_NationalSecurityStrategy.md,2025-01-28 18:54:35
4,# national security strategy,28,4,6,3,nigeria_2019_NationalSecurityStrategy.md,2025-01-28 18:54:35
5,# # # # federal republic of nigeria,35,8,10,4,nigeria_2019_NationalSecurityStrategy.md,2025-01-28 18:54:35
6,# # # # # # december 2019 ii - - - - -,38,14,16,5,nigeria_2019_NationalSecurityStrategy.md,2025-01-28 18:54:35
7,"# # # # # # foreword at the inception of my administration in 2015, nigeria was at a defining moment in her history. acts of terrorism perpetrated by jama ’ atu ahlus sunna lidda ’ wati wal jihad, otherwise known as boko haram were at their peak and constituted an existential threat. the group occupied large swathes of territory in the north east region and was threatening to seize more areas to consolidate its dominance and project its evil ideology. the economy was in a precarious state and soon regressed into recession. corruption was subverting our institutions, society and eroding public",599,102,130,6,nigeria_2019_NationalSecurityStrategy.md,2025-01-28 18:54:35
8,"confidence in the government. our country was in despair, bereft of self - confidence and in dire need of repositioning. consequently, we promised to pursue progressive change on three fronts : security, economy and the fight against corruption. on security, we proceeded to immediately strengthen our international partnerships, particularly our participation in the multi - national joint task force and to consolidate our collaboration with the regional intelligence fusion unit. internally, we initiated a major reorganisation of the counter - terrorism and counter - insurgency operation, codenamed lafiya dole and moved the military command and control centre to maiduguri in borno state, the epic",703,104,130,6,nigeria_2019_NationalSecurityStrategy.md,2025-01-28 18:54:35
9,"##enter of the insurgency. we also facilitated improved funding, procurement, operations, training, logistics and welfare for the security agencies to ramp up security operations across the nation. mindful of the strong connections between the economy and national security, we launched the four - year economic recovery and growth plan 2017 - 2020. the plan focuses on agricultural transformation, food security, power and petroleum products efficiency, improved transportation infrastructure, job creation, youth empowerment and a sustainable industrialised economy. we also strengthened the implementation of the bank verification number programme and the treasury single account initiative. these programmes and structures for improved national economic fundamentals have also been complemented by an",804,109,132,6,nigeria_2019_NationalSecurityStrategy.md,2025-01-28 18:54:35
10,"aggressive fight against all forms of corruption on many fronts. i am pleased to state that our consolidated efforts have yielded remarkable results. under the relentless onslaught of our armed forces and allies, boko haram has been substantially degraded and is now unable to mount sustained operations. areas previously occupied by the terrorists in the north east have also been freed and internally displaced persons are voluntarily returning to their homes. in the niger delta, we have consolidated the peace for the longest stretch of time in recent years. i seize this opportunity to thank iii - - - - - the men and women of our armed forces, other security and law enforcement agencies for their sacrifices",714,118,130,6,nigeria_2019_NationalSecurityStrategy.md,2025-01-28 18:54:35
