chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,министерство за одбрана! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) република македонија republika e maqedonise ministry of defence ministria e mbrojtjes,156,30,83,0,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
2,# бела книга на одбраната libri i bardhe i mbrojtjes white paper on defence republic of macedonia ministry of defence! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) republic of macedonia,186,39,68,1,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
3,"# white paper on defence publisher ministry of defence - the republic of macedonia the publisher phd * fatmir * besimi editorial board ma * ljube * dukoski, colonel selvet baruti ass. ma * marjan * gjurovski, ma * muhaedin * bela, colonel ma * sasho * kuzmanovski ferdo pavlov, lieutenant colonel angelcho todosov, major gebriela gjorgjevikj ma * igor * gjoreski graphic designer biljana ivanova proofreading phd @ * anet * ristoska ksenija miteva",447,75,130,2,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
4,"- koteska english translation rozi grozdanovska - veleska martina kimovska albanian translation mustafa peza proofreading shkelzen halimi printed by "" arberiadesign "" - tetovo address ministry of defence orce nikolov 116. 1000 skopje | white paper on defence of the republic of macedonia preface by the minister of defence of the republic of macedonia | 7 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",445,101,130,2,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
5,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - | | introduction | 11 | | i. security environment | 15 | | ii. comprehensive approach to national security | 19 | | national interests | 21 | | national security and defence policy | 22 | | institutional national security and,391,126,130,2,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
6,defence responsibilities | 23 | | iii. defence management | 27 | | iv. army of the republic of macedonia | 33 | | missions and organisation | 35 | | transformation | 41 | | building military capacities and capabilities | 42 | | v. defence resources | 45 | | human resources | 47 | | appropriate and equitable ethnic representation | 50 | | education and training | 51 | | defence funding | 54 | | vi. contribution to international operations and international cooperation | 59 | | contribution to international operations | 61 | | international defence cooperation | 63 | | regional defence cooperation | 65 | | vii. defence and society | 67 | |,645,122,130,2,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
7,army and society | 69 | | public relations | 70 | | viii. defence development vision | 75 | | restructuring the army and the ministry of defence | 78 | | army modernization projects | 78 | | promoting the processes | 80 | | human resource management | 80 | | education and training | 81 | | list of abbreviations | 83 | | reference | 85 | c o n t e n t phd fatmir * * besimi * *! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png ) minister of defence of the republic of macedonia,474,110,122,2,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
8,"# dear readers, we are publishing the new white paper on defence in a year when we are celebrating the 20th jubilee of the formation of the army of the republic of macedonia and at the very beginning of the new cycle of defence transformation. the objective of this white paper is to present comprehensively and transparently the security and defence policy of the republic of macedonia and to reaffirm its interests and values. the white paper depicts the achievements in the defence sector and provides information on the contribution to global and regional security and stability. furthermore, it presents the long - term defence development goals and the resource requirements, as well as the vision for further",715,118,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
9,"development of the defence. the republic of macedonia sees its future as integrated in nato and the eu. the defence system of the republic of macedonia is fully prepared to assume the responsibilities and obligations that derive from the nato membership, including the long - term contribution to regional and euroatlantic security and stability. we, in the defence sector, dedicated to our goal, are working on all levels, that is, on international, state and army level. in international frames, in regard with the nato membership, we are working on implementing all reforms and on the substantial contribution of the republic of macedonia to global peace through the military missions and the visibility",706,112,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
10,"of the country in all international institutions. in national frames, we are working on enhancing the inter - ethnic and inter - religious confidence. on the level of the army of the republic of macedonia, we are working on creating a modern and professional army, improving the standard of the army members and bringing the army closer to the citizens. 8 white paper on defence the achievements in accomplishing the strategic defence missions thus far bind us to continue forward in the same direction. in the upcoming decade, the mod and arm will be transformed and will develop a broader spectrum of defence capacities and capabilities in accordance with the long - term defence development plan. by 2015",707,118,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
11,", the army of the republic of macedonia will have a more efficient organizational - formation structure, will be more mobile and will comprise 50 % deployable interoperable military capabilities. the manning level of the arm will be steadily kept at 90 % with qualified, well educated and well trained military personnel. the process of formation restructuring will be carried out gradually in a synchronized manner and the operational capability of the army will be increased for the purpose of accomplishing the strategic defence missions, including the collective defence of the republic of macedonia and the contribution to the collective defence of the alliance. the army has to be modern, more mobile and fully interoperable",730,115,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
12,"with the alliance member countries. the military equipment will be modernized gradually in the upcoming decade and beyond. hence, the regional and multinational initiatives for developing common deployable capabilities in accordance with the nato smart defence concept will be utilized to the maximum extent. the army of the republic of macedonia, being one of the institutions with the highest credibility with the citizens of the republic of macedonia, will serve as a model for cohabitation and mutual respect and confidence build * ing among the citizens of all ethnic and religious communities by taking up * the responsibility to provide inclusion in all leading structures of the army. the accomplishment of this vision requires a political consensus in",760,118,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
13,"the country. the ministry of defence will ensure full transparency of the defence policy and of the implementation of the defence reforms, which called for adoption of the white paper on defence. the reforms are a process that can only be achieved by ourselves by means of maximum utilization of the domestic expert capacities, the strong public support and the inter - agency coordination and cooperation. i believe in peace and stability as the foundation for sustainable development. globalization and integrations are an imperative that leads to a better quality of life through stronger competition, transparency and functional democracy. in this respect, i see the euro - atlantic integrations as the best alternative for the future of",741,117,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
14,"the republic of macedonia and the balkans. the future depends only on us - the citizens of the republic of macedonia, our preparedness to face the challenges and use all our potential to improve the living standard and the quality of life, that is, to make macedonia a better place for living. macedonia, a country of the equals, a country among the equals in nato and the eu. introduction! [ 11 _ image _ 0. png ] ( 11 _ image _ 0. png ) 1. this white paper is a comprehensive, transparent document that depicts the national security and defence policy, demonstrates the importance of interdepartmental",603,107,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
15,"cooperation and coordination to achieve improved security, underlines the capacities and capabilities of the army of the republic of macedonia ( arm ), confirms that the defence institutions possess the essential capacities and capabilities, emphasizes the dedication of the republic to undertake all obligations and responsibilities that derive from its membership to nato and the eu and provides a review of the strategic orientation of the country.! [ 12 _ image _ 1. png ] ( 12 _ image _ 1. png ) 2. as a first white paper published after 2005, it portrays the progress accomplished in defence during the past seven years in order to achieve higher security for the citizens of the republic",694,116,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
16,"of macedonia. the white paper underlines the key processes and activities required for the determination of the future strategic guidance as prescribed in the strategic documents. moreover, the white paper contains details in regards to the important programmes, projects and activities contained in the 10 year long - term defence development plan ( ltddp : 2011 - 2020 ). additionally, the white paper accentuates the current and future efforts for transformation of the defence, describes the more efficient and effective resource management processes and depicts the arm as an "" army of all citizens "", an army of appropriately and equally represented members from the entire society of the republic.! [ 12 _ image",718,114,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
17,"_ 0. png ] ( 12 _ image _ 0. png ) 3. the white paper on defence reaffirms the national values and vital interests, and provides a focus on achieving the defence priorities, especially those related to attaining membership in nato and the eu, including its contribution to the euro - atlantic and regional security and stability. the alliance recognizes macedonia ' s dedication to the nato values and out contribution to the euro - atlantic and regional security and stability. furthermore, the 2012 white paper on defence will contribute to the better understanding of the future reform requirements and long - term investments in the defence by the state leadership and political",682,114,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
18,structures as well as by the general public. the conclusion that the investments for development of the military capabilities of the army in the upcoming decade are to be initiated now is inevitable.! [ 13 _ image _ 0. png ] ( 13 _ image _ 0. png ) 4. this white paper is being published in the year when we are celebrating 20 years from the establishment of the army of the republic of macedonia at the beginning of the new cycle of defence transformation and upon the approval of the new 2010 strategic concept of the alliance. the white paper endorses the principle of full disclosure and transparency with the aim to better understand current,646,117,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
19,"conditions, projections, activities and expectations arising from the execution of defence policies. 5. the white paper on defence provides a transparent general overview of the defence policies for the domestic, foreign, professional and academic public with the goal to contribute to : - informing the citizens of the republic of macedonia about the execution of the defence budget, requirements of the long - term investment in defence and its priorities in the coming decade ; - reaffirming the readiness and dedication of the republic of macedonia to take on responsibilities and tasks that will arise from its future nato and eu memberships. 6. the white paper on defence comprehensively presents an overview of all",721,114,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
20,"segments that constitute the national security and defence policy of the republic of macedonia : strategic context - comprehensive approach towards security and defence - capabilities for executing the defence policy, resources and future challenges. the white paper on defence also presents an overview of the legislation, as the background of the national security and defence policy ( constitution of the republic of macedonia, law on defence, army service law ) as well as the key strategic documents : - 2003 national security and defence concept ; - 2008 national security strategy ; - 2010 defence strategy ; - 2011 - 2020 long - term defence development plan. i security environment! [ 15 _ image _ 0. png ]",715,119,130,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
21,( 15 _ image _ 0. png ),23,8,12,3,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
22,"# security environment 1. the current contemporary world is characterized with fast, complex and dynamic changes and faced with new growing asymmetrical threats and risks. terrorism, transnational organized crime, fourth generation warfare, proliferation of weapons of mass destruction, religious radicalism and extremism, illegal migration, unstable and non - functional countries and computer attacks are but a few. the world financial interdependency with its reflection on the crises of 2008 can be listed in the modern global challenges. the slow economic recovery and high financial deficit for some eu member states continue to be both an economic and a security challenge which, one way or another",705,105,130,4,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
23,", result in the overflow of the financial instability to its surroundings. thus, the need of security today is universal - no country can be completely isolated from the new security challenges. 2. the 2010 nato strategic concept describes the security environment as a wide and evolving set of possibilities and challenges to the security of the territory and population of the alliance. according to the assessment by nato, the globalization, the newly raised security challenges, sources of instability and potential conflicts will continue to contribute to the unpredictability of the security environment of the euro - atlantic area including the region of southeast europe. the republic of macedonia shares the nato assessment on the",739,115,130,4,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
24,"security environment and continuously provides significant contribution to the euro - atlantic security and stability. 3. the republic of macedonia is located in the central part of see as the geographic crossroads between europe, asia and africa which is of great significance for its development. from a security perspective, being on the crossroads of the main routs means greater possibility for terrorism, illegal migration, drug, human and weapons trafficking as regular transnational threats which impose the need of active cooperation with neighbouring countries and the international community. 4. the strategic security environment of the republic of macedonia has significantly changed and improved in the past several years. the democratic changes in the see countries and",784,115,130,4,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
25,"the support from nato and the eu have increased the impact on the euro - atlantic integrative processes. these positive changes create the modern political and security scene of the western balkans, where peace, cooperation, economic and democratic development between states has visibly improved and contributes to the advancement of the entire region, including macedonia. the region, to which our country belongs to as well, is still burdened by unsolved issues and faces complex security risks. 5. the republic of macedonia is aware of the influence by the global strategic changes and the irrationality and insufficient efficiency of an isolated security system. the defence system of the small countries with weak",719,111,130,4,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
26,"economies becomes even more sensitive to the global changes. that is why the republic of macedonia is even more dedicated to creating a system of joint values and participating in the cooperative forms and activities of the collective security systems with the end goal - accession to nato and the eu. 6. even though the republic of macedonia is currently not facing direct conventional threats to its national security, it is not immune to the contemporary security threats. in that regard, the republic of macedonia will remain prepared to face threats on its national security and will continuously monitor the global trends and possibilities for development and advancement of the required defence - security capabilities and capacities. 7. the nato",753,120,130,4,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
27,"and eu membership is a strong motivational factor for the comprehensive national defence reform in the republic of macedonia. the republic of macedonia is fully prepared to undertake the obligations and responsibilities as a nato member country and start the pre - accession negotiation for eu membership. from the perspective of the republic of macedonia, nato represents the key pillar of the contemporary euro - atlantic security architecture, while the eu is considered as the main driving force for democratic, economic and social development of the entire european continent. once all countries from this region are integrated in the euro - atlantic family we can talk about europe as a whole, free, democratic community of equal member states.",750,118,130,4,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
28,! [ 17 _ image _ 0. png ] ( 17 _ image _ 0. png ) ii comprehensive approach to national security,96,23,29,4,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
29,# comprehensive approach to national security,45,6,8,5,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
30,"# # national interests 1. the national security interests arise from the fundamental values set in the constitution of the republic of macedonia. independence, sovereignty and territorial integrity and the unitary character of the country as well as its multi - ethnic and multi - cultural character are the lasting interests of the republic macedonia. 2. the vital national interests are the following : - protection and promotion of peace, security, health and personal security of the citizens ; - promotion of the multiethnic democracy and multiethnic relations ; - preservation and improvement of democratic values of the state : human right and liberties, rule of law, political pluralism, open political dialogue between",727,113,130,6,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
31,"the political parties, principle of division of power, protection of the cultural identity and heritage of all macedonian citizens ; - stimulation of sustainable economic and social development of the country based on the principles of market economy, private property and entrepreneurship ; - political - defence integration to nato ; - political, economic and security integration to eu. 3. the necessary preconditions for execution of the vital the interests are the following : - contribution to the peace and stability in the world, in europe and in the region of southeast europe ; - development and maintenance of all possible forms of cooperation with neighbouring countries, expedient to the vital interests ; - building",729,115,130,6,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
32,"a just social state from the aspect of creating equal opportunities for all citizens regardless of their gender, race, religion, political or ethnic background ; - improvement of the internal stability of the country, as a precondition for sustainable political, economic and social development ; - development of a modern democratic society ; - protection and improvement of the environment. 4. the republic of macedonia will accomplish its interest by consistent observance of the human rights and liberties, the democratic principles and the international law, which in turn enables peaceful solution of disputes, promotion of peace and stability and improvement of the image that the republic of macedonia has in the democratic world.",738,113,130,6,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
33,the republic of macedonia provides long - term contribution in handling crises in the euro - atlantic area as part of the international initiatives and missions.,161,26,29,6,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
34,"# # national security and defence policy 5. the national security system of the republic of macedonia reflects the security policy implemented through the foreign, interior, defence, economic, social and environmental policies. the subjects of the national security system are constantly upgrading and enhancing the institutional capacities so as to respond to the national security threats. 6. protection and promotion of the lasting interest and the vital interests of the republic of macedonia are fundamental goals of the national defence and security. in order to enforce, defence is organized as an integral part of the system for comprehensive security possibilities and capacities. integration in nato and eu and the active participation in other forms of international cooperation",789,117,130,7,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
35,"are considered to be a possibility for effecting national interests by the republic of macedonia. macedonia has declared its dedication to joining nato since 1993 and the dedication to join the eu in 2004. 7. the republic of macedonia has well a developed strategic framework in regards to the security and defence, and a well established system for long - term planning, programming, budgeting and execution. the instituted political and normative frame of the strategic defence documents demonstrate the outlook and direction of the national security and defence policy, the development of the defence system, the challenges that require a response and the risks and threats that the defence system will deal with in the future",729,116,130,7,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
36,"period by accomplishing its strategic missions. 8. in support of the national security, the defence system of the republic of macedonia is capable of providing support and executing of the following strategic missions : - defence and protection of the territorial integrity and independence of the republic of macedonia ; - participation in the nato collective defence ; - contribution to operations in the broad spectrum of un, nato and eu led missions ; - protection of the wider interests of the republic of macedonia. 9. the national security goals of the republic of macedonia articulate the effective organization of the national security system and represent the basis for practical inter - departmental coordination and joint actions. the development",758,119,130,7,northmacedonia_2012_WhitePaper.md,2025-01-28 18:58:20
