chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"summary introduction a national strategic concept - position, purpose and validity a new era in international security part i - security in a new era the concept of security fundamental norwegian security interests norway ’ s freedom of action in the field of security policy exercising sovereignty, authority and sovereign rights the « grey zones » of security policy threat, risk and damage part ii - our international security environment security challenges - a new risk assessment key global developments disparate global trends part iii - the constants of security policy and norway ’ s immediate surroundings the un nato the eu the usa and the transatlantic dimension the nordic and baltic states our relations with russia part iv - security consequences",761,122,130,0,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
2,"for norway the regional dimension the global dimension part v - the fundamental objectives of security policy part vi - the norwegian armed forces as an instrument of security policy, and norway ’ s use of military power a comprehensive approach to the use of security policy instruments a modernised total defence concept legality and political legitimacy command authority and political control the conditions for norway ’ s use of military force part vii - the security roles of the norwegian armed forces, defence policy objectives, and military tasks the security roles of the naf defence policy objectives the tasks of norwegian armed forces part viii - the defence concept part ix - the force posture and capabilities of the naf",735,121,130,0,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
3,"availability of military capabilities institutional competencies niche capabilities, role specialisation and division of labour multinational military cooperation as a development strategy criteria for establishing priorities transformation and network - enabled defence * * 13 * * * * 13 * * * * 14 * * * * 15 * * * * 16 * * * * 17 * * * * 19 * * * * 21 * * * * 23 * * * * 24 * * * * 25 * * * * 26 * * * * 26 * * * * 29 * * * * 31 * * * * 32 * * * * 33 * * * * 36 * * * * 37 *",477,125,130,0,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
4,* * * 39 * * * * 39 * * * * 41 * * * * 42 * * * * 44 * * * * 47 * * * * 49 * * * * 50 * * * * 51 * * * * 52 * * * * 54 * * * * 56 * * * * 57 * * * * 58 * * * * 60 * * * * 61 * * * * 67 * * * * 71 * * * * 72 * * * * 72 * * * * 73 * * * * 74 * * * * 76 * * * * 78 * * - - - - -,275,126,128,0,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
5,"# # the defence minister s preface accurate. cooperation within europe has been strengthened and deepened. both nato and the eu have enlarged to include new member states. the shadows of the cold war are gone, and russia participates in a broad international cooperation and growing partnership with the rest of europe and north america. however, our geographic position and the vast ocean areas under our jurisdiction continue to represent specific challenges to norway - a responsibility that must be taken seriously. at the same time, developments in regions adjacent to europe, as well as global developments, have demonstrated our dependence on global stability and reinforced international cooperation. in this context, the un is of particular",749,116,130,1,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
6,"importance. the norwegian armed forces ( hereafter : naf ) have proven their decisive role in providing norwegian authorities with the necessary instruments to contribute actively to norwegian, european and international security. the continued modernisation of the naf, which enjoys broad political support in the storting, is crucial in order to enable our armed forces to remain a key instrument of security policy also in the future. the process of transformation in which the naf is currently engaged, is challenging, demanding, at times painful and utterly necessary. by persisting in this process, norway will be well equipped to ensure our own national security interests, as well as",691,107,130,1,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
7,"to contribute to international peace and stability. it will also enable us to contribute to keeping nato relevant and, therefore, politically central to its member states, and contribute to the n june 2002, when the norwegian parliament, the storting, voted on the report of the standing committee on defence no. 232 [ i ] ( on government proposition no. 55 of 2001 - 2002 [ ii ] ), we and the rest of the world had just been shaken and appalled by the terrorist attacks on the usa on 11 september 2001. when the storting in june 2004 voted on the report of the standing committee on defence no. 234 [ iii",605,112,130,1,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
8,"] ( on government proposition no. 42 of 2003 - 2004 [ iv ] ), we had yet again been shaken and appalled, this time by the terrorist attacks in madrid on 11 march 2004. and, there is reason to point out, in addition to the serious threat of international terrorism, norwegian, european and international security today face several major security challenges - in areas such as the balkans, the caucasus, the middle east and several other places. we may conclude, for better and for worse, that our understanding of the development of international security in recent years has been i innst. s. nr. 232 ( 2001 - 2002 ).",617,110,130,1,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
9,"ii st. prp. nr. 55 ( 2001 - 2002 ) : the implementation proposition - supplementary guidelines for the restructuring of the norwegian armed forces in the period 2002 - 2005. iii innst. s. nr. 234 ( 2003 - 2004 ). iv st. prp. nr. 42 ( 2003 - 2004 ) : the continued modernisation of the norwegian armed forces in the period 2005 - 2008. - - - - - continuation and deepening of transatlantic cooperation, which remains of vital importance. on this basis i am pleased to present a strategic concept for the norwegian armed forces. it builds directly on the storting ’ s",565,106,130,1,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
10,"decisions regarding the report of the standing committee on defence no. 234 in june 2004 and the political conclusions that were drawn at that point. our national strategic concept complements nato ’ s strategic concept of april 1999. it summarises the decisive security and defence policy guidelines relevant for the use of the naf as an instrument of security policy, and thus its decisive role for the transformation of our armed forces. in line with the decisions of the storting, our national strategic concept is based on adjusted fundamental objectives for our security policy, reformulated objectives for our defence policy, reformulated tasks for the armed forces, and a reformulated defence",700,110,130,1,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
11,"concept. the term « strategic concept » corresponds to the term nato uses for its matching political guidance document ( the alliance ’ s strategic concept ). the eu ’ s term for its overarching political guidance document is « security strategy » ( a secure europe in a better world. european security strategy ). the latter document includes esdp ( the common european security and defence policy ) but has a broader scope in that it also includes foreign policy and the use of economic, diplomatic and other instruments. the same applies to the national security strategy of the united states of america, published by the white house. the term « strategic concept », therefore",679,116,130,1,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
12,", is most appropriate, as it like nato ’ s concept relates to the guidelines for the development and use of military means only. the purpose of this document includes, in particular, to contribute to a common and holistic perspective on the roles, tasks and force posture of the naf in an era characterised by major changes and new security challenges. such a common perspective is a precondition for the successful transformation of the norwegian armed forces. the modernisation and restructuring of the naf is directed from the strategic level by means of political guidance documents from the ministry of defence. these include primarily the implementation directive for the current long term planning period",711,114,130,1,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
13,"and the annual defence budgets. the strategic concept for the naf sets the security and defence policy framework for the doctrines and operational activities of our armed forces. in that sense it constitutes the political basis for these dimensions of the naf ’ s overall activities. the document will be updated according to need. this edition is in principle valid for the period 2005 - 2008. oslo, 11 october 2004 kristin krohn devold - - - - -",447,78,91,1,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
14,"# # summary * * this strategic concept states the political basis for the operational activities * * * * of the norwegian armed forces ( naf ) in the field of security and defence * * * * policies. in doing so, it serves the role as strategic level political guidance. * * * * the document, thus, provides the political basis for the development of * * * * naf doctrines and the naf ’ s operational activities. * * even though the international society ’ s efforts to enhance peace and security aim at solving conflicts by other means than through the use of force, active use of military power has been frequent after the",622,118,130,2,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
15,"end of the cold war. armed conflict, war or the potential for war between states is still very much a political reality. armed conflicts within states and the activities of non - state actors may also lead to extensive use of force. international terrorism has on several occasions shown that there is an acute need to defend against such threats. the traditional understanding of the aim of security policy has been the defence of the state and its basic interests - state security. state security is a fundamental security requirement that may, when the state faces an existential threat, legitimise the employment of all available resources. new security challenges and new types of armed conflicts after",707,116,130,2,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
16,"the end of the cold war have led to an increased emphasis on societal security. societal security concerns the safeguarding of the civilian population, vital societal functions and critical infrastructure in situations in which the existence of the state as such is not threatened. this development has been accompanied by an increased focus on human security, which is an important part of societal security. human security aims at protecting the individual with regards to human rights, especially the right to life and personal safety. the broad interpretation of the concept of security has great significance for the tasks military forces may be required to carry out, and therefore also for their training, equipment and operational concepts. the",752,117,130,2,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
17,"term exercising sovereignty denotes the protection of norway ’ s nation - state prerogatives. sovereignty is exercised without evoking questions of whether or not actions have a basis in domestic law. concrete measures against external enemies do not violate the norwegian principle of legality. the term exercising authority denotes the enforcement of official regulations, prohibitions and conditions as given in laws, regulations or other legal documents, applicable to individuals or private legal subjects. in some areas the naf have a significant responsibility to exercise authority on behalf of other government agencies. the exercise of authority will often be complementary to the other tasks of the naf. the concept sovereign rights",743,110,130,2,norway_2004_NationalStrategicConcept.md,2025-01-28 18:55:26
