chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - -,9,5,7,0,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
2,"# new building blocks in the north # # the next step in the government ’ s high north strategy - - - - - _ photos front page : arild lyssand / mfa norway, norwegian coast guard, jan fredrik frantzen / norwegian _ _ centre for telemedicine, kjell ove storvik / norwegian seafood export council, statoilhydro, christian _ _ houge, scanpix, elkem _ - - - - -",355,69,100,1,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
3,"# # foreword * * norway in the north * * * * – the way forward * * the high north is norway ’ s most important strategic priority area. my government made this clear in its inaugural address, and we followed up by presenting our high north strategy on 1 december 2006. the overall aim is to enhance knowledge in and about the north, increase our activity and presence in the area and lay the foundations for sustainable economic and social development in the years to come. more than two years have now passed since the government presented its high north strategy. during this period we have gained further insight into the opportunities and challenges created by developments in the",684,122,130,2,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
4,"north, particularly in the fields of climate and energy and in our relations with russia. the high north strategy contained 22 specific action points. most of them have now been carried out. but that does not mean that the strategy will soon be a closed chapter of a book we can lay aside. quite the contrary. the high north strategy is a project that is constantly evolving. achieving lasting results will require focused efforts over several parliamentary periods. we are only just at the beginning. the need to develop our high north strategy is greater than ever. this is apparent when we look at how the world around us is changing. during the past few months both",669,117,130,2,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
5,"the eu and the us have presented their own strategies for the high north. they plan to step up their engagement in this area, and so do russia and many other key actors. international interest in the arctic and the world ’ s northernmost regions will continue to grow. it is our intention to stay ahead of these developments. implementing the high north strategy has given us opportunities to listen and learn from many sources in the north and in the rest of norway, as well as in our contact with other countries. we have gained experience and have received valuable input. this has provided a basis for setting the course ahead. part i of this publication – new",664,119,130,2,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
6,"building blocks in the north – presents the government ’ s platform for its further efforts in this field. part ii of the publication provides the backdrop to part i. it contains examples that illustrate the diversity of the challenges and opportunities we are facing in our high north policy, and gives an overview of the issues we have been focusing on. the government intends to continue and intensify its high north efforts. these efforts build on constructive partnerships – between the public and private sector, between central and local authorities, and between norwegian and foreign actors. there are no clear - cut answers. we want as many as possible to be involved in determining the way",699,117,130,2,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
7,"ahead, and encourage frank and broad - based debate. prime minister jens stoltenberg oslo / tromsø, 12 march 2009. - - - - -",124,24,34,2,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
8,# # contents part i new building blocks in the north the next step in the government ’ s high north strategy introduction.........................................................................................................,226,23,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
9,................................................................ 6 1. developing knowledge about climate and the environment in the high north..................................................,192,14,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
10,.................................................................................................. 8 1. 1 developing a centre for climate and environmental research in tromsø..............,188,14,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
11,............... 8 1. 2 establishing new technical research infrastructure.................................................................... 11 _ 1. 2. 1 establishing an arctic earth observing system in svalbard...................,231,22,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
12,....................... 11 _ _ 1. 2. 2 building a next - generation radar system in the high north ( eiscat 3 - d )................ 11 _ _ 1. 2. 3 a new ice - class research vessel...............................................,227,37,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
13,............................................. 12 _ 1. 3 mapping the diversity of the seabed.......................................................................,162,11,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
14,"........................ 13 2. improving monitoring, emergency response and maritime safety systems in northern waters.........................................................................................",207,14,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
15,................................ 13 2. 1 establishing an integrated monitoring and notification system............................................. 13 2. 2 improving pollution and emergency response systems..............................,236,20,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
16,............................. 14 _ 2. 2. 1 further developing the norwegian coastal administration ’ s _ _ maritime safety expertise...............................................................................,211,19,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
17,...................... 14 _ _ 2. 2. 2 improving maritime safety...............................................................................................,158,10,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
18,.... 15 _ _ 2. 2. 3 strengthening the oil spill response................................................................................... 16 _ 3. promoting sustainable use of offshore petroleum and renewable marine resources..............,240,25,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
19,......................................................................................................... 18 3. 1 developing marine industries................,158,7,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
20,.............................................................................................. 19 _ 3. 1. 1 a national initiative for cod farming.....................,166,12,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
21,............................................................. 19 _ _ 3. 1. 2 a national initiative for marine bioprospecting.................................................,173,13,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
22,"............ 20 _ _ 3. 1. 3 exploring the potential of bioenergy based on marine algae..................................... 21 _ _ 3. 1. 4 combating illegal, unreported and unregulated ( iuu ) fishing.................................",233,31,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
23,.. 21 _ 3. 2 developing maritime business activities........................................................................................ 22 _ 3. 2. 1 developing norwegian ports and supply industry in connection _ _ with a possible opening of new sea routes in the north.,274,35,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
24,............................................... 22 _ _ 3. 2. 2 developing expertise on maritime activity in arctic areas........................................... 22 _ _ 3. 2. 3 satellite - based automatic ship identification........,234,27,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
25,.......................................................... 23 _ 3. 3 developing petroleum - based business activities...........................................................,176,11,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
26,............. 23 _ 3. 3. 1 developing a knowledge base for petroleum activities in the north........................ 23 _ _ 3. 3. 2 encouraging regional ripple effects from petroleum activities in the north........... 24 _ _ 3. 3. 3 assessing alternative locations for petroleum bases in eastern finnmark............... 25 _ - - - - - 4. promoting onshore,355,57,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
27,business development in the north......................................................... 25 4. 1 developing tourism............................................................,177,10,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
28,.................................................................... 26 4. 2 developing mineral - based industries...................................................,165,9,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
29,..................................... 27 4. 3 developing expertise and business activity based on arctic conditions............................ 28 4. 4 strengthening innovation and development capacity.........................................,242,21,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
30,.................... 29 _ 4. 4. 1 an innovation boost for business in the north............................................................... 29 _ _ 4. 4. 2 strengthening local development efforts..................,215,24,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
31,...................................................... 30 _ 5. further developing the infrastructure in the north...............................................................,176,11,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
32,31 5. 1 developing the knowledge infrastructure..................................................................................... 31 5. 2 developing the transport network...........................,200,14,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
33,........................................................................ 33 5. 3 upgrading electric power infrastructure and security of supply........................................... 35,189,13,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
34,5. 4 further developing space - related infrastructure......................................................................... 36 6. the government will continue to exercise sovereignty firmly and strengthen cross - border cooperation in the north..........................,274,27,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
35,............................. 37 6. 1 increasing the activities of the coast guard.................................................................................. 38 6. 2 further developing,191,16,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
36,border control................................................................................................... 38 6. 3 further developing civilian border surveillance and control................,197,12,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
37,................................... 39 6. 4 strengthening competence - building cooperation..................................................................... 40 6. 5 developing cultural cooperation........,208,15,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
38,............................................................................................... 41 7. safeguarding the cultures and livelihoods of indigenous peoples....................,185,11,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
39,.......... 42 7. 1 documenting traditional sami knowledge................................................................................... 43 7. 2 establishing a programme for cultural industries.................,214,17,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
40,....................................................... 43 7. 3 developing ethical guidelines for economic activities in the north..................................... 43 7. 4 developing digital infrastructure for indigenous languages.............,247,22,130,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
41,..................................... 44 7. 5 strengthening the capacity and competence of sami institutions...................................... 44 - - - - -,159,18,95,3,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
42,"# # new building blocks in the north the next step in the government ’ s high north strategy * * introduction * * in its policy platform, the government stated that it considers the high north to be norway ’ s most important strategic priority area in the years ahead. in december 2006 the government presented its high north strategy as an element in its efforts to translate this part of the policy platform into practical policy. seven main political priorities were formulated in the strategy : 1. we will exercise our authority in the high north in a credible, consistent and predictable way. 2. we will be at the forefront of international efforts to develop knowledge in and about",687,121,130,4,norway_2009_HighNorthStrategy.md,2025-01-28 18:53:54
