chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - -,9,5,7,0,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
2,# # # # # # in the name of allah the most beneficent the most merciful page 2 of 94 - - - - - page 3 of 94 - - - - -,116,35,41,1,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
3,"# # # # # # national internal security policy - 2014 - 18 1. this first ever national internal security policy ( nisp ) is formulated to protect national interests of pakistan by addressing critical security issues as well as concerns of the nation. it is based upon principles of mutual inclusiveness and integration of all national efforts and includes three elements _ viz i ) dialogue with all stakeholders, ii ) _ isolation of terrorists from their support systems, iii ) enhancing deterrence and capacity of the security apparatus to neutralise the threats to internal security of pakistan. this requires integrated efforts through an institutionalized monitoring framework under democratic leadership to elicit support and cooperation",741,117,130,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
4,"of local and international stakeholders. 2. global terrorism and armed conflict in afghanistan have changed the internal security paradigm of pakistan. pakistan ’ s economy has suffered a loss of more than us $ 78 billion in last ten years only. more than 50, 000 pakistanis, including civil, armed forces and law enforcement agencies ( leas ) personnel, were affected or sacrificed their lives. this challenges the resolve and resilience of people of pakistan for peace. * * national internal security environment * * 3. internal security environment is dominated by non - traditional threats of extremism, sectarianism, terrorism and militancy. in present form",662,104,130,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
5,", the internal security apparatus is inadequately equipped and enormously strained to tackle these threats. this elucidates the dire need for a comprehensive and inclusive response plan, as no single state agency is capable of dealing with such threats on its own. * * scope * * 4. whereas it is critical to define the composite picture concerning threats to national security, nisp essentially remains focused on internal security. national internal security ( nis ) paradigm, however, would be incomplete without identifying page 4 of 94 - - - - - its linkages with external diplomatic initiatives and various other dimensions of human security. in some parts of the country hostile",684,111,130,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
6,"networks have also challenged the writ of the state. nonetheless, national security apparatus including ministry of defence ( mod ), is dealing with this situation under political oversight. other, relevant state institutions will address social, economic, environmental and external security aspects. * * vision * * 5. create a safe environment where life, property, civil liberties and socio economic rights of the citizens are protected and the people of pakistan are able to live and prosper in harmony, freedom, respect and dignity as enshrined in the constitution of pakistan. * * threat perception * * 6. pakistan is facing serious traditional and non - traditional threats of violent ex",694,109,130,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
7,"##tremism, sectarianism, terrorism and militancy. this has adversely affected economic stability and social harmony, and continues to instil a sense of insecurity among the people at large. 7. subversive activities and a pattern of targeting the national security apparatus and key installations by the terrorists and non - state armed groups have compounded the challenge. faced with the complexity of the situation, use of chemical and biological substances by terrorist and non - state armed groups cannot be ignored and mod is equipped to deal with these extreme threats. 8. terrorist networks lurk in shadows and thrive on a strategy of invisibility",654,102,132,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
8,"and ambiguity. they operate in an ideologically motivated network of networks to embroil the state on physical, psychological and ideological levels. 9. the widespread spectrum of internal threats is a critical impediment to economic development and social cohesion. traditionally, the entire internal security apparatus acts in a reactive rather than proactive manner. in the absence of an integrated internal security response, the terrorists are expanding their network to the detriment of national integration and economic betterment of the people of pakistan. page 5 of 94 - - - - - * * policy objectives * * 10. to establish the writ of the state and protect the",668,107,130,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
9,"people from all internal threats. 11. to protect the life, property and fundamental rights of the citizens of pakistan. 12. to promote pluralism, freedom, democracy and a culture of tolerance. 13. to prevent, deter and contain threats to internal security in a transparent, accountable and just manner. 14. to resolve and manage disputes with hostile elements peacefully without compromising the rule of law. * * policy framework * * 15. the soft component of policy framework outlines an integrated process of research and coordination on key issues. it highlights primacy of the political process, supported by a comprehensive response plan ( crp ). crp is",658,105,130,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
10,"focused on winning over trust and confidence of general public to combat extremism and terrorism. the hard component of nisp comprises of composite deterrence plan ( cdp ). it complements the existing internal security apparatus to combat terrorism. * * comprehensive response plan ( crp ) * * 16. crp is a composite process based on dialogue with all sections of society. it includes infrastructure development, rehabilitation of victims of terrorism, national narrative reconciliation, reintegration and legal reforms. all these encompassing elements of social, economic, and ideological domain require utmost attention and careful execution. * * _ reconstruction _ * * 17. terrorism has not only",698,106,130,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
11,"affected the socio cultural environment but it has also damaged the scarce existing infrastructure in pakistan by way of frequent attacks on educational institutions, healthcare facilities, communication networks, and supply of energy within the country. nacta will coordinate with all relevant agencies for fair assessment of losses, monitor and recommend plans for securing the infrastructure. page 6 of 94 - - - - - * * _ rehabilitation _ * * 18. sustainable and integrated development for rehabilitation of affected regions is fundamental in collaboration with respective provincial governments. though such efforts are already in place but need vigorous follow up for timely implementation and quick impact. it will also ensure that victims of terrorism are provided sufficient",782,118,130,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
12,"support through similar programs. 19. towards this end, enormous support of various public and international organizations is available, but requires synergy and improved communication. nacta will analyse the shortcomings of planning and execution and recommend appropriate strategies in this process. an integrated evaluation and monitoring mechanism shall be established within nacta to coordinate the process of rehabilitation. * * _ national - narrative _ * * 20. constructing a robust national narrative on extremism, sectarianism, terrorism and militancy is the corner stone of an ideological response to non - traditional threats. such a narrative is essential for coming up with common ideological denominator",717,103,130,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
13,"##s in a diverse society. religious scholars, intelligentsia, educational institutions and media are the key stakeholders for constructing and disseminating the national narrative. nacta will facilitate a dialogue with all stakeholders to strengthen democratic values of tolerance respecting diversity of the society. 21. nacta in consultation with other institutions supporting nisp will develop a national de - radicalization program. * * _ reconciliation _ * * 22. nacta will devise strategy options in consultation with experts and relevant departments for peace building with extremist elements and terrorist groups opting to submit to lawful authorities and reconcile their differences on key issues within the legal framework. * *",737,107,132,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
14,"_ reintegration _ * * 23. the reintegration aspect of crp is a holistic people centric process. this has direct bearing on economic security of the citizens and it needs an integrated page 7 of 94 - - - - - response from public, organizations ( csos ). private and society development sector and civil 24. first, it envisages a youth engagement strategy ( yes ) imparting technical and vocational education, creating jobs and offering soft loans in collaboration with respective provincial governments to ensure decent livelihood opportunities for all. 25. secondly, this reintegration also envisions the incorporation of madrassas in",634,101,130,2,pakistan_2014_SecurityPolicy.md,2025-01-28 18:55:06
