chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# national security strategy,28,4,6,0,philippines_2018_NationalSecurityStrategy.md,2025-01-28 18:55:05
2,# # # # # # security and development for transformational change and well - being of the filipino people,104,20,23,1,philippines_2018_NationalSecurityStrategy.md,2025-01-28 18:55:05
3,# # # # 2018 - - - - - - - - - -,32,15,17,2,philippines_2018_NationalSecurityStrategy.md,2025-01-28 18:55:05
4,"# # # # # # message in the past decades, the concept of national security has dramatically evolved from its traditional focus on territorial defense and governmental survival to the promotion of economic development and the preservation of natural resources. guided by this shift, we crafted the national security strategy that articulates our roadmap in building a stronger nation. in order to protect our most cherished democratic institutions and way of life, we will create an environment where peace and economic development will complement each other. we will address urgent national security concerns and cope with the rapidly changing regional and global security environment in line with the objectives set forth in the national security policy",753,117,130,3,philippines_2018_NationalSecurityStrategy.md,2025-01-28 18:55:05
5,"2017 - 2022. to defend our sovereignty and the integrity of our national territory, we will continue to develop and improve our defense, intelligence and law enforcement capabilities to enable our troops to end communist insurgency, terrorism and violent extremism. we will also bolster our position in the community of nations by strengthening diplomatic relations with our traditional allies, engaging non - traditional partners and pursuing an independent foreign policy that gives primacy to our national interest. these endeavors will be sustained by a medium - term socio - economic agenda that aims to lessen the tax burden on the poor, reduce income inequality and improve the quality and accessibility of education and healthcare",738,114,130,3,philippines_2018_NationalSecurityStrategy.md,2025-01-28 18:55:05
6,". we have also embarked on an ambitious infrastructure development program that will pave the way for rapid industrialization and modernization, thereby making our country the next top investment destination in the asia pacific region. i call upon our people to stand behind our national security apparatus in carrying out this national security strategy that will strengthen the foundations of a secure, peaceful, modern and prosperous philippines. m a n i l a may 2018",470,75,84,3,philippines_2018_NationalSecurityStrategy.md,2025-01-28 18:55:05
7,# # # # # # the president of the philippines - - - - - - - - - -,64,21,23,4,philippines_2018_NationalSecurityStrategy.md,2025-01-28 18:55:05
8,# # # # # # contents | message | i | | - - - | - - - | | executive summary | iv | | chapter 1. introduction | 1 | | chapter 2. the strategic environment | 7 | | chapter 3. the national security framework | 13 | | chapter 4. the strategy | 23 | | chapter 5. strategic lines of action | 37 | | chapter 6. enhanced national security organization | 69 | | chapter 7. conclusion : a call for unity | 81 | | annex a. threats and challenges to national security | 85 | | annex b. list of strategic industries for national security | 94 | -,532,119,130,5,philippines_2018_NationalSecurityStrategy.md,2025-01-28 18:55:05
9,- - - -,7,4,6,5,philippines_2018_NationalSecurityStrategy.md,2025-01-28 18:55:05
10,# # # # # # executive summary,29,8,10,6,philippines_2018_NationalSecurityStrategy.md,2025-01-28 18:55:05
