chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,у к а з,7,4,6,0,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
2,# президента россиискои федерации утратил силу - указ президента россиискои федерации от 12. 05. 2009 г. n 537 об утверждении концепции национальнои безопасности рос,165,24,130,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
3,"##сиискои федерации ( в редакции указа президента россиискои федерации от 10. 01. 2000 г. n 24 ) в целях консолидации усилии федеральных органов государственнои власти, ор",171,26,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
4,"##ганов государственнои власти субъектов россиискои федерации, организации и граждан россиискои федерации по обеспечению национальных интересов и безопасности",158,17,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
5,россиискои федерации п о с т а н о в л я ю : 1. утвердить прилагаемую концепцию национальнои безопасности россиискои федерации. 2. федеральным органам государс,159,26,130,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
6,##твеннои власти и органам государственнои власти субъектов россиискои федерации руководствоваться положениями концепции национальнои безопасности россиис,154,15,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
7,"##кои федерации в практическои деятельности и при разработке документов, касающихся обеспечения национальных интересов россиискои федерации. 3. поручить с",154,18,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
8,"##екретарю совета безопасности россиискои федерации : подготовку президенту россиискои федерации докладов, содержащих анализ, оценку и прогноз военно - поли",156,19,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
9,"##тического и международного положения россии ; разработку директив президента россиискои федерации высшим должностным лицам государства, федеральным о",151,17,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
10,##рганам исполнительнои власти по реализации концепции национальнои безопасности россиискои федерации. 4. контроль за исполнением названных в пункте 3 наст,155,19,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
11,##оящего pm указ от г. № 1300 указа директив президента россиискои федерации возложить на секретаря совета безопасности россиискои федерации. президент россиискои,162,21,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
12,"федерации б. ельцин москва, кремль 17 декабря 1997 года n 1300 утверждена указом президента россиискои федерации от 17 декабря 1997 г. n 1300 ( в редакции указа президента россииск",180,29,130,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
13,##ои федерации от 10 января 2000 г. n 24 ) концепция национальнои безопасности россиискои федерации концепция национальнои безопасности россиискои федерации ( далее и,166,23,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
14,"##менуется - концепция ) - система взглядов на обеспечение в россиискои федерации безопасности личности, общества и государства от внешних и внутренних угр",155,22,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
15,##оз во всех сферах жизнедеятельности. в концепции сформулированы важнеишие направления государственнои политики россиискои федерации. под национальнои б,153,17,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
16,##езопасностью россиискои федерации понимается безопасность ее многонационального народа как носителя суверенитета и единственного источника власти в р,151,17,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
17,##оссиискои федерации. положение в мире характеризуется динамичнои трансформациеи системы международных отношении. после окончания эры биполярнои конфрон,153,16,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
18,##тации возобладали две взаимоисключающие тенденции. первая тенденция проявляется в укреплении экономических и политических позиции значительного числа,151,16,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
19,"государств и их интеграционных объединении, в совершенствовании механизмов многостороннего управления международными процессами. при этом все большую рол",153,17,130,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
20,"##ь играют экономические, политические, научно - технические, экологические и информационные факторы. россия будет способствовать формированию идеоло",149,16,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
21,"##гии становления многополярного мира на этои основе. вторая тенденция проявляется через попытки создания структуры международных отношении, основаннои на домин",160,19,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
22,"##ировании в международном сообществе развитых западных стран при лидерстве сша и рассчитаннои на односторонние, прежде всего военно - силовые, решения ключев",158,21,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
23,"##ых проблем мировои политики в обход основополагающих норм международного права. формирование международных отношении сопровождается конкуренциеи, а такж",154,17,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
24,"##е стремлением ряда государств усилить свое влияние на мировую политику, в том числе путем создания оружия массового уничтожения. значение военно - силовых аспе",161,23,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
25,##ктов в международных отношениях продолжает оставаться существенным. россия является однои из крупнеиших стран мира с многовековои историеи и богатыми куль,156,20,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
26,"##турными традициями. несмотря на сложную международную обстановку и трудности внутреннего характера, она в силу значительного экономического, научно - те",154,19,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
27,"##хнического и военного потенциала, уникального стратегического положения на евразииском континенте объективно продолжает играть важную роль в мировых",150,17,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
28,"процессах. в перспективе - более широкая интеграция россиискои федерации в мировую экономику, расширение сотрудничества с международными экономическим",150,17,130,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
29,##и и финансовыми институтами. объективно сохраняется общность интересов россии и интересов других государств по многим проблемам международнои безопаснос,154,18,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
30,"##ти, включая противодеиствие распространению оружия массового уничтожения, предотвращение и урегулирование региональных конфликтов, борьбу с международн",153,15,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
31,"##ым терроризмом и наркобизнесом, решение острых экологических проблем глобального характера, в том числе проблемы обеспечения ядернои и радиационно",148,18,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
32,"##и безопасности. вместе с тем активизируются усилия ряда государств, направленные на ослабление позиции россии в политическои, экономическои, военнои",150,18,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
33,"и других областях. попытки игнорировать интересы россии при решении крупных проблем международных отношении, включая конфликтные ситуации, способны под",151,18,130,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
34,"##орвать международную безопасность и стабильность, затормозить происходящие позитивные изменения в международных отношениях. во многих странах, в том ч",152,18,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
35,"##исле в россиискои федерации, резко обострилась проблема терроризма, имеющего транснациональныи характер и угрожающего стабильности в мире, что обусловл",153,18,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
36,"##ивает необходимость объединения усилии всего международного сообщества, повышения эффективности имеющихся форм и методов борьбы с этои угрозои, принятия",154,18,132,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
37,безотлагательных мер по ее неитрализации.,41,5,38,1,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
38,"# # ii. национальные интересы россии национальные интересы россии - это совокупность сбалансированных интересов личности, общества и государства в экономичес",157,20,130,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
39,"##кои, внутриполитическои, социальнои, международнои, информационнои, военнои, пограничнои, экологическои и других сферах. они носят долгосрочныи",145,14,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
40,"характер и определяют основные цели, стратегические и текущие задачи внутреннеи и внешнеи политики государства. национальные интересы обеспечивают",146,17,130,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
41,"##ся институтами государственнои власти, осуществляющими свои функции в том числе во взаимодеиствии с деиствующими на основе конституции россиискои федер",153,19,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
42,"##ации и законодательства россиискои федерации общественными организациями. интересы личности состоят в реализации конституционных прав и свобод, в обесп",153,18,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
43,"##ечении личнои безопасности, в повышении качества и уровня жизни, в физическом, духовном и интеллектуальном развитии человека и гражданина. интересы общества с",160,21,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
44,"##остоят в упрочении демократии, в создании правового, социального государства, в достижении и поддержании общественного согласия, в духовном обновлении россии. и",162,20,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
45,"##нтересы государства состоят в незыблемости конституционного строя, суверенитета и территориальнои целостности россии, в политическои, экономиче",145,15,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
46,"##скои и социальнои стабильности, в безусловном обеспечении законности и поддержании правопорядка, в развитии равноправного и взаимовыгодного международно",154,17,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
47,##го сотрудничества. реализация национальных интересов россии возможна только на основе устоичивого развития экономики. поэтому национальные интересы росс,154,17,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
48,"##ии в этои сфере являются ключевыми. во внутриполитическои сфере национальные интересы россии состоят в сохранении стабильности конституционного строя,",152,18,133,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
49,"институтов государственнои власти, в обеспечении гражданского мира и национального согласия, территориальнои целостности, единства правового простран",149,15,130,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
50,"##ства, правопорядка и в завершении процесса становления демократического общества, а также в неитрализации причин и условии, способствующих возникновению по",157,19,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
51,"##литического и религиозного экстремизма, этносепаратизма и их последствии - социальных, межэтнических и религиозных конфликтов, терроризма. национа",148,16,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
52,##льные интересы россии в социальнои сфере заключаются в обеспечении высокого уровня жизни народа. национальные интересы в духовнои сфере состоят в сохранен,156,21,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
53,"##ии и укреплении нравственных ценностеи общества, традиции патриотизма и гуманизма, культурного и научного потенциала страны. национальные интересы росс",153,18,133,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
54,"##ии в международнои сфере заключаются в обеспечении суверенитета, упрочении позиции россии как великои державы - одного из влиятельных центров многополярног",157,20,133,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
55,"##о мира, в развитии равноправных и взаимовыгодных отношении со всеми странами и интеграционными объединениями, прежде всего с государствами - участниками с",156,21,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
56,"##одружества независимых государств и традиционными партнерами россии, в повсеместном соблюдении прав и свобод человека и недопустимости применения при эт",154,19,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
57,##ом двоиных стандартов. национальные интересы россии в информационнои сфере заключаются в соблюдении конституционных прав и свобод граждан в области получ,155,20,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
58,"##ения информации и пользования ею, в развитии современных телекоммуникационных технологии, в защите государственных информационных ресурсов от несанкциониров",158,17,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
59,"##анного доступа. национальные интересы россии в военнои сфере заключаются в защите ее независимости, суверенитета, государственнои и территориальнои",149,17,133,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
60,"целостности, в предотвращении военнои агрессии против россии и ее союзников, в обеспечении условии для мирного, демократического развития государства. нац",154,19,130,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
61,"##иональные интересы россии в пограничнои сфере заключаются в создании политических, правовых, организационных и других условии для обеспечения надежнои охраны",159,19,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
62,"государственнои границы россиискои федерации, в соблюдении установленных законодательством россиискои федерации порядка и правил осуществления экономиче",152,15,130,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
63,##скои и иных видов деятельности в пограничном пространстве россиискои федерации. национальные интересы россии в экологическои сфере заключаются в сохранении,157,19,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
64,"и оздоровлении окружающеи среды. важнеишими составляющими национальных интересов россии являются защита личности, общества и государства от терроризм",149,17,130,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
65,"##а, в том числе международного, а также от чрезвычаиных ситуации природного и техногенного характера и их последствии, а в военное время - от опасностеи, во",157,25,132,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
66,##зникающих при ведении военных деиствии или вследствие этих деиствии.,70,9,60,2,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
67,"# # iii. угрозы национальнои безопасности россиискои федерации состояние отечественнои экономики, несовершенство системы организации государственнои вл",151,16,130,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
68,"##асти и гражданского общества, социально - политическая поляризация россииского общества и криминализация общественных отношении, рост организованнои прест",156,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
69,"##упности и увеличение масштабов терроризма, обострение межнациональных и осложнение международных отношении создают широкии спектр внутренних и внешних",152,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
70,угроз национальнои безопасности страны. в сфере экономики угрозы имеют комплексныи характер и обусловлены прежде всего существенным сокращением внут,148,18,130,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
71,"##реннего валового продукта, снижением инвестиционнои, инновационнои активности и научно - технического потенциала, стагнациеи аграрного сектора, ра",148,16,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
72,"##збалансированием банковскои системы, ростом внешнего и внутреннего государственного долга, тенденциеи к преобладанию в pm указ от г. № 1300 экспортных поставках",162,21,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
73,"топливно - сырьевои и энергетическои составляющих, а в импортных поставках - продовольствия и предметов потребления, включая предметы первои необходимо",151,19,130,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
74,"##сти. ослабление научно - технического и технологического потенциала страны, сокращение исследовании на стратегически важных направлениях научно - техн",152,18,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
75,"##ического развития, отток за рубеж специалистов и интеллектуальнои собственности угрожают россии утратои передовых позиции в мире, деградациеи наукоемк",152,18,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
76,"##их производств, усилением внешнеи технологическои зависимости и подрывом обороноспособности россии. негативные процессы в экономике лежат в основе",148,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
77,"сепаратистских устремлении ряда субъектов россиискои федерации. это ведет к усилению политическои нестабильности, ослаблению единого экономическог",146,15,130,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
78,"##о пространства россии и его важнеиших составляющих - производственно - технологических и транспортных связеи, финансово - банковскои, кредитнои и налоговои",157,20,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
79,"систем. экономическая дезинтеграция, социальная дифференциация общества, девальвация духовных ценностеи способствуют усилению напряженности во взаи",147,14,130,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
80,"##моотношениях регионов и центра, представляя собои угрозу федеративному устроиству и социально - экономическому укладу россиискои федерации. этноэгои",150,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
81,"##зм, этноцентризм и шовинизм, проявляющиеся в деятельности ряда общественных объединении, а также неконтролируемая миграция способствуют усилению на",149,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
82,"##ционализма, политического и религиозного экстремизма, этносепаратизма и создают условия для возникновения конфликтов. единое правовое пространство стран",154,16,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
83,"##ы размывается вследствие несоблюдения принципа приоритета норм конституции россиискои федерации над иными правовыми нормами, федеральных правовых норм",152,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
84,"над нормами субъектов россиискои федерации, недостаточнои отлаженности государственного управления на различных уровнях. угроза криминализации общест",149,15,130,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
85,"##венных отношении, складывающихся в процессе реформирования социально - политического устроиства и экономическои деятельности, приобретает особую ос",149,16,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
86,"##троту. серьезные просчеты, допущенные на начальном этапе проведения реформ в экономическои, военнои, правоохранительнои и иных областях государстве",149,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
87,"##ннои деятельности, ослабление системы государственного регулирования и контроля, несовершенство правовои базы и отсутствие сильнои государственнои п",150,16,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
88,"##олитики в социальнои сфере, снижение духовно - нравственного потенциала общества являются основными факторами, способствующими росту преступности",147,16,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
89,", особенно ее организованных форм, а также коррупции. последствия этих просчетов проявляются в ослаблении правового контроля за ситуациеи в стране, в сращивании",160,22,130,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
90,"отдельных элементов исполнительнои и законодательнои власти с криминальными структурами, проникновении их в сферу управления банковским бизнесом, крупн",151,17,130,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
91,"##ыми производствами, торговыми организациями и товаропроводящими сетями. в связи с этим борьба с организованнои преступностью и коррупциеи имеет не только пр",158,21,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
92,"##авовои, но и политическии характер. масштабы терроризма и организованнои преступности возрастают вследствие зачастую сопровождающегося конфликтами из",151,16,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
93,"##менения форм собственности, обострения борьбы за власть на основе групповых и этнонационалистических интересов. отсутствие эффективнои системы социальн",153,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
94,"##ои профилактики правонарушении, недостаточная правовая и материально - техническая обеспеченность деятельности по предупреждению терроризма и организ",151,16,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
95,"##ованнои преступности, правовои нигилизм, отток из органов обеспечения правопорядка квалифицированных кадров увеличивают степень воздеиствия этои угрозы на л",158,18,133,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
96,"##ичность, общество и государство. угрозу национальнои безопасности россии в социальнои сфере создают глубокое расслоение общества на узкии круг богаты",151,19,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
97,"##х и преобладающую массу малообеспеченных граждан, увеличение удельного веса населения, живущего за чертои бедности, рост безработицы. угрозои физич",149,18,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
98,"##ескому здоровью нации являются кризис систем здравоохранения и социальнои защиты населения, рост потребления алкоголя и наркотических веществ. последст",153,18,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
99,"##виями глубокого социального кризиса являются резкое сокращение рождаемости и среднеи продолжительности жизни в стране, деформация демографического",148,16,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
100,"и социального состава общества, подрыв трудовых ресурсов как основы развития производства, ослабление фундаментальнои ячеики общества - семьи, снижен",149,18,130,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
101,"##ие духовного, нравственного и творческого потенциала населения. углубление кризиса во внутриполитическои, социальнои и духовнои сферах может привес",149,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
102,##ти к утрате демократических завоевании. основные угрозы в международнои сфере обусловлены следующими факторами : стремление отдельных государств и межг,153,19,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
103,"##осударственных объединении принизить роль существующих механизмов обеспечения международнои безопасности, прежде всего оон и обсе ; опасность ослабле",151,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
104,"##ния политического, экономического и военного влияния россии в мире ; укрепление военно - политических блоков и союзов, прежде всего расширение нато на восто",158,23,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
105,##к ; возможность появления в непосредственнои близости от россииских границ иностранных военных баз и крупных воинских контингентов ; распространение оруж,155,20,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
106,##ия массового уничтожения и средств его доставки ; ослабление интеграционных процессов в содружестве независимых государств : возникновение и эскалация кон,156,20,133,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
107,##фликтов вблизи государственнои границы россиискои федерации и внешних границ государств - участников содружества независимых государств ; притязания на те,156,19,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
108,##рриторию россиискои федерации. угрозы национальнои безопасности россиискои федерации в международнои сфере проявляются в попытках других государств про,153,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
109,"##тиводеиствовать укреплению россии как одного из центров влияния в многополярном мире, помешать реализации национальных интересов и ослабить ее позиции в евро",159,21,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
110,"##пе, на ближнем востоке, в закавказье, центральнои азии и азиатско - тихоокеанском регионе. серьезную угрозу национальнои безопасности россиискои федерац",154,19,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
111,##ии представляет терроризм. международным терроризмом развязана открытая кампания в целях дестабилизации ситуации в россии. усиливаются угрозы национально,155,17,133,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
112,##и безопасности россиискои федерации в информационнои сфере. серьезную опасность представляют собои стремление ряда стран к доминированию в мировом инфор,154,19,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
113,"##мационном пространстве, вытеснению россии с внешнего и внутреннего информационного рынка ; разработка рядом государств концепции информационных воин,",151,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
114,предусматривающеи создание средств опасного воздеиствия на информационные сферы других стран мира ; нарушение нормального функционирования информацио,149,16,130,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
115,"##нных и телекоммуникационных систем, а также сохранности информационных ресурсов, получение несанкционированного доступа к ним. возрастают уровень и масш",154,18,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
116,##табы угроз в военнои сфере. возведенныи в ранг стратегическои доктрины переход нато к практике силовых ( военных ) деиствии вне зоны ответственности блока,156,23,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
117,и без санкции совета безопасности оон чреват угрозои дестабилизации всеи стратегическои обстановки в мире. увеличивающиися технологическии отрыв ряда веду,154,19,130,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
118,##щих держав и наращивание их возможностеи по созданию вооружении и военнои техники нового поколения создают предпосылки качественно нового этапа гонки воор,156,21,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
119,"##ужении, коренного изменения форм и способов ведения военных деиствии. активизируется деятельность на территории россиискои федерации иностранных специаль",155,17,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
120,##ных служб и используемых ими организации. усилению негативных тенденции в военнои сфере способствуют затянувшиися процесс реформирования военнои организа,155,18,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
121,"##ции и оборонного промышленного комплекса россиискои федерации, недостаточное финансирование национальнои обороны и несовершенство нормативнои правовои б",154,16,132,3,russia_1997_NationalSecurityConcept_noneng.md,2025-01-28 18:57:30
