chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# морская доктрина россиискои федерации на период до 2020 года 27 июля 2001 года освоение пространств и ресурсов мирового океана - одно из главных направлении развития мир,171,27,130,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
2,##овои цивилизации в третьем тысячелетии. сущность национальнои политики ведущих морских держав и большинства государств мирового сообщества в обозримом,152,18,133,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
3,"будущем составят самостоятельная деятельность и сотрудничество в освоении мирового океана, а также неизбежное соперничество на этом пути. исторически",149,18,130,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
4,"россия - ведущая морская держава, исходя из ее пространственных и геофизических особенностеи, места и роли в глобальных и региональных международных отно",153,21,130,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
5,"##шениях. она заслужила этот статус благодаря географическому положению с выходом в три океана и протяженности морских границ, а также огромному вкладу в из",156,23,132,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
6,"##учение мирового океана, в развитие морского судоходства, многим великим открытиям, сделанным известными русскими мореплавателями и путешественниками",150,16,132,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
7,". морская доктрина россиискои федерации ( далее именуется – морская доктрина ) является основополагающим документом, определяющим государственную полити",152,18,130,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
8,##ку россиискои федерации в области морскои деятельности - национальную морскую политику россиискои федерации ( далее именуется – национальная морская полити,157,20,132,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
9,"##ка ). морская деятельность - это деятельность россиискои федерации в области изучения, освоения и использования мирового океана в интересах безопасности, устои",161,21,133,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
10,##чивого экономического и социального развития государства ( далее именуется – морская деятельность ). правовую основу морскои доктрины составляют конст,152,19,132,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
11,"##итуция россиискои федерации, федеральные законы и другие нормативные правовые акты россиискои федерации, конвенция оон по морскому праву 1982 года, международ",160,20,132,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
12,"##ные договоры в области морскои деятельности, использования ресурсов и пространств мирового океана. морская доктрина развивает применительно к морскои деятел",158,19,132,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
13,"##ьности положения концепции национальнои безопасности россиискои федерации, концепции внешнеи политики россиискои федерации, военнои доктрины россиискои",153,15,132,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
14,"федерации, концепции судоходнои политики россиискои федерации, основ политики россиискои федерации в области военно - морскои деятельности на период до 2010 г",158,21,130,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
15,##ода и других нормативных правовых актов россиискои федерации. совокупность сил и средств государства и возможностеи их использования для реализации националь,159,20,132,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
16,##нои морскои политики составляют морскои потенциал россиискои федерации. основои морского потенциала россиискои федерации являются военно - морскои фло,152,18,132,0,russia_2001_MarineDoctrine_noneng.md,2025-01-28 18:57:36
