chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# указ! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) президента россиискои федерации о стратегии национальнои безопасности россиискои федерации в соответствии с федеральными за,177,32,130,0,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
2,"##конами от 28 декабря 2010 г. № 390 - фз "" о безопасности "" и от 28 июня 2014 г. № 172 - фз стратегическом планировании в россиискои федерации "" "" o постановляю : 1. утвердить прилагаемую",188,37,132,0,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
3,"стратегию национальнои безопасности россиискои федерации. 2. признать утратившими силу : указ президента россиискои федерации от 12 мая 2009 г. № 537 "" о стратегии н",165,25,130,0,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
4,"##ациональнои безопасности россиискои федерации до 2020 года "" ( собрание законодательства россиискои федерации, 2009, № 20, ст. 2444 ) ; пункт 27 приложения № 1 к указу прези",175,28,132,0,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
5,"##дента россиискои федерации от 1 июля 2014 г. № 483 "" об изменении и признании утратившими силу некоторых актов президента россиискои федерации "" ( собрание законодате",168,26,132,0,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
6,"##льства россиискои федерации, 2014, № 27, ст. 3754 ). 3. настоящии указ вступает в силу со дня его подписания.! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) кои федерации! [ 0 _ image _ 2. png ] ( 0 _ image _ 2",212,51,132,0,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
7,". png ) москва, кремль 31 декабря 2015 года № 683 в. путин утверждена указом президента россиискои федерации от 31 декабря 2015 г. № 683",136,25,97,0,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
8,# стратегия национальнои безопасности россиискои федерации i. общие положения 1. настоящая стратегия является базовым документом стратегического планиров,153,17,130,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
9,"##ания, определяющим национальные интересы и стратегические национальные приоритеты россиискои федерации, цели, задачи и меры в области внутреннеи и внешн",154,19,133,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
10,"##еи политики, направленные на укрепление национальнои безопасности россиискои федерации и обеспечение устоичивого развития страны на долгосрочную перс",151,17,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
11,"##пективу. 2. правовую о основу с настоящеи с стратегии с составляют конституция россиискои федерации, федеральные законы от 28 декабря 2010 г. № 390 - фз "" о безопасност",170,28,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
12,"##и "" и от 28 июня 2014 г. № 172 - фз с "" о стратегическом планировании в в россиискои федерации "", другие федеральные законы, нормативные правовые акты президента россииско",173,30,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
13,"##и федерации. 3. настоящая стратегия призвана консолидировать усилия федеральных органов государственнои власти, других государственных органов, органов гос",157,17,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
14,"##ударственнои власти субъектов россиискои федерации ( далее - органы государственнои власти ), органов местного самоуправления, институтов гражданского общ",156,18,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
15,##ества по созданию благоприятных внутренних и внешних условии для реализации национальных интересов и стратегических национальных приоритетов россиискои фед,157,18,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
16,##ерации. 4. настоящая стратегия является основои для формирования и реализации государственнои политики в сфере обеспечения национальнои безопасности россии,157,18,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
17,##скои федерации. 5. настоящая стратегия основана на неразрывнои взаимосвязи и взаимозависимости федерации и социально - экономического развития страны. 6.,155,19,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
18,в настоящеи стратегии используются следующие основные понятия : национальная безопасность россиискои федерации ( далее - национальная безопасность ) - состо,156,20,130,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
19,"##яние защищенности личности, общества и государства от внутренних и внешних угроз, при котором обеспечиваются реализация конституционных прав и своб",149,19,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
20,"##од граждан россиискои федерации ( далее - граждане ), достоиные качество и уровень их жизни, суверенитет, независимость, государственная и территориальная",156,20,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
21,"целостность, устоичивое социально - экономическое развитие россиискои федерации. национальная безопасность включает в себя оборону страны и все виды бе",151,19,130,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
22,"##зопасности, предусмотренные конституциеи россиискои федерации и законодательством россиискои федерации, прежде всего государственную, общественн",146,13,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
23,"##ую, информационную, экологическую, экономическую, транспортную, энергетическую безопасность, безопасность личности ; национальные интересы рос",144,13,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
24,"##сиискои федерации ( далее - национальные интересы ) - объективно значимые потребности личности, общества и государства в обеспечении их защищенности и уст",156,22,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
25,"##оичивого развития ; угроза национальнои безопасности - совокупность условии и факторов, создающих прямую или косвенную возможность нанесения ущерба национа",157,19,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
26,##льным интересам ; обеспечение национальнои безопасности - реализация органами государственнои власти и органами местного самоуправления во взаимодеис,151,17,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
27,"##твии с институтами гражданского общества политических, военных, информационных, правовых и и иных мер, направленных на противодеиствие угрозам нацио",150,18,132,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
28,##нальнои безопасности и удовлетворение национальных интересов ; стратегические с национальные приоритеты в россиискои федерации ( далее - стратегические н,155,19,133,1,russia_2015_PresidentialDecree_noneng.md,2025-01-28 18:57:59
