chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # the general staff of the armed forces of the slovak republic,64,13,15,0,slovakia_2003_DoctrineOfTheArmedForces.md,2025-01-28 18:55:17
2,"# doctrine of the armed forces of the slovak republic bratislava 2003 - - - - - the doctrine of the armed forces of the slovak republic complements the system of the strategic political and military documents with an important link. its application shall support the training, preparation and effective employment of the armed forces of the slovak republic for military operations. it contains principles for the joint use of the components of the armed forces in military operations during peacetime, in crisis situations and during armed conflicts. it is based on knowledge of modern military science and is developed in such a way that the commanders might master basics of military art, applied within the forces of nato member",731,120,130,1,slovakia_2003_DoctrineOfTheArmedForces.md,2025-01-28 18:55:17
3,"states, at the level that enables them to increase operational readiness of our armed forces continuously and to develop capabilities needed for the defence of the slovak republic and for accomplishment of commitments based on the international treaties. lieutenant general milan cerovsky the chief of the general staff of the armed forces of the slovak republic 2 - - - - -",374,62,68,1,slovakia_2003_DoctrineOfTheArmedForces.md,2025-01-28 18:55:17
4,"# # # contents introduction * * chapter 1. * * * * strategic context * * security environment of the slovak republic at the beginning of the 21 [ st ] century security and defence system of the slovak republic preparations and control of defence of the slovak republic deciding on engagement of the armed forces according to the purpose and type of engagement operational planning * * chapter 2 : war, levels of war * * characteristics of war political strategic level of war military strategic level of war operational and tactical level of war * * chapter 3 : * * * * the state´s fighting power, tasks and composition of * * * * the armed forces of the slovak",661,124,130,2,slovakia_2003_DoctrineOfTheArmedForces.md,2025-01-28 18:55:17
5,"republic * * the state´s fighting power the armed forces and their fighting power purpose, mission and tasks of armed forces of the slovak republic composition of the armed forces of the slovak republic * * chapter 4 : basic approaches to engagement of the armed forces * * * * of the slovak republic * * military strategic principles manueverist approach to military operations application of the mission command method joint operations combined operations * * chapter 5. military operations other than war ( mootw ) * * principles of conducting mootw peace support operations measures to counter international terrorism humanitarian operations and support of civilian authorities * * chapter 6. operation command and control *",728,117,130,2,slovakia_2003_DoctrineOfTheArmedForces.md,2025-01-28 18:55:17
6,* requirements on commanders command and control statutes conclusion annex 1 : list of abbreviations annex 2 : glossary of terms and definitions annex 3 : administrative instructions 3 - - - - -,194,34,38,2,slovakia_2003_DoctrineOfTheArmedForces.md,2025-01-28 18:55:17
7,"# # iinnttrroodduuccttiioonn 0. 01 * * purpose. the doctrine of the armed forces of the slovak republic represents the * * highest doctrinal document of the armed forces of the slovak republic and is intended to form the basis for the development all subordinate doctrines. the purpose of this document is to provide a principal base for the planning and conduct of military operations. 0. 02 * * scope. the doctrine of the armed forces of the slovak republic contains pragmatic * * solutions and flexible approaches to the conduct of operations on all levels, with a special focus on maneuver warfare, joint operations",619,105,130,3,slovakia_2003_DoctrineOfTheArmedForces.md,2025-01-28 18:55:17
8,"and combined operations. the doctrine is based on theoretical knowledge and real war experience of various countries. the application of such knowledge and experience is a precondition for successful conduct of operations by the armed forces of the slovak republic. the doctrine presents another level of elaboration of strategic documents approved by the national council of the slovak republic. its application will enable the armed forces of the slovak republic to respond to challenges and face threats both in the near and more distant future. the doctrine may be applied in a whole scale of military operations, starting from peacekeeping missions, through military operations other then war to major armed conflicts. looking at the definition of",752,116,130,3,slovakia_2003_DoctrineOfTheArmedForces.md,2025-01-28 18:55:17
9,"the doctrine as ‘ fundamental principles by which military forces guide their actions in support of objectives “, we can say that it provides a framework and guidance for accomplishing the mission of the armed forces in all their activities, including basic and further training, re - supplies and sustaining. no provision of this doctrine has a dogmatic character and it must not in any manner restrict the commanders at all echelons in fullfilling their tasks in accordance with the mission of the armed forces. the doctrine also provides the basis for further development of all components of the state ’ s fighting power. 0. 03 * * applicability. * * the",658,112,130,3,slovakia_2003_DoctrineOfTheArmedForces.md,2025-01-28 18:55:17
10,"doctrine applies to all elements of the armed forces. the doctrine is binding on all members of the armed forces of the slovak republic. if there are any discrepancies between the principles of this doctrine and other doctrines, the text hereof shall prevail over other military doctrines. exceptions from these principles will be published by the chief of general staff of the armed forces of the slovak republic through specific instructions. commanders of military units under international command shall observe the principles of international doctrines, provided they were ratified by the competent authority of the slovak republic. the doctrine shall be also applied in support of non - military operations, in which components of",736,114,130,3,slovakia_2003_DoctrineOfTheArmedForces.md,2025-01-28 18:55:17
