chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - - - - - - - - - - - - © ministry of defence of the slovak republic – 2013 the white paper on defence of the slovak republic was approved by the government of the slovak republic by resolution no. 326 / 2013 on 26 june 2013. - - - - - - - - - -,251,63,67,0,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
2,# # # # modern defence modern armed forces * * mobile * * * * operationally ready * * * * defensively minded * * * * effective and economically sustainable * * * * relevant * * * * nato ‑ interoperable * * - - - - -,215,51,57,1,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
3,# table of contents foreword by the minister of defence of the slovak republic 8 foreword by the chief of the general staff of the armed forces of the slovak republic 12 summary 16 slovak national and military traditions 22 1 ) historical roots of military arts in slovakia 22 2 ) building - up the army of the independent slovak republic 24 chapter 1 ) * * current state of slovak defence * * 28 1 ) implementation of the basic objective of the defence policy of the slovak republic 28 2 ) security environment 29 3 ) national defence system 30 4 ) employment of the armed forces 32 5 ) defence spending 34 6 ) efficiency of utilizing available resources 35 7 ) armed forces,675,128,130,2,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
4,transformation 36 8 ) professionalization of military personnel 38 9 ) armaments 39 10 ) infrastructure and state property administration in the defence department 41 conclusion 42 chapter 2 ) * * future security environment and challenges * * 46 1 ) global security environment 46 2 ) the security environment of the slovak republic 48 3 ) anticipated theatre of operations of the armed forces 50 4 ) requirements for national defence 51 chapter 3 ) * * future defence efforts of the slovak republic * * 56 1 ) basis of defence efforts 56 2 ) politico - military ambition 58 3 ) planning assumptions for ensuring national defence 61 4 ) defence planning 63 chapter 4 ) * * defence management,692,124,130,2,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
5,* * 66 1 ) constitutional and legal definition of national defence tasks 66 2 ) requirements for the improvement of the national defence system 67 - - - - - 3 ) requirements for the functional improvement and optimization of the mod sr 70 4 ) subordinate elements of the mod sr 71 chapter 5 ) * * long - term projections of the development of the af sr * * 78 1 ) the required composition of forces and capabilities of the future af sr 80 2 ) the capabilities development strategy of the future af sr 86 3 ) key areas of capabilities development of the future af sr 90 4 ) the command and control system of the future af sr 93 5 ),630,128,130,2,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
6,"multinational and bilateral military co - operation 94 6 ) factors affecting the implementation of the af sr target model 2024 95 conclusion 96 chapter 6 ) * * human resources development in the defence department 100 * * 1 ) requirements for human resources development 100 2 ) improving, retaining and replenishing military personnel 101 3 ) alternative forms of augmentation of the armed forces 104 4 ) improving, retaining and replenishing civilian personnel 105 chapter 7 ) * * armaments * * 110 1 ) general requirements 110 2 ) main priorities 111 chapter 8 ) * * infrastructure development and state property * * * * administration in the defence department * * 118 1",674,118,130,2,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
7,) dislocation of units and facilities of the mod sr and the af sr 119 2 ) basic directions in infrastructure development 119 chapter 9 ) * * national defence support system * * 124 1 ) basis for effective national defence support 124 2 ) defence infrastructure 127 chapter 10 ) * * national defence – a public concern * * 130 1 ) public communication focus 130 2 ) public relations development 132 implementation timetable of the basic measures of the white paper 134 acronyms and abbreviations 138 - - - - -,508,95,101,2,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
8,"# # foreword by the minister of defence of the slovak republic the slovak republic has, as a sovereign, democratic and law abiding state, a commitment towards its citizens to safeguard their security and to provide for national defence. additionally, in accordance with its international treaty obligations, it shares the responsibility for security and defence of the broader community of democratic nations - its allies and partners associated in the euroatlantic structures. the internal and external credibility of the slovak republic as a state is dependent on the ability to fulfil this commitment and its shared responsibilities. in 2013, we celebrate the 20th anniversary of the slovak republic. in addition,",716,110,130,3,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
9,"twenty years passed since the establishment of its armed forces. that is why the beginning of this document includes a section linked to our national and military traditions that we proudly profess. this anniversary is a good opportunity not only to summarize the achievements, but also to set goals and strategy for the future. this is what we have aimed for when working on the white paper on defence of the _ slovak republic that you have just opened. _ the first chapter of this politico - strategic document provides a realistic view of the condition in which we find ourselves. not only does it define a stalemate in the transformation of the armed forces,",662,115,130,3,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
10,"including the naming of causes and consequences of this state, it also highlights the real risks of further deterioration of the already critical situation in the entire area of ensuring national defence. - - - - - when designing a solution to this situation, we have to respect the reality we live in, as well as the complexity and uncertainty of the current and future security environment. we point to these aspects in the next chapter knowing that even though we live relatively peaceful and safe lives now, the security threats to the slovak republic in fact do exist. neither does the fact that slovakia is a small country developing good relations with all its neighbours provide us with the immunity",707,121,130,3,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
11,"against a broad spectrum of threats and challenges, which ultimately can in various forms directly affect our security, as it was for example in the case of the gas crisis or massive floods. at the same time, our values and interests, the location of slovakia and, ultimately, the very membership in nato and the eu, make us inevitably and strongly bound to the security of a wider euro - atlantic area. the fact that our security is enhanced by collective defence capabilities of nato does not relieve us of the responsibility to guarantee at all times and primarily by ourselves the security of our citizens and the national defence in any danger. responsible policy must not disregard the",691,118,130,3,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
12,"fact that history is full of events that at the time seemed unlikely but their consequences proved dire. such an environment requires constant readiness not only of the armed forces but the entire national defence system based on continuous maintenance and development of defence capabilities. here, i want to emphasize that this is a comprehensive long - term effort, including a continuous adaptation to evolving conditions and needs. and the preparation, more specifically the readiness of national defence for the uncertain and turbulent future, is exactly what other chapters deal with. in this context, we present a modern, realistic, conceptual development framework for the national defence capacity with emphasis on the armed forces and a clearly defined",763,117,130,3,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
13,"target state and the prerequisites for its achievement. this will be further elaborated in the conceptual and other documents, including the _ defence department development plan with a view to 2024. _ we fully realize that our ability to defend ourselves is closely linked to the economic security of the state. we therefore proposed, while taking the need for rigorous fiscal consolidation into account, to implement the development strategy in two stages, each with measurable goals. in the first stage, already in this election term, we expect the equipping of one battalion of the land forces, which will have been the largest contribution to the development of the armed forces",683,110,130,3,slovakia_2013_WhitePaper.md,2025-01-28 18:55:24
