chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# defence strategy of the slovak republic,41,7,9,0,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
2,# # # # 2021 - - - - - - - - - -,32,15,17,1,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
3,"# # # # # contents introduction defence policy framework of the slovak republic i. the strategic context of defence ii. politico - military conclusions from the security environment assessment defence policy of the slovak republic i. primary aim, principles and basic instrument of the defence policy of the slovak republic ii. defence management iii. development of the armed forces iv. preparation and development of the defence support system v. support for the slovak defence industry vi. preparing the general public for defence vii. resourcing defence conclusion",568,87,103,2,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
4,# # # # # 5 7 8 9 11 12 15 17 20 22 23 25 27 - - - - - - - - - -,64,28,30,3,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
5,"# # introduction - - - - - 1. the defence strategy of the slovak repub - 3. the defence strategy of the slovak republic is the cornerstone strategic document that lic reflects the changing security environment, delineates the main approaches of the slovak the state of preparedness of the slovak republic republic to ensuring its defence. for defence and lessons learned from implementing the slovak republic ' s defence policy 2. the defence strategy of the slovak repub - and developing its national defence system. lic adheres to the constitution of the slovak re - this defence strategy formulates the basic public, the charter of the united nations and framework of",670,112,130,4,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
6,"defence policy, its aims, and the other international treaties and agreements and ways and means of their implementation. takes into account strategic documents of the north atlantic treaty organisation ( hereafter referred to as “ nato ” ), the european union ( hereafter referred to as “ eu ” ) and further relevant documents dealing with defence, while complying with the security strategy of the slovak republic. 6 - - - - -",428,73,86,4,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
7,# # defence policy framework of the slovak republic - - - - -,61,14,16,5,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
8,"# # # i. the strategic context of defence 4. the slovak republic is responsible for its security environment. own defence. it maintains peace, defends its sovereignty, territorial integrity and the inviolabil - 8. defence of the slovak republic constitutes a ity of its borders and upholds its commitments part of ensuring its security. the slovak repubfrom international treaties and agreements, by lic flexibly employs the armed forces of the slowhich it is bound. vak republic ( hereafter referred to as “ armed forces “ ) and other defence capabilities as part 5. no state is capable of facing the whole",607,101,130,6,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
9,"spec - of a whole - of - society effort to maintain its secutrum of security threats alone. the highest level rity, also in the occurrence of a non - military of the slovak republic ' s defence is achieved threat. through the synergy of its defence capacities and the defence capacities of the other nato 9. slovak defence spending had been signifiand eu member states, along with the function - cantly below the 2 % of gdp level. coupled with ality and internal cohe - the non - implemension of these organisa - tation of development",534,97,120,6,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
10,# # # # # “ the slovak republic is responsible tions. plans it led to short # # # # # for its own defence.... for the slovak comings in armed,141,32,41,7,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
11,"# # # # # republic, there is no better alternative 6. nato represents forces capacities and",91,17,21,8,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
12,"# # # # # to nato ' s collective defence. ” the primary frame - capabilities and in the work for defence of the defence support sysslovak republic and therefore the alliance with tem, having implications for the slovak repubthe other nato member states is vitally impor - lic ' s ability to defend itself. tant. for the slovak republic, there is no better alternative to nato ' s collective defence. the eu ' s common security and defence policy provides opportunities for enhancing the slovak republic ' s defence. 7. nato and eu membership enables the slovak republic together with allies and partners to develop capabilities that it",635,110,130,9,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
13,couldn ' t otherwise provide alone. involvement in the defence efforts within nato and the eu increases the ability of the slovak republic to promote its security interests in the world and to shape the broader 8 - - - - -,222,42,45,9,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
14,"# # # ii. politico - military conclusions from the security environment assessment 10. based on the security strategy of the slovak e ) a deteriorated security environment in republic´s assessment of the security environ - europe, primarily as a result of violating ment, the following has the biggest impact on ukraine ' s sovereignty and territorial integrity how defence is provided for : by the russian federation and other armed cona ) escalation of power competition among flicts in the eastern part of europe and in north states, international law violations, ongoing use africa and the middle east, of military force in international relations, in - f )",661,109,130,10,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
15,"instability and tension among states and crease in modern conventional and nuclear the accumulation of an extensive and modern forces capacities of states and their war fighting military potential in the vicinity of nato and potential and increase in the ability of non - state eu member states ' borders, actors to threaten the g ) spreading of prosecurity interests of paganda and disin # # # # # “ [ t ] he slovak republic ensures its de states, formation activities",469,82,91,10,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
16,# # # # # fence and meets international com b ) erosion of arms that may have a nega # # # # # mitments in a deteriorated and dy control and disarma - tive impact on the,169,39,47,11,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
17,"# # # # # namically evolving security environ ment regimes and of cohesion of nato confidence and secu - _ ment... ” _ and the eu and their rity building measures ability to act and at in europe, proliferation of weapons of mass the national level disrupt the stability of the demdestruction and their delivery systems and in - ocratic political system and decision - making troduction of next generation missiles, mechanisms, weaken the trust of citizens in c ) development and proliferation of tech - democracy and the rule of law as well as their nologies and their military application that en - will",604,106,130,12,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
18,"to defend their country, contribute to the hance the sophistication of threats, the com - polarization of society, support extremism and plexity of their effects, their capacity to threaten to question the significance of nato and eu the nation and shorten the available reaction membership, time, h ) activities of foreign intelligence services, d ) rise of threats related to cyberspace and particularly their effort to infiltrate state adminspace as operational domains, which can have a istrative bodies and other forms of gathering negative impact on the management of defence, information related to ensuring the defence of command and control of the armed forces and",673,105,130,12,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
19,"the state, the functionality of infrastructure vital to de - i ) terrorism with the potential to threaten fence, the slovak republic and its allies and partners, 9 - - - - - j ) massive illegal migration especially re - c ) requirements placed on the quality of lated to dysfunctional states and climate performance of the national defence system are change ; global health threats ; extremism in - increasing, including the information support cluding its penetration into the armed forces, of decision - making as well as on the readiness further executive elements of the national de - of slovak defence capacities, fence system and into state administrative bod - d ) the",675,116,130,12,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
20,"evolution of military and nonies ; and activities of entities geared towards the military threats, including hybrid activities, wilful usurpation of armed forces ' or armed requires the resilience of the state to be corps ' tasks, the monopoly of which belongs strengthened by both military and civilian exclusively to the state. means, e ) effective pre - emption and reaction to 11. implications for the slovak republic ' s de - security threats is possible only through coopfence policy are the following : eration in international organisations of which a ) the slovak republic ensures its defence the slovak republic is a member. and meets international commitments in a",675,110,130,12,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
21,"deteriorated and dynamically evolving security envi - 12. in its defence policy, the slovak republic ronment, characterised by instability and low reacts to the necessity of providing for its depredictability, fence, to the advantages and responsibilities b ) the threat of an armed attack against the stemming from nato and eu membership, to slovak republic is low, primarily due to its the level of its ability to defend itself and to the nato and eu membership, yet it cannot be deteriorated security environment. ruled out completely just as an armed attack against another member state that would require the slovak republic to meet its treaty obligations, 10 - - - - -",674,112,130,12,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
22,# # defence policy of the slovak republic - - - - -,51,13,15,13,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
23,"# # # i. primary aim, principles and basic instrument of the defence policy of the slovak republic 13. the primary aim of the slovak republic ' s slovak republic applies the following defence defence policy is to preserve its sovereignty, policy principles : the peaceful resolution of territorial integrity and the inviolability of its disputes and prevention, deterrence, the right borders, all of which are a necessary prerequi - to self - defence, the proportionality and comsite of its security. to this end, the slovak re - prehensiveness of response. public strengthens the ability to defend itself and so contributes to enhancing nato",642,104,130,14,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
24,' s and 17. the slovak republic prefers the peaceful the eu ' s ability to act in the area of defence. resolution of disputes. it strives for a peaceful coexistence with all other states and acts in ac14. the slovak govern - cordance with the ment is responsible for goals and principles,287,53,66,14,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
25,"# # # # # “ the primary aim... is to preserve... the defence of the state. of the charter of the the national council _ [ the ] sovereignty [ of the slovak re - _ united nations and of the slovak republic, _ public ], [ its ] territorial integrity and _ other principles of the president of the _ the inviolability of its borders... [ its ] _ international law. slovak republic, state _ defence policy principles [ are ] : the _ administrative bodies, _ peaceful resolution of disputes and pre - _ 18. as part of conflict territorial self - govern - _ vent",556,109,130,15,slovakia_2021_DefenceStrategy.md,2025-01-28 18:54:13
