chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - - - - - - -,19,10,12,0,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
2,# table of contents,19,4,6,1,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
3,# # # # # foreword - - - - -,28,11,13,2,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
4,"# foreword ardly any area in the modern world is evolving as quickly as the challenges posed by the state ‘ s cybersecurity governance. a thorough setting of processes, procedures and objectives needs to be fully",212,36,44,3,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
5,"# # # h adapted to the dynamics of this trend. a new national cybersecurity strategy is emerging at a time when it may seem too late for taking many measures. various attackers make great strides every day. it is possible that even at this moment anyone can be a target of a cyberattack without realizing it. the state and its critical infrastructure have been a target of both state and non - state actors for a long period. today, cybersecurity incidents are often sophisticated and creative. approach to them should be exactly the same. the intention of the national cybersecurity strategy for the years 2021 - 2025",618,108,130,4,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
6,"is simple – to prepare and bring slovakia to the level at which it is always one step ahead of a potential threat. each of us wants a modern, digitized country in which instead of standing in rows, we can arrange comfortably everything from our home or offi ce. however, the comfort of modern conveniences requires even greater vigilance. the document names the principles on which the strategy of the slovak republic is based, identifi es cyberspace threats and clearly defi nes the objectives or directions that the country must take in protecting not only the virtual world. the vision of the national security authority is to strengthen and create",651,110,130,4,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
7,"an open, free and secure cyberspace for everybody. a precondition for success in collective security is in particular a common interaction. each entity is only as strong as its weakest element. any strategy is essentially intended to unite individuals into groups, groups into organisations and organisations into a system with a common objective. the national cyber security strategy, elaborated by the national security authority, is therefore intended for anyone involved in any way in building a cybersecurity governance system of the slovak republic. it is and will be the umbrella document on which the basic direction of the country in this fi eld is based. * * roman kone",679,109,130,4,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
8,##cny * * director of the national security authority - - - - -,63,14,19,4,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
9,"# 1. introduction he modernization of society through information and communication technologies, its digitalization",116,14,19,5,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
10,"# # # t and the development of innovative services is an undeniable fact that has become a natural part of our lives. nevertheless, the development that comes with expansion of opportunities must be balanced by responsibility for the risks that emerge simultaneously as a forfeit for the benefi ts of the digital society. cybersecurity is a state in which information systems and services are resilient to current threats and vulnerabilities, and ready to detect and handle cybersecurity incidents, recover data and processes, and minimize consequences. nonetheless, cybersecurity is not an issue concerning only particular organizations and entities that protect their",669,101,130,6,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
11,"assets by taking appropriate measures. informatization of the public sector, automation of manufacturing and other processes that were performed manually in the past, constant development and easy availability of technologies, their ease of use in a wide range of common activities create a space in which, apart from undeniable advantages, threats arise, targeting critical and sensitive systems and services of the state. they can result in a breach of citizen ‘ s trust in the government, cause extensive fi nancial and economic damages, and potentially cause injuries or a loss of life. the information and cybersecurity governance system, the goal of which is to ensure a high degree",688,108,130,6,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
12,"of resilience of systems and services as well as eff ective detection and response capabilities, is a strategic security interest of the slovak republic. a comprehensive concept of information and cybersecurity governance, strategic direction based on clear principles and exactly defi ned strategic objectives are the basis for a well - developed system that can fl exibly respond to current threats and ensure a high level of cybersecurity at national level. this is the concept of the national cybersecurity strategy for the years 2021 - 2025. the history shows that the national cybersecurity strategy for the years 2021 - 2025 ( hereina",641,102,130,6,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
13,"##fter referred to as the „ national strategy “ ) is not the fi rst strategic document created at the national level. in 2007, a strategy of information security was created together with an action plan, and subsequently the cyber security concept of the slovak republic for 20152020 ( hereinafter referred to as the „ concept “ ) was introduced, which was the fi rst comprehensive plan defi ning the cybersecurity principles, rules and objectives. the measures framing the concept focused on creating an institutional framework for governance, adopting appropriate legislation, developing basic mechanisms for cyberspace governance, developing an education system, creating a risk",681,104,132,6,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
14,"management culture, active international collaboration and supporting science and research. along with the concept, the action plan for the implementation of the cyber security concept of the slovak republic for 2015 - 2020 ( hereinafter referred to as the „ action plan “ ) was created, defi ning specifi c tasks related to individual measures, entities in charge and responsibilities of participating bodies, as well as the time frame for the task completion. within the time period defi ned for the concept and the action plan, it was possible to create a stable institutional framework for cybersecurity governance, adopt a historically fi rst comprehensive legislation in the",680,107,130,6,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
15,"fi eld of cybersecurity and to create specialized entities for cybersecurity incident handling. cyber threats as well as cybersecurity are constantly evolving. new targets and vectors of cyberattacks are constantly emerging, and are becoming more widespread, more frequent and more sophisticated. some states and non - state actors resort more and more to pursuing their goals through unfair cyber activities. these can take several forms, including critical infrastructure attacks, cyber espionage, intellectual property theft, cybercrime, and cyberattacks as part of hybrid threats. cyberspace is increasingly becoming an area of strategic confrontation among states, refl ec",677,95,130,6,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
16,"##ting a dynamic geopolitical environment and eff orts to change the current international order. technological innovations, including cybersecurity innovations, are becoming an instrument of confrontation and growing tensions in the political, economic and security fi elds. the good news is that the strategic direction of the cybersecurity system can build upon the solid foundations laid by the concept and developed by its action plan, even though some of the goals have not yet been achieved. the new strategy expands on the previously carried out activities and its ambition is to respond in a modern way to current and future security threats, defi ne the principles of the cyber",687,108,132,6,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
17,"##security system and to determine strategic objectives, the achievement of which will ensure a higher level of security in the cyberspace of the slovak republic. the national strategy is intended for all entities that participate in building the cybersecurity system of the slovak republic and is a key document from which the basic direction of the slovak republic in this area comes from. the vision of the national strategy is to strengthen and create an open, free and secure cyberspace for everybody. - - - - -",516,87,101,6,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
18,# 2. principles,15,3,6,7,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
19,"# # # # # # ybersecurity of the slovak republic is addressed by a complex system that includes not only regulations but also practical activities, such as risk management, detection",181,31,38,8,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
20,# c,3,2,4,9,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
21,"# # # # # # and cybersecurity incident handling, system recovery, education, dissemination of security awareness and, last but not least, research and development of cybersecurity tools and processes. in order for such a large - scale system to work and for the various stakeholders to work together to maintain and develop it, the fundamental principles, based on the democratic values of the rule of law and refl ecting a modern approach to national cybersecurity and international cooperation in this fi eld, must be respected.",530,86,110,10,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
22,"# # # # # 2. 1 fundamental human rights and freedoms come fi rst in cyberspace yberspace is a place where an increasing number of users meet with the ongoing digitalization, where",179,33,42,11,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
23,"# # # c they not only realize their needs, but also pass on part of their identity and privacy. we use the internet for communication with our families and friends, purchase of consumer goods, paying bills or for managing our smart homes. cyberspace is also a special operational domain, recognized by the north atlantic treaty organization. like the physical world, the cyberspace is not an ideal place as well. in the last two decades, we have witnessed an increasing frequency of cyberattacks, greater sophistication of attackers and increasing losses on the part of victims. the slovak republic promises to respect fundamental human rights as defi ned",655,107,130,12,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
24,"in the universal declaration of human rights and promotes the position that human rights are enforceable both in the „ offl ine “ and in the „ online “ space. the slovak republic upholds and enforces this position in the long term and commits to other states with the same value system, and also supports the responsible behavior of states and a uniform interpretation of international law in cyberspace. we have to consider the cyberspace as the equivalent of the physical world, together with the application of clear rules that will respect the fundamental human rights and freedoms stipulated by the constitution, including the right to privacy, so that it is not only secure but",683,115,130,12,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
25,"also open, free and accessible to everybody concerned. the security of cyberspace must be interconnected to its freedom, and fundamental human rights and freedoms in the digital space can only be guaranteed if the digital sovereignty of the states of the european union as a whole is preserved, which also ensures the independence and sovereignty in cyberspace. - - - - -",371,62,72,12,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
26,# # # # # 2. 2 cybersecurity governance system based on legality and mechanisms of the security system of the slovak republic he slovak republic is a country governed by democratic values ensuring the rule of law. the,217,39,47,13,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
27,"# # # t cybersecurity governance system therefore respects the principles that are inherent in the slovak republic and which create an environment where the laws, rights and freedoms of citizens are respected. the cybersecurity governance system fully respects the constitution of the slovak republic and the applicable and eff ective laws, while also relying on the government ‘ s policy statement in the strategic objectives and tasks of the national strategy. the national strategy has a legal basis in act no. 69 / 2018 coll. on cybersecurity and on amendments and supplements to certain acts ( hereinafter referred to as the „ act “ or „",642,107,130,14,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
28,act on cybersecurity “ ) and refl ects the mandatory content enshrined in directive ( eu ) 2016 / 1148 of the european parliament and of the council of 6 july 2016 concerning measures for a high common level of security of network and information systems across the union and has been transposed into this act. it also refl ects the strategic direction in the fi eld of security and observes the principles enshrined in the security strategy of the slovak republic.,465,82,102,14,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
29,# # # # 2. 3 comprehensive ( universal ) approach to cybersecurity issue here is no universal guide to ensure the security of cyberspace. it is a continuous process that must,174,32,40,15,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
30,"# # # t react to many complex aspects. at the same time, it is necessary to remember that the technological progress of society and modern technologies that penetrate our lives are developed much faster than the rules of their safe use. the cybersecurity issue needs to be addressed in such a way that its solution is reliable, comprehensible and understandable. it is not suffi cient to develop individual cybersecurity components, but there must be clear relation between these components, forming a functional system. cybersecurity is not a stand - alone entity. it is important to understand that ensuring a high level of cyber",631,104,130,16,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
31,"##security is a means of successful socio - economic development of society and enhancement of the state ‘ s resilience to security threats. an integrated link of cybersecurity to other sectors, and understanding of interactions between security and the functioning of society constitute an essential component of the rationale and importance of addressing the cybersecurity at national level. cybersecurity and information security are dedicated to the protection of information assets. information security addresses the security of assets regardless of where and how the information is processed, and cybersecurity deals with the security of only a certain part of information assets, namely those processed in virtual",721,105,130,16,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
32,"space. data will become information when they acquire some signifi cance, meaning, and mainly the value. in this context, both cybersecurity and information security ensure the security of any information, including personal data. the overlap of cybersecurity and information security with the protection of personal data is the achievement of their objective – the protection of any data and information.",405,60,79,16,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
33,# # # # 2. 4 risk management as a key element of the national cybersecurity governance system ybersecurity measures must always be proportionate and balanced to the risk they are,178,31,41,17,slovakia_2021_NationalCybersecurityStrategy.md,2025-01-28 18:54:51
