chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# vojaska doktrina poveljstvo za doktrino, razvoj,! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) izobrazevanje in usposabljanje 2006! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) avtorji brigadir branimir furlan, major davorin recnik, polkovnik v pokoju rudi vrabic, polkovnik vasilije maras, podpolkovnik janez cerk",318,61,130,0,slovenia_2006_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
2,"##ovnik, podpolkovnik branko spur, polkovnik milos sonc, major marjan tusak, major marijan ivanusa, podpolkovnik boris gorjup, major martin kojadin, stotnik kamil lasic, major marko unger recenzija generapodpolkovnik albin gutman, brigadir alojz steiner, brigadir viktor krajnc, kapitan renato petric, brigadir jozef zunkovic, polkovnik alojz ternar, podpolkovnik robert pus, miran bogataj z",391,50,133,0,slovenia_2006_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
3,"##glede iz zgodovine zbrala gregor kastelic in branimir furlan foto bruno toic, arhiv revije obramba, arhiv dela lektoriranje dr. janko berlogar urednik darko petelin izdajatelj pdriu zaloznik defensor, d. o. o. ; zanj darko petelin oblikovanje in graficna priprava galdesign tisk tiskarna schwarz, ljubljana vojasko doktrino je sprejela vlada",343,49,133,0,slovenia_2006_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
4,"republike slovenije na svoji 76. seji, 1. junija 2006. cip - katalozni zapis o publikaciji narodna in univerzitetna knjiznica, ljubljana 355. 02 ( 497. 4 ) vojaska doktrina / [ avtorji branimir furlan... [ et al. ] ; urednik darko petelin ; zglede iz zgodovine zbrala gregor kastelic in branimir furlan ]. - ljubljana : defensor, 2006 isbn 961",343,59,130,0,slovenia_2006_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
5,"- 6177 - 09 - 5 1. furlan, branimir 2. petelin, darko 227115008 zahvala vojaska doktrina je najvisji vojasko strokovni dokument in podlaga za organiziranje in delovanje slovenske vojske. je tudi temeljni dokument iz katerega izhajajo podrocne doktrine, navodila, ucno - izobrazevalna literatura in drugi vojasko strokovni",321,47,130,0,slovenia_2006_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
6,"dokumenti. pri njenem nastanku so kot pripravljavci osnovnega besedila sodelovali pripadniki centra za doktrino in razvoj, ki so s svojimi prispevki omogocili nastanek dokumenta. v zakljucni fazi smo zeleli pridobiti tudi mnenja zunaj slovenske vojske in ministrstva za obrambo. zato smo na javno obravnavo povabil",314,45,130,0,slovenia_2006_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
7,"##i strokovnjake iz drugih ministrstev, fakultete za druzbene vede ter raznih stanovskih zdruzenj. odzvalo se je veliko posameznikov, ki so razumeli pomen doktrine za nadaljnji razvoj slovenske vojske in so bili pripravljeni prispevati svoje poglede, znanje in izkusnje. brez njihovega deleza bi bila doktrina",309,44,132,0,slovenia_2006_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
8,"siromasnejsa. zahvaljujem se pripadnikom slovenske vojske in ministrstva za obrambo, ki so sodelovali v obravnavi doktrine ali na druge nacine prispevali k njeni vsebini : brigadir alojz zavrsnik, brigadir marjan grabnar, brigadir janez kavar, kapitan bojne ladje ljubomir kranjc, polkovnik anton veres, polkovnik bogdan mali, polkovnik david hum",346,48,130,0,slovenia_2006_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
9,"##ar, polkovnik gorazd jurkovic, polkovnik mitja teropsic, podpolkovnik marjan mahnic, podpolkovnik franc kunovar, vvu xiii. mag. denis caleta, podpolkovnik branko keber, podpolkovnik dobran bozic, podpolkovnik dusan tos, podpolkovnik miha skerbinc barbo, podpolkovnik vojko obrulj, major iztok kocevar, dr. igor kotnik, mag. uros krek, mag. mar",345,45,132,0,slovenia_2006_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
10,"##jan fekonja, joze lacko, stane praprotnik in tomaz lustrek. zahvaljujem se clanom fakultete za druzbene vede, katedre za obramboslovje, ki so sodelovali v javni obravnavi doktrine in prispevali kriticne poglede ter dali pobude za izboljsanje njene vsebine : profesorica dr. ljubica jelusic, profesor dr. anton zabkar, docent dr. maj",334,49,132,0,slovenia_2006_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
11,"##a garb, docent dr. vladimir prebilic, docent dr. iztok prezelj, docent dr. vinko vegic in asistent mag. erik kopac. za podporo se zahvaljujem tudi generalmajorju v pokoju ladu kocjanu. posebej se zahvaljujem polkovniku v pokoju ivanu herbertu kukcu in stotnici alenki petek, ki sta prispevala veliko kriticnih misli, uporabn",326,49,132,0,slovenia_2006_MilitaryDoctrine_noneng.md,2025-01-28 18:56:53
