chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # republic of slovenia ministry of defence,48,10,12,0,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
2,# annual report of the ministry of defence for 2009,51,10,12,1,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
3,"# # # ljubljana, 2010 - - - - -",31,10,13,2,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
4,# # # # republic of slovenia ministry of defence,48,10,12,3,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
5,# # annual report of the ministry of defence for 2009,53,11,13,4,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
6,"# # # # number : 0100 - 56 / 2010 - 37 date : 18 august 2010 ljubljana, 2010",76,20,24,5,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
7,# # # # 1 - - - - -,19,10,12,6,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
8,"# # # # issn 1617 - 6958 editor and publisher : republic of slovenia ministry of defence technical realisation : secretariat of secretary general of mod publishing service print : collegium graphicum, d. o. o.",209,36,48,7,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
9,# # # # 2 - - - - -,19,10,12,8,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
10,# # # table of contents,23,6,8,9,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
11,# # # # foreword............................................................................................................... 5 introduction..........,152,7,130,10,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
12,................................................................................................ 8 1 area of defence...........................,143,6,130,10,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
13,...................................................................... 9 1. 1 defence system management...................................................,154,7,130,10,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
14,.............. 9 1. 1. 1 defence policy.............................................................................. 9 1. 1. 2 civil defence and crisis management.................,180,16,130,10,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
15,...................... 17 1. 1. 3 intelligence and security operations.......................................... 18 1. 2 military defence................................................,185,14,130,10,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
16,.................................... 19 1. 2. 1 establishment of saf capabilities............................................. 19 1. 2. 2 certification of saf units.........................,189,17,130,10,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
17,................................. 20 1. 2. 3 saf military training and exercises......................................... 23 1. 2. 4 saf peace and wartime structure..............................,194,19,130,10,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
18,................ 25 1. 2. 5 voluntary military service......................................................... 26 1. 2. 6 cooperation with civilian organisations................................... 26,200,17,130,10,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
19,1. 3 participation in international operations and missions........................ 27 1. 3. 1 un operations............................................................................ 30 1. 3. 2 eu operations...,212,20,130,10,slovenia_2009_AnnualDefenceReport.md,2025-01-28 18:55:32
