chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - -,9,5,7,0,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
2,"# # uradni list republike slovenije * * stevilka 59 / 2019 z dne 4. 10. 2019 * * na podlagi 109. clena poslovnika drzavnega zbora ( uradni list rs, st. 92 / 07 – uradno precisceno besedilo, 105 / 10, 80 / 13 in 38 / 17 ) je drzavni zbor na seji 26. septembra 2019 sprejel",271,58,109,1,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
3,"# # r e s o l u c i j o strategiji nacionalne varnosti republike slovenij ( resnv - 2 official gazette of the republic of slovenia * * no. 59 / 2019, dated 4 october 2019 * * pursuant to article 109 of the rules of procedure of the national assembly ( official gazette of the rs, no. 92 / 07 – official consolidated text, 105 / 10, 80 / 13 and 38 / 17 ), the national assembly, at its session on 26th september 2019, adopted the",428,90,113,2,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
4,"# # r e s o l u t i o on the national security strategy of the republic of sloveni ( resnv - 2 ) ljubljana, 2020 * * _ izdajatelj in zaloznik : _ * * republika slovenija ministrstvo za obrambo * * _ tehnicna izvedba : _ * * ministrstvo za obrambo sluzba za stratesko komuniciranje * * _ tisk : _ * * nebia d. o. o. * * _ naklada : _ * * 500 i",342,81,130,3,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
5,"##zvodov * * _ editor and publisher : _ * * republic of slovenia ministry of defence * * _ technical realisation : _ * * ministry of defence strategic communication service * * _ print : _ * * nebia d. o. o. * * _ edition : _ * * 500 copies cip - katalozni zapis o publikaciji narodna in univerzitetna knjiznica, ljubljana 355. 02 ( 497. 4 ) 351. 86 ( 497. 4 ) resolucija o strategiji nacionalne varnosti republike sloven",421,84,132,3,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
6,"##ije = resolution on the national security strategy of the republic of slovenia. - ljubljana : ministrstvo za obrambo = ministry of defence, 2020 isbn 978 - 961 - 94444 - 5 - 0 1. vzp. stv. nasl. cobiss. si - id 303495168 - - - - - resolution on the national security strategy of the republic of slovenia ( resnv - 2 ) pursuant to article 109 of the rules of procedure of the national assembly ( official gazette of the rs, no. 92 / 07 – official consolidated text, 105 / 10, 80 /",481,96,132,3,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
7,"13 and 38 / 17 ), the national assembly, at its session on 26th september 2019, adopted the",91,18,23,3,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
8,# # resolution on the national security strategy of the republic of slovenia ( resnv - 2 ),90,18,22,4,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
9,"# # 1. introduction the resolution on the national security strategy of the republic of slovenia ( hereinafter : the resolution ) is the basic development and guidance document in the area of national security. the resolution defines the national interests and national security objectives of the republic of slovenia, together with the sources of security threats and risks to the state ; analyzes the security environment ; defines the starting points of the republic of slovenia ’ s policy of responding to specific security threats and risks ; and determines the overall system and organizational solutions concerning the overall functioning of the state in ensuring national security. ensuring the national security of the republic of slovenia is based on",760,120,130,5,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
10,"the constitution of the republic of slovenia and on respect for human rights, fundamental freedoms, democracy, and the principles of the rule of law. the adopted national development documents, legal acts, and implementing regulations are taken into account, with due regard for the principles of international law, and the rights and obligations of the republic of slovenia assumed on the basis of international treaties. the resolution provides the basis for the preparation of and amendments to specific strategic and other development and doctrinal documents related to national security, and the basis for addressing regulatory, organizational and content matters related to ensuring the national security of the republic of slovenia.",739,109,125,5,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
11,"# # 2. interests and objectives of the republic of slovenia the starting points for ensuring the national security of the republic of slovenia are the national interests and the national security objectives of the republic of slovenia, which are derived from the core values of slovenian society, as written into the constitution of the republic of slovenia. their implementation contributes to the welfare and progress of the republic of slovenia and its citizens. the protection and defence of national interests and objectives are thus at the core of ensuring national security.",581,92,100,6,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
12,"# # 2. 1. national interests of the republic of slovenia the national interests of the republic of slovenia are vital and strategic. the permanent and vitally important interests of the republic of slovenia are to maintain the independence, sovereignty, and territorial integrity of the state, * * 4 * * resolucija o strategiji nacionalne varnosti republike slovenije ( resnv - 2 ) na podlagi 109. clena poslovnika drzavnega zbora ( uradni list rs, st. 92 / 07 – uradno precisceno besed",486,82,130,7,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
13,"##ilo, 105 / 10, 80 / 13 in 38 / 17 ) je drzavni zbor na seji 26. septembra 2019 sprejel",88,21,39,7,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
14,# # resolucijo o strategiji nacionalne varnosti republike slovenije ( resnv - 2 ),81,14,33,8,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
15,"# # 1. uvod resolucija o strategiji nacionalne varnosti republike slovenije ( v nadaljnjem besedilu : resolucija ) je temeljni razvojnousmerjevalni dokument na podrocju nacionalne varnosti. zato se z resolucijo opredeljujejo nacionalni interesi in nacionalnovarnostni cilji republike slovenije, viri ogrozanja varnosti in varnostna tveganja drza",345,45,130,9,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
16,"##ve, analizira varnostno okolje, doloca izhodisca politike odzivanja republike slovenije na posamezne varnostne groznje in tveganja ter doloca najsirse sistemskoorganizacijske resitve celovitega delovanja drzave pri zagotavljanju nacionalne varnosti. zagotavljanje nacionalne varnosti republike slovenije temelji na ustavi republike sl",336,38,132,9,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
17,"##ovenije ter spostovanju clovekovih pravic, temeljnih svoboscin, demokracije in nacel pravne drzave. pri tem se upostevajo sprejeti nacionalni razvojni dokumenti, zakoni in podzakonski akti ter spostujejo nacela mednarodnega prava ter pravice in obveznosti republike slovenije, prevzete z mednarodnimi pogodbami. resolucija preds",330,41,132,9,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
18,"##tavlja podlago za pripravo in dopolnjevanje posebnih strateskih ter drugih razvojnih in doktrinarnih dokumentov na podrocju nacionalne varnosti ter za normativno, organizacijsko in vsebinsko urejanje vprasanj v zvezi z zagotavljanjem nacionalne varnosti republike slovenije.",276,34,108,9,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
19,"# # 2. interesi in cilji republike slovenije izhodisce za zagotavljanje nacionalne varnosti republike slovenije so nacionalni interesi in nacionalnovarnostni cilji republike slovenije, ki izhajajo iz temeljnih vrednot slovenske druzbe, zapisanih v ustavi republike slovenije. njihovo uresnicevanje prispeva k dobrobiti in napredku republike sl",343,44,130,10,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
20,"##ovenije ter njenih prebivalk in prebivalcev ( v nadaljnjem besedilu : prebivalci ), zato zascita in obramba nacionalnih interesov ter ciljev predstavljata srz zagotavljanja nacionalne varnosti.",195,26,81,10,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
21,"# # 2. 1. nacionalni interesi republike slovenije nacionalni interesi republike slovenije so zivljenjski in strateski. trajna zivljenjska interesa republike slovenije sta ohranitev neodvisnosti, suverenosti * * 5 * * - - - - - resolution on the national security strategy of the republic of slovenia ( resnv - 2 ) and to maintain the national identity, culture, and authenticity of the slovenian nation within the internationally recognized borders of the",455,71,130,11,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
22,"republic of slovenia, abroad, and throughout the world. the strategic interests of the republic of slovenia are the recognition of and respect for the inviolability of the country ‘ s internationally recognized borders and its national territory, including the connection of slovenia ‘ s territorial waters to international waters, and the airspace of the republic of slovenia ; the functioning of the democratic parliamentary political system ; respect for human rights and fundamental freedoms ; the strengthening of the rule of law and the social state ; the welfare of the people and the comprehensive development of society ; the protection of life and a high level of all forms of security for the people ; the protection of the",734,120,130,11,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
23,"rights and prosperity of slovenian indigenous ethnic communities in neighbouring countries ; peace, security and stability in the world ; and the preservation of the environment and natural resources of the republic of slovenia. the republic of slovenia pursues its vital and strategic interests autonomously, through intense bilateral cooperation, and by maintaining an active role in the region and in the united nations organization, the european union, nato, and other international organizations. it uses the mechanisms and means in compliance with the provisions of international law.",590,86,99,11,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
24,"# # 2. 2. the national security objectives of the republic of slovenia the republic of slovenia will implement its vital and strategic interests by achieving its national security objectives through the comprehensive and coherent operation of all entities, and through the clearly defined competences and processes of individual institutions and mechanisms in the area of national security. these objectives are : ensuring a high level of security and prosperity of the republic of slovenia and its citizens ; the protection and strengthening of constitutional principles, the national identity, culture, and authenticity of the slovenian nation ; the efficient functioning of the rule of law and the social state ; environmental protection and sustainable economic development ; the link between",796,120,130,12,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
25,"the economic objectives of the state and the national security system ; the strengthening of the international reputation, political and security position, and visibility of the republic of slovenia ; awareness of the interconnection between the national security objectives and the objectives and interests of slovenia ’ s allies and partners ; providing strategic resources for the strengthening of all the structures of the national security system ; the strengthening of good relations with neighbouring and other countries ; the defence of the republic of slovenia ; and cooperation in deterring threats and ensuring peace in the world. * * 6 * * resolucija o strategiji nacionalne varnosti republike sl",708,110,130,12,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
26,"##ovenije ( resnv - 2 ) in ozemeljske celovitosti drzave ter ohranitev nacionalne identitete, kulture in samobitnosti slovenskega naroda tako znotraj mednarodno priznanih meja republike slovenije kot v zamejstvu in po svetu. strateski interesi republike slovenije so priznavanje in spostovanje nedotakljivosti njenih mednarodno priz",332,44,132,12,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
27,"##nanih meja in drzavnega obmocja, vkljucno s stikom teritorialnega morja z odprtim morjem in zracnim prostorom republike slovenije, delovanje demokraticnega parlamentarnega politicnega sistema, spostovanje clovekovih pravic in temeljnih svoboscin, krepitev pravne in socialne drzave, blaginja prebivalcev in celovit ra",319,39,132,12,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
28,"##zvoj druzbe, zascita zivljenja in visoka stopnja vseh oblik varnosti prebivalcev, zascita pravic in razvoj slovenske avtohtone narodne skupnosti v sosednjih drzavah, mir, varnost in stabilnost v svetu ter ohranitev okolja in naravnih virov republike slovenije. republika slovenija bo svoje zivljenjske in strateske inter",322,44,132,12,slovenia_2020_NationalSecurityStrategy.md,2025-03-25 11:20:57
