chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - -,9,5,7,0,southafrica_2012_OverarchingAnnualStrategicStatement.md,2025-01-28 18:56:17
2,# department of defence ( dod ) executive authority ’ s overarching annual strategic statement ( ea oass ) for 2012,115,21,26,1,southafrica_2012_OverarchingAnnualStrategicStatement.md,2025-01-28 18:56:17
3,# # “ doing things differently to achieve more with less ” date of tabling : 07 march 2012 - - - - -,100,24,27,2,southafrica_2012_OverarchingAnnualStrategicStatement.md,2025-01-28 18:56:17
4,"# foreword : minister of defence and military veterans, the honourable ms l. n. sisulu : executive authority ’ s overarching strategic statement for fiscal year 2012 the fiscal year 2012 has been framed by the strategic perspective adopted by the department of defence in 2011, in response to the challenge issued by his excellency j. g. zuma, president of the republic of south africa, during his state of the nation address of 11 february 2010. during this address the president articulated the strategic focus of government and its on going commitment to build a strong developmental state, able to respond to the needs and aspirations of the people of south africa",668,112,130,3,southafrica_2012_OverarchingAnnualStrategicStatement.md,2025-01-28 18:56:17
5,"through an effective and responsive state. the departmental af rmation for 2012 to “ do things differently to achieve more with less ” will give further effect within the department of defence to achieve more with less. accordingly, 2012 has been situated within the context of the continued government pursuit to build a performance - orientated state, through the optimising of planning as well as performance monitoring and evaluation, and the measurement for efforts in terms of outcomes, with an emphasis on accountability and an action orientation. within the parameters of this contextual framework, and in pursuit of the vision of effective defence for a democratic _ south africa, a number of critical strategic",720,114,130,3,southafrica_2012_OverarchingAnnualStrategicStatement.md,2025-01-28 18:56:17
6,"priorities, outcomes, outputs and associated policy proposals for 2012 _ have been de ned. our priorities for the coming period, taking their lead from stated government strategic intent, are to include, inter alia, a focus on such pivotal elements as the execution of the border safeguarding function, the continued institutionalisation of the new service dispensation for sandf members, and the associated enactment of the requisite amendments to pertinent acts, the enhancement of the sandf ’ s landward capabilities, the consolidation of the southern african development community ( sadc ) maritime security strategy, recently rati ed within the structures of the sadc",672,101,130,3,southafrica_2012_OverarchingAnnualStrategicStatement.md,2025-01-28 18:56:17
7,"and its subsidiary organs, furthering the job creation agenda of government, enhancement of the sandf ’ s peacekeeping formation, and the revitalisation of the reserve component. other key agendas will include the continued restructuring and support of the defence industry, and the formation of the department of defence works formation, which has as its end - state an envisaged internal departmental capacity for repair and maintenance, as well as a concomitant furthering of the job creation agenda of government. the direction of focused, outcome based effort, towards the realisation of these priorities, will position the department in order to both optimally attain its key",681,104,130,3,southafrica_2012_OverarchingAnnualStrategicStatement.md,2025-01-28 18:56:17
8,"outcomes, viz enhanced civil control of the department, and defence and protection of the rsa, as well as to further the government programme of action and the government medium term strategic framework. in this regard, speci c focus will be directed at outcome 11 : creating a better south africa and contributing to _ a better and safer africa in the world. this outcome is fundamental to defence process, and more speci cally, _ to the attainment of the mission, which provides, inter alia, that we “ provide, manage, and employ defence _ capabilities commensurate with the needs of south africa as regulated by the constitution",631,106,130,3,southafrica_2012_OverarchingAnnualStrategicStatement.md,2025-01-28 18:56:17
9,", national legislation _ _ and parliamentary and executive direction ”. _ - - - - - a further additional supporting focus will be directed at outcomes 2 : a long and healthy life for all south africans, 3 : all people in south africa are, and feel safe, 5 : a skilled and capable workforce to support an inclusive growth _ plan, and 12 : an ef cient, effective and development orientated public service and empowered, fair and inclusive _ _ citizenship. _ it is clear that our strategic framework within the coming period is underpinned by the intent to narrow the nexus between the government vision of establishing a developmental state and our",646,115,130,3,southafrica_2012_OverarchingAnnualStrategicStatement.md,2025-01-28 18:56:17
10,"departmental programme of action to support this agenda, as well as to ensure the optimal achievement of our defence outputs and outcomes in accordance with our constitutional mandate. however, it is to be noted that our capacity to attain this intent, will, to some degree, be constrained by a number of factors within the performance delivery environment, most notable being the disconnect between the constitutional mandate, the expectations of government and the budget allocation, with all subsidiary risks which this entails. in addition, the continued constraints within such support domains as our defence research capability, infrastructure and facilities, and information management, will demand careful and directed management in order to ensure",756,111,130,3,southafrica_2012_OverarchingAnnualStrategicStatement.md,2025-01-28 18:56:17
