chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"- - - - - this english version of _ participatory government defense policy 2003 has _ been translated by the translating team of the department of english, korea military academy ( kma ) on behalf of the rok ministry of national defense. for comments or questions, please contact kma english department or mnd general policy division at : * * english department kma * * phone : 82 - 2 - 2197 - 2542 / 2531 website : www. kma. ac. kr e - mail : jmchoi @ kma. ac. kr * * general policy division mnd * * phone",507,101,130,0,southkorea_2003_ParticipatoryDefencePolicy.md,2025-01-28 18:56:15
2,: 82 - 2 - 748 - 6227 website : www. mnd. go. kr - - - - -,58,19,28,0,southkorea_2003_ParticipatoryDefencePolicy.md,2025-01-28 18:56:15
3,"# # # # # message from the minister of national defense embracing the nation ’ s aspiration and historical call for reform and change, the “ participatory government ” has begun its voyage full of hope. the longing for a new order and values is already pervasive in many walks of korean society. in particular, the new government, which has presented a vision of “ peace and prosperity, ” is rallying the nation ’ s wisdom and energy on realizing the two goals of “ establishing a peace regime on the korean peninsula ” and “ building a northeast asian hub. ” meanwhile, recent events around the world have betrayed humanity ’",626,113,130,1,southkorea_2003_ParticipatoryDefencePolicy.md,2025-01-28 18:56:15
4,"s hopes that the 21 [ st ] century would usher in a new era of stable co - existence and co - prosperity. instead, as witnessed in the 9 · 11 terrorist incidents and the wars in afghanistan and iraq, the vicious and incessant cycle of conflict is still characterizing the international political scene. in northeast asia, despite the rise in economic interdependence within the region, potential sources of conflict surrounding territorial, resources, environmental and economic issues remain unresolved. the resulting competition by the countries of the region to expand their influence and interests as well as pursue a military buildup is rendering the security environment uncertain.",687,108,130,1,southkorea_2003_ParticipatoryDefencePolicy.md,2025-01-28 18:56:15
5,"- - - - - on the korean peninsula, in spite of the progress in inter - korean exchanges and cooperation, north korea ’ s military threat remains very real. in particular, north korea has yet to abandon its nuclear ambitions despite the efforts by our government and the international community to find a peaceful resolution to the problem. hence, the likelihood of the tension arising from the nuclear issue still exists. from the standpoint of national security, it cannot be denied that the environment we face at home and abroad is fraught with considerable instability and uncertainty. under these circumstances, the republic of korea ( rok ) armed forces which is responsible for the",688,115,130,1,southkorea_2003_ParticipatoryDefencePolicy.md,2025-01-28 18:56:15
6,"national security is fully appreciative of the need to strengthen its ability to meet and overcome today ’ s challenges as well as furnish itself with a selfdefense capability that upholds the nation ’ s interests and prosperity in the uncertain security environment of the future. accordingly, the rok armed forces has designated the “ realization of an advanced, self - reliant national defense ” as its defense policy objective in order to support the government ’ s drive toward “ peace and prosperity ” and “ establishing a peace regime on the korean peninsula. ” the armed forces is channeling its efforts to consistently pursue its defense policy. while maintaining",672,111,130,1,southkorea_2003_ParticipatoryDefencePolicy.md,2025-01-28 18:56:15
7,"a firm defense posture to respond to any threat, the rok armed forces will build a forward - looking defense capability and posture that is self - reliant in its ability to deal with the changes in the strategic environment and future mode of warfare. it - - - - - will also undertake sustained defense reforms that heighten organizational efficiency and enhance its orientation toward the future, both of which will support its objective of realizing a selfreliant and advanced defense. moreover, it will be unsparing in its efforts to dramatically improve the barracks and the welfare of service members, while striving to become an “ armed forces of the",656,111,130,1,southkorea_2003_ParticipatoryDefencePolicy.md,2025-01-28 18:56:15
8,"people ” that wins the heart and support of the general population, mindful that the people are the source from which defense is derived. this year ’ s “ participatory government defense policy, ” which illustrates the policy direction and the blueprint for reforms that the armed forces is planning to pursue, has been published to deepen public understanding and support. to further enhance the reader ’ s understanding and offer assistance in security - related research, a wide range of defense - related data have been compiled into the appendices. with the sincere hope that this book will be useful in furthering public understanding of, and consensus on our defense",673,111,130,1,southkorea_2003_ParticipatoryDefencePolicy.md,2025-01-28 18:56:15
9,"policy, i cordially ask for your continued support and interest. july 11, 2003 cho, yung - kil minister of national defense republic of korea - - - - - * * part one assessment of security situation * * * * chapter one * * * * global and northeast asia security situation * * 21 * * chapter two security situation and military threat of north korea * * 25 * * part two participatory government ’ s “ policy of peace and * * prosperity ” and defense policy * * chapter one participatory government ' s “ policy of peace and prosperity ” * * 31 a. background and significance",572,113,130,1,southkorea_2003_ParticipatoryDefencePolicy.md,2025-01-28 18:56:15
10,of “ policy of peace and prosperity ” 31 b. “ policy of peace and prosperity ” and self - reliant defense 32 c. policy goals to realize “ policy of peace and prosperity ” 34 * * chapter two goals and direction of defense policy * * 36 a. goals and key points of defense policy 36 * * part three establishment of a firm defense posture * * * * chapter one military preparedness of the rok armed forces * * 47 a. preparedness against infiltration and local provocation 47 b. strengthening rok - us combined crisis management system 49 - - - - - * * chapter two operations of rok,576,114,130,1,southkorea_2003_ParticipatoryDefencePolicy.md,2025-01-28 18:56:15
