chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# strategic defence review,26,4,6,0,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
2,"# # i. general overview ii. basic criteria - - - - - * * ficha * * * * catalografica * * * * del * * * * centro * * * * de * * * * publicaciones * * strategic defence review / [ foreword by jose maria aznar, preface by federico trillo - figueroa ]. — [ madrid ], ministerio de defensa, secretaria general tecnica, 2003. — 2 v. ; 24 cm. — contiene : v. 1, l. general overview. ii. basic criteria ; v. 2, annex documents.",419,93,130,1,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
3,"nipo 076 - 02 - 174 - 1. — d. l. m. - 21268 - 2003 isbn 84 - 9781 - 008 - 2 ( tomo 1 ). – isbn 84 - 9781 - 009 - 0 ( tomo 2 ). – isbn 84 - 9781 - 007 - 4 ( obra completa ) i. aznar lopez, jose maria, pr. ii. trillo - figueroa martinezconde, federico, pr. iii. espana. ministerio de defensa. secretaria general tecnica, ed. defensa nacional / def",345,80,130,1,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
4,##ensa estrategica / seguridad nacional / fuerzas armadas / espana / s. xxi edita : © editor 2003 titulo original : revision estrategica de la defensa traductor : dr. david blanch nipo : 076 - 02 - 174 - 1 isbn : 84 - 9781 - 007 - 4 ( obra completa ) isbn : 84 - 9781 - 008 - 2 ( tomo i ) deposito legal : m - 21268 - 2003 imprime : imprenta ministerio de defensa tirada :,372,82,132,1,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
5,2. 000 ejemplares fecha de impresion : abril 2003 - - - - -,59,14,25,1,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
6,"# # # foreword by the president of the government - - - - - it is with great satisfaction that we present before spanish society this strategic defence review. as i stated in the white paper 2000, the review was to be the fruit of a significant collective reflection process designed to provide the armed forces with the necessary military capabilities to act in the strategic scenario of this new century. to this end and through this review, the government that i lead seeks to ensure the efficiency and effectiveness of the efforts that spain as a sovereign nation must make over the next 12 - 15 years in order to meet its own defence needs as well as those of the security",677,124,130,2,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
7,"framework we share with our partners and allies. with this in mind, we initiated a process that has led us one step further in the continuous evolution of our defence. we now present the strategic defence review, which creates new structures and mechanisms for decision - making, modifying old concepts so as to have a modern and capable security and defence system, adjusted to both national possibilities and the strategic international panorama. - - - - - this is also another step in the reform of our services, which should not be limited to the objective of creating a smaller but more efficient armed forces. rather, this reform should ensure the fulfilment of the missions",680,115,130,2,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
8,"constitutionally entrusted to the armed forces, reinforce our commitments with the atlantic alliance and better contribute to the european security and defence instruments. in any case, our membership in the main international security and defence organizations is a matter of satisfaction and pride, and strengthens spain ’ s freedom of action in defending its interests as a sovereign nation. the peace, liberty, prosperity and stability that spain now enjoys, the level of political, human, cultural and economic development, the degree of pluralism in our society, the depth of support for modern and advanced democracy, and the constitutional protection afforded for all spaniards in the exercise of their human rights, are values",735,111,130,2,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
9,"that have not come about spontaneously. they have been achieved through the efforts of the generations before us, and we have the inescapable obligation to preserve and transmit them to the next generation. the mission of defence is to help ensure these values and protect our freely chosen way of life, our rights, our possessions and our interests, wherever they lie. the best guarantee that spanish security and defence policy can offer our society is the firm resolution to have the capability for active participation in maintaining a more stable and secure international order, based on peaceful coexistence, defence of western democratic values and interests, human rights and international law. all",706,111,130,2,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
10,"this must be done while still carrying out the basic missions of deterrence, and defence of the national territory. in an effort to involve the entire society in designing the armed forces of the 21 [ st ] century, the government made the political - - - - - decision to encourage debate on the strategic defence review, both within the ministry of defence and externally. for this purpose it was stipulated that the review be carried out with the greatest possible transparency and consensus, as indicated in directive 1 / 2000, which initiated the whole process. in sum, throughout the entire strategic defence review process it has been clearly demonstrated that spanish society is fully capable of",701,118,130,2,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
11,"providing ideas and valid initiatives related to security and defence. for any policy to achieve its desired ends, there must be a strong bond between society as a whole and political power so that society may feel a sense of participation in the making of policies. such policies have citizen backing, which benefits democracy. therefore, this review will be the future general frame of reference for our armed forces regarding its structures and action procedures in a changing strategic scenario, harmonising its actions with the external action of the state, thus achieving our national aspirations and protecting our interests wherever they lie. i trust that the significant effort involved in our country ’ s first strategic defence review",745,118,130,2,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
12,"can satisfy the interest that has arisen in the various national and international settings. jose maria aznar - - - - - * * preface * * * * by the * * * * minister of defence * * - - - - - as i explained at the beginning of my term as minister of defence, during my first parliamentary appearance to outline my programme for the current legislature, i planned to carry out a reform that would encompass a long - term view of our security and the role of the armed forces - a vision extending to 2015 or 2020 at least. more specifically, i spoke of this vision in terms of a strategic defence review process",606,121,130,2,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
13,", defined by the following elements : facilitation of the joint action of the services ; a fully professionalised armed forces with modern equipment and capable of contributing both to european defence and to allied commitments ; and a defence culture characteristic of an advanced democratic society that takes ownership of the effort and contribution required for collective defence. this process began with the impetus of the president. according to defence directive 1 / 2000, signed late that year by president aznar, the first line of action in our defence policy was to begin a strategic review. this review should integrate defence within the broader framework of shared security with partners and allies and determine the military capabilities",752,118,130,2,spain_2003_StrategicDefenceReview.md,2025-01-28 18:56:21
