chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# presidency of the government national defence directive 2012 for a necessary and responsible defence madrid july, 2012 - - - - - * * 1. ‐ introduction * * the publication of a new national defence directive ( ndd ) is justified by the beginning of a new term, by ongoing changes in international spheres and especially in our immediate context, and also by the entry into force of the treaty of lisbon and the ratification of the new nato strategic concept. in addition to these, the economic crisis acts as a threat to security, requiring that certain decisions be made and full caution be applied in maintaining the capabilities required for defence. the government of the nation",683,119,130,0,spain_2012_NationalDefenceDirective.md,2025-01-28 18:55:39
2,"has the inalienable, non ‐ transferable and unrenounceable responsibility and obligation to guarantee the safety of all spanish citizens. the defence policy and the capacity of the armed forces to prevent, deter and respond to actions that threaten this safety constitute the backbone of our institutional defence system, which contributes in a singular manner to national security. in this context, spain must maintain two aspects of a responsible defence : the first, involves an instrument prepared and adapted to respond to the real and potential threats, risks and challenges that may arise ; the second, involves the capacity for efficient action with the lowest possible cost to society, at a time",704,111,130,0,spain_2012_NationalDefenceDirective.md,2025-01-28 18:55:39
3,"when austerity is a national imperative. spain is also a member of multinational security and defence organisations, involving good and trustworthy allies that should be relied upon. spain must act in loyalty and solidarity with collective security efforts. finally, we must not ignore the fact that the best contribution our nation can offer to international stability is its own strength in a world full of uncertainty, where the military instrument available to the government is critically essential. it is also important to highlight the need for profound reflection regarding the manner in which spain will face the risks and threats it will encounter in the first half of the 21 [ st ] century. this reflection will",722,117,130,0,spain_2012_NationalDefenceDirective.md,2025-01-28 18:55:39
4,"only be successful if it is developed in the context of broad participation and with a mid ‐ to long ‐ term focus. it must clearly demonstrate the will to prevail over non ‐ shared threats and establish spain as an ally that is both loyal and frank with its eu and nato partners. finally, it must uphold the objective of achieving credibility within spain ’ s circle of allies and when confronting those who could pose a threat. - - - - - * * 2. ‐ evolution of the strategic panorama and its repercussions for spain * * the conflicts in the first decade of the 21 [ st ] century seem to define a scenario",604,118,130,0,spain_2012_NationalDefenceDirective.md,2025-01-28 18:55:39
5,"of hybrid threats that combine conventional conflict and asymmetrical confrontation, with the latter showing a tendency towards growth and threatening to extend itself where possible to spaces outside the control of territorially sovereign states. the atlantic alliance remains the most appropriate link for security and collective defence for spain. the approval of a new strategic concept in 2010 did not definitively end reflection on the direction and strategic challenges faced by the alliance. such reflection must continue until it arrives at solid conclusions that positively affect the cohesion of future decisions by the alliance. spain should be prepared to face the risks of a world defined by inter ‐ connection, quality and speed in the flow",755,116,130,0,spain_2012_NationalDefenceDirective.md,2025-01-28 18:55:39
6,"of information, remote management of transactions, freedom of movement and commercial exchanges. while all of these offer such evident benefits for society, they must not provide a scenario in which terrorist groups have the advantage and organized crime attains the capacity to seriously harm social peace, citizen security, political stability and general prosperity. cyber attacks, the proliferation of weapons of mass destruction, human trafficking, piracy, the spread of armed and unarmed extremist movements and groups and the breakdown of air and space security are very real possibilities in the current situation. these global threats can only be faced by a coalition of forces, which in our case is based on nato and",726,112,130,0,spain_2012_NationalDefenceDirective.md,2025-01-28 18:55:39
7,"the eu. it will also require the support of other countries and groups of countries that express a direct and similar interest in controlling these phenomena. the united states continues to lead the fight against global risks and threats, particularly those arising from non ‐ state organizations. it has also sustained the project of extending democratic ideals. however, the evolution of its strategic analysis is as evident as it has been inevitable and must be recognised. the new global balance involves the rise of the indo ‐ pacific basin countries as global actors. these changes have consequences for nato, which should make efforts to empower its role through the new strategic concept ; and for the eu,",713,117,130,0,spain_2012_NationalDefenceDirective.md,2025-01-28 18:55:39
8,"which should strengthen its capacities and streamline decision ‐ making processes. eu and nato members, including spain, must arrive at an appropriate formula for reinforcing external projection through the alliance and within the framework of the common security and defence policy. limiting ourselves to the security of our own territory is not an option. - - - - - the position that spain occupies also carries with it the responsibility of watching over the consolidation of a secure environment, particularly in the mediterranean. numerous countries along its south coast have begun important processes of political change that require our attention, collaboration and cooperation in shaping new democratic structures and moderate public opinion. moreover, it cannot",771,115,130,0,spain_2012_NationalDefenceDirective.md,2025-01-28 18:55:39
9,"be forgotten that spain ’ s security and full stability in the mediterranean will only be achieved if our immediate surroundings, the middle east and the sahel, are moving in the right direction and if there is control of illicit trafficking originating from ibero ‐ america and the gulf of guinea. these require our presence in the atlantic and affect the development of policies with countries on both shores. thus, vigilance, prevention and action cannot be neglected in the control of endemic problems projected from sub ‐ saharan africa towards north africa, which ultimately affect spain directly. cases of piracy at sea in the gulf of guinea are cause for concern. piracy also affects the",695,115,130,0,spain_2012_NationalDefenceDirective.md,2025-01-28 18:55:39
10,"eastern coast of africa and spain continues to combat this phenomenon, along with other eu and nato partners. the ibero ‐ american continent enjoys peace among its states but faces other especially serious threats such as drug trafficking and terrorism. in some cases, these even threaten the very existence of a state. the most negative effects tend to extend beyond their borders and into spain or even directly threaten our citizens and companies on that continent. spain must take advantage of every opportunity to show solidarity and support for the ibero ‐ american republics suffering from these problems. the conditions of our security have been significantly altered in recent years. in consequence, spain must strive to guarantee",739,117,130,0,spain_2012_NationalDefenceDirective.md,2025-01-28 18:55:39
11,"the permanence of the values reflected in its constitution, as well as the geo ‐ strategic security of its citizens, companies and the raw materials that sustain our way of life in the face of current threats. * * 3. ‐ objectives of the defence policy * * the first contribution of spain to international peace and security is to guarantee its own, with strength and resolve, procuring the capabilities that ensure deterrence when faced with what are known as ‘ non ‐ shared threats ’. ultimately, for this to endure, it is important that citizens have adequate information regarding the state of our defence and adopt a position that places critical demands and",662,114,130,0,spain_2012_NationalDefenceDirective.md,2025-01-28 18:55:39
