chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# bericht des bundesrates an die bundesversammlung uber die sicherheitspolitik der schweiz vom 23. juni 2010 sehr geehrte frau nationalratsprasidentin sehr geehrte frau standeratsprasidentin sehr geehrte damen und herren wir unterbreiten ihnen den bericht des bundesrates uber die sicherheitspolitik mit dem antrag, den bericht zur kenntnis zu nehmen. wir versichern sie",370,51,130,0,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
2,", sehr geehrte frau nationalratsprasidentin, sehr geehrte frau standeratsprasidentin, sehr geehrte damen und herren, unserer vorzuglichen hochachtung. 23. juni 2010 im namen des schweizerischen bundesrates die bundesprasidentin : doris leuthard die bundeskanzlerin : corina casanova",282,35,97,0,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
3,"# # ubersicht der bundesrat prasentiert in regelmassigen abstanden berichte zur sicherheitspolitik der schweiz. diese berichte geben jeweils die leitlinien vor fur die ausgestaltung der sicherheitspolitik der nachsten jahre. der letzte solche bericht stammt aus dem jahr 1999. der bundesrat entschied 2008, einen neuen bericht uber die sicherheitspolitik der schweiz auszu",372,51,130,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
4,"##arbeiten. gleichzeitig beschloss er, die zeitlichen abstande zwischen solchen berichten zu verkurzen und kunftig grundsatzlich in jeder legislaturperiode den geltenden bericht zu uberarbeiten oder einen neuen zu erarbeiten. der vorliegende bericht nimmt eine analyse der sicherheitspolitischen entwicklung der letzten zehn jahre vor. er bewertet die bedrohungen und ge",370,48,132,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
5,"##fahren fur die schweiz und aussert sich zur verwundbarkeit und zum internationalen umfeld der schweiz. dabei kommt der bericht zum schluss, dass zwar markante sicherheitspolitische akzentverschiebungen erfolgt oder noch im gang sind - zum beispiel die verschiebung globaler machtverhaltnisse oder die sich weiter beschleunigende globalisierung und vernetzung –, dass",368,49,132,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
6,"aber die sicherheitspolitische situation der schweiz insgesamt nicht grundlegend * anders ist als vor zehn jahren. * die bisherige sicherheitspolitische strategie der schweiz wird denn auch im grundsatz als nach wie vor richtig erachtet. es geht weiterhin darum, ein moglichst effizientes und wirksames * zusammenspiel der sicherheitspolitischen mittel von bund, * kantone",372,52,130,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
7,"##n und gemeinden zu gewahrleisten und mit anderen staaten zusammenzuarbeiten, um bestehenden und sich abzeichnenden bedrohungen und gefahren vorzubeugen, sie abzuwehren und zu bewaltigen. das ziel der schweizerischen sicherheitspolitik ist es, die handlungsfahigkeit, selbstbestimmung und integritat der schweiz und ihrer bevolkerung sowie ihre le",348,44,132,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
8,"##bensgrundlagen gegen direkte und indirekte bedrohungen und gefahren zu schutzen sowie einen beitrag zu stabilitat und frieden jenseits unserer grenzen zu leisten. der bericht knupft damit in wesentlichen punkten an die bisherige strategie an. gleichzeitig fuhrt er aber auch neuerungen * ein, die fur eine bessere umsetzung dieser strategie und zur behebung von * schwa",371,55,132,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
9,"##chen und lucken notig sind. zu den neuerungen gehort, dass die sicherheitspolitik umfassender verstanden wird als bisher. sie umfasst nicht mehr nur die abwehr und bewaltigung * von gewalt * "" strategischen ausmasses "", sondern auch individuelle * gewaltanwendung, soweit * sie leib und leben gefahrdet. es geht nicht nur um die sicherheitspolitik des bun",357,55,132,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
10,"##des, sondern auch um jene der kantone ( und gemeinden ) * und somit der gesamten * schweiz. damit wird ein umfassenderes und burgernaheres bild der schweizerischen sicherheitspolitik gezeichnet. denn viele sicherheitsaufgaben werden von den kantonen wahrgenommen, gerade auch solche, die fur die alltagliche sicherheit und damit das sicherheitsempfinden der bevolkerung wesentlich sin",386,53,132,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
11,"##d. ein schwerpunkt des neuen berichts ist - dieser integralen sichtweise folgend - die verbesserung und intensivierung der zusammenarbeit der verschiedenen nationalen sicherheitsinstrumente, uber die verschiedenen staatsebenen hinweg. diese zusammenarbeit hat in den letzten jahren in der praxis fortschritte gemacht. dennoch be2 steht weiterer handlungsbedarf",362,45,132,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
12,". die zusammenarbeit zwischen bund und kantonen in sicherheitsfragen soll unter der bezeichnung "" sicherheitsverbund schweiz "" weiter optimiert und institutionalisiert werden. dazu wird ein koordinations - und konsultationsmechanismus geschaffen, der gemeinsam von bund und kantonen betrieben wird. dieser mechanismus soll einen wesentlichen * beitrag dazu leisten, dass in * sicherheitsfragen",393,51,130,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
13,", die den bund und die kantone betreffen, die strategische fuhrung und das krisenmanagement verbessert werden, unter anderem mit der durchfuhrung von regelmassigen grossangelegten ubungen. neuerungen gibt es auch bei der beschreibung und ausrichtung der einzelnen sicherheitsinstrumente. die * wesentlichsten und weitreichendsten betreffen die armee, * die im bericht - * wegen der grosse und dringlichkeit",406,56,130,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
14,"der anstehenden probleme und * veranderungen - * besonders ausfuhrlich behandelt wird. der bericht gibt leitlinien * vor fur die weiterentwicklung * der armee, ihre kunftigen aufgaben und mittel, ohne * allerdings die ausrichtung im detail festzulegen. das wird aufgabe eines separaten berichts des bundesrates zur armee sein. der sicherheitspolitische bericht legt fur alle * drei aufgaben",390,57,130,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
15,"der armee neuerungen * fest : die schwerpunktverlagerung auf einsatze zur unterstutzung der zivilen behorden soll weitergefuhrt werden. dabei wird festgehalten, dass bewachungs -, schutzund sicherungseinsatze im inland - * ausser im fall eines militarischen angriffs auf * die schweiz - immer subsidiar, zugunsten der kantone, erfolgen und moglichst zeit",354,50,130,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
16,"##lich begrenzt sein sollen. ausserdem wird kunftig auf den begriff der raumsicherung verzichtet, der fur unklarheit und kontroversen, insbesondere seitens der kantone, gefuhrt hat. die verteidigung ist zwar nicht die aktuellste * aufgabe der armee, * in letzter konsequenz aber nach wie vor ihre entscheidende aufgabe. zur abwehr eines - aus derzeitiger",354,52,133,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
17,"sicht unwahrscheinlichen, uber lange dauer aber nicht vollig auszuschliessenden - militarischen angriffs soll die armee alle notigen fahigkeiten und das know - how aufbauen und bewahren. diese kompetenzen sollen qualitativ auf einem guten niveau sein, quantitativ aber auf ein minimum reduziert * werden. * in der militarischen friedensforderung soll die armee ihre beitrage erhohen",382,54,130,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
18,". dabei steht ein ausbau von hochwertigen beitragen an einsatze der internationalen gemeinschaft im vordergrund, zum beispiel durch die bereitstellung von mehr transporthelikoptern oder von besonders gesuchten fachleuten. | inhaltsverzeichnis ubersicht | 2 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",348,79,130,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
19,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - | | 1 einleitung, umschreibung der sicherheitspolitik | 6 | | 2 sicherheitspolitische interessen und ziele | 8 | | 3 die lage | 8 | | 3. 1 sicherheitspolitische trends | 8 | | 3. 2 bedrohungen und gefahren | 10 | | 3. 2. 1 dire",307,88,130,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
20,##kte bedrohungen und gefahren | 11 | | 3. 2. 2 indirekte bedrohungen und gefahren | 15 | | 3. 2. 3 zuordnung zur sicherheitspolitik | 17 | | 3. 3 verwundbarkeit der schweiz | 17 | | 3. 4 regionales umfeld und sicherheitspolitisch bedeutsame organisationen | 20 | | 4 strategie | 23 | | 4. 1 grundsatzliche ausrichtung | 23 | | 4. 2 sic,336,67,132,1,switzerland_2010_SecurityPolicyReport_noneng.md,2025-01-28 18:57:12
