chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,中 華 民 國 [UNK] [UNK] 年 * * republic of china * * * * national defense report 國 [UNK] [UNK] [UNK] 書 100 * * * * th * * * * anniversary * * [UNK] [UNK] [UNK] 國 年 - - - - - minister´s foreword 15 introduction 19 part 1 strategic environment 23 chapter 1 security situation 24 section 1 current status and developments of the pla 25 section 2 prc military capabilities and threats 39 chapter 2 security challenges 52 section 1 current status and developments of the pla 53 section 2 prc military capabilities and threats 69 section 3 roc security challenges and responses 85 part 2 national defense transformation 91 chapter 3 national defense policy 92 section 1,658,125,130,0,taiwan_2011_NationalDefenseReport.md,2025-01-28 18:53:51
2,axes of national defense policy 93 section 2 defense strategy objectives 102 section 3 military strategic concepts 108 section 4 a new volunteer - based force 116 section 5 amendments to defense law system 119 chapter 4 national defense organization 124 section 1 national defense system 125 section 2 organizational structure 128 section 3 force structure 132 - - - - - 中 華 民 國 [UNK] [UNK] 年 國 [UNK] [UNK] [UNK] 書 part 4 bringing peace and stabilityto the country 221 chapter 8 disaster prevention and relief 222 section 1 disaster prevention and preparedness 223 section 2 implementation status 233 section 3 direction of efforts 239 chapter 9 service for the people 244 section 1 military civilian service 245 section 2 protection of rights,743,126,130,0,taiwan_2011_NationalDefenseReport.md,2025-01-28 18:53:51
3,and interests 259 appendix 275 afterword 285 part 3 national defense capabilities 141 chapter 5 national defense force 142 section 1 intangible combat capability 143 section 2 joint operation effectiveness 147 section 3 information and electronic warfarecapabilities 154 section 4 logistics support 157 chapter 6 national defense resources 164 section 1 national defense human resources 165 section 2 national defense financial resources 177 section 3 armament readiness 187 section 4 national defense and people´s livelihood 199 chapter 7 all - out defense 208 section 1 national defense education 209 section 2 defense mobilization 219 - - - - - - - - - - * * he national defense of the republic of * * * * china aims to,722,120,130,0,taiwan_2011_NationalDefenseReport.md,2025-01-28 18:53:51
4,"build a defense force with * * # # # # t * * comprehensive national strength, to provide aid * * * * to disaster relief, and thus safeguard the nation * * * * and its people and preserve world peace. * * 5 - - - - - * * uring peacetime, the army safeguards taiwan as well as its * * * * offshore islands, supports counter - terrorism actions when ordered, * * # # # # d * * and actively engages in disaster relief. during wartime, the army will * * * * integrate ground forces for joint operations and defeat invading enemy * * * * forces. *",541,116,130,0,taiwan_2011_NationalDefenseReport.md,2025-01-28 18:53:51
5,"* 6 - - - - - 7 - - - - - * * uring peacetime, the navy is responsible for reconnaissance, patrolling * * * * and safeguarding maritime security in the taiwan strait, and actively * * # # # # d * * engaging in disaster relief. during wartime, it will conduct sea operations * * * * with friendly forces to counter the enemy ’ s maritime blockade or military * * * * invasion, thereby securing the sea lines of communication ( sloc ). * * 8 - - - - - 9 - - - - - 10 - - - - - * * uring peacetime,",495,114,130,0,taiwan_2011_NationalDefenseReport.md,2025-01-28 18:53:51
6,"the air force is responsible for aerial * * * * reconnaissance, patrolling the taiwan strait and securing * * # # # # d * * national airspace, and actively engaging in disaster relief. during * * * * wartime, the air force will coordinate with friendly forces to * * * * gain air superiority and conduct air defense operations. * * 11 - - - - - * * elebrations are held to arouse citizens ’ patrioism, and enable * * * * the all - out defense concept to strike roots in their hearts. * * # # # # c 12 - - - - - 13 - - - -",521,116,130,0,taiwan_2011_NationalDefenseReport.md,2025-01-28 18:53:51
7,"- * * rticle 138 of the constitution of the republic of china states : * * * * “ the land, sea and air forces of the whole country shall be above * * # # # # a * * personal, regional, or party affiliations, shall be loyal to the state, and * * * * shall protect the people. ” * * 14 - - - - - * * minister ’ s foreword * * 15 - - - - - he ministry of national defense is obligated to periodically report “ what it has done, what it is doing, what it prepares to do, why it is going to do",487,115,130,0,taiwan_2011_NationalDefenseReport.md,2025-01-28 18:53:51
8,"so ” to # # # t the people in accordance with article 30 of the national defense act. the national defense report is published to give citizens a better understanding of the nation ’ s current security environment and national defense policy. furthermore, the national defense report allows citizens to understand that the roc armed forces is unbiased and must abide by the roc constitution, firmly maintain administrative neutrality, support government administration, and ensure national security. as this year marks as the 100 [ th ] anniversary of the republic of china, this national defense report possesses the epochal significance of “ inheriting from the past ” and “ carrying on for the future",703,115,130,0,taiwan_2011_NationalDefenseReport.md,2025-01-28 18:53:51
9,", ” and thus uses “ a new epoch of national defense ” as its axis. this year ’ s national defense report conducts a comprehensive review of implementation results of national defense policy in recent years, and outlooks on future force development directions, so that citizens will understand, recognize and support national defense affairs. in addition, this report commends the heroic deeds of the black cat and black bat air squadrons, the martyrs in battle of kuningtou and battle of yijiangshan, as well as the selfless devotion of the army 1 [ st ] special forces, which have succeeded the armed forces honorable history. ever since president ma ying",656,110,130,0,taiwan_2011_NationalDefenseReport.md,2025-01-28 18:53:51
10,"- jeou assumed office in may 2008, the government has endeavored to implement a pragmatic mainland policy with foresight, and thus improved the situation in the taiwan strait, significantly reducing the possibility of an armed conflict. however, peace must be established on strong self - defense capabilities, and not rely on the aid or good intentions of others. we have observed that the prc continues to insist that articles on taking non - peaceful means for resolving the cross - strait issue are required in the “ anti - secession law ” ; the prc has showed no signs of adjusting its military deployment opposite taiwan. as the last line of defense of national security",676,115,130,0,taiwan_2011_NationalDefenseReport.md,2025-01-28 18:53:51
