chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # # # m i n i s t r y o f def en c e o f uk ra in e,57,26,28,0,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
2,# white book 2013,17,4,6,1,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
3,# # the armed forces of ukraine - - - - -,41,12,14,2,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
4,# # # # # # m i n i s t r y o f def en c e o f uk ra in e,57,26,28,3,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
5,# white book 2013,17,4,6,4,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
6,"# # armed forces of ukraine kyiv • 2014 - - - - - the white book 2013 : the armed forces of ukraine publication was developed by the ministry of defence and the general staff of the armed forces of ukraine. working group composition : sergii vdovenko, mykhailo kucyn, oleksandr lischynskyi, viktor pavlenko, viktor palii, ivan rusnak working group secretary : viktor kravchuk translation editors : oleksandr gaivoronskyi, olena danyliuk, oleksandr sgenchukovskyi, phil jones",474,75,130,5,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
7,", andryi smorodin, olena nikiforova, natalia liashenko, lesia hrebeniuk, viktor samchuk the white book is published according to the law of ukraine “ on the democratic civilian control over the military organisation and law enforcement agencies of the state ” with the aim to regularly inform the public on the activities of the armed forces of ukraine as well as the defence policy of the state and its challenges and solutions. the ninth publication, white book 2013 : the armed forces of ukraine is dedicated to the issues of the reform and development of the armed forces. the publication highlights the current state of the armed",634,106,130,5,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
8,"forces and the main directions for further military development. the publication could be useful for civilian and military experts in the area of military development, defence and security policy, as well as journalists, faculty and students of specialised educational institutions and to all interested in the state and development of the armed forces of ukraine. © ministry of defence of ukraine, 2014 © layout & design : pe moskalenko o. m., 2014 - - - - -",459,77,91,5,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
9,# # # # # chapter 1,19,7,9,6,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
10,# # # # regulatory support and funding of the armed forces requirements in 2013 regulatory support of the armed forces activities funding of the armed forces requirements - - - - - - - - - -,190,38,40,7,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
11,# # # # # chapter 1,19,7,9,8,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
12,"# # # # regulatory support and funding of the armed forces requirements in 2013 regulatory support of the armed forces activities funding of the armed forces requirements in 2013 the 95 regulatory legal acts were endorsed, including 9 laws of ukraine, 19 decrees of the president of ukraine, 34 decrees and 33 regulations of the cabinet of ministers of ukraine ( annex 1 ). these documents allowed to : - improve basis of the state policy in the defence area and technical refurbishment of the armed forces ; - expand the boundaries of the armed forces participation in international operations on maintaining peace and security and to set cooperation with individual countries, continue constructive partnership within the framework of international cooperation ;",764,123,130,9,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
13,"- increase the credibility and competitive ability of the military service at the labour market through the gradual increase of allowance for military personnel within two years and regulate the payment of compensation allowance for housing renting from january 1, 2014. the state budget of ukraine for 2013 allocated uah * * 15, 281. 2 million for the ministry of defence, which * * accounted for 0. 97 % of gdp. the general fund amounted to uah 14, 300. 1 million ( 93. 6 % of the budget ) while the special fund accounted for uah 981. 1 million ( 6. 4 % of the budget ). only * *",582,110,130,9,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
14,"uah 15, 160. 2 million ( 0. 96 % of gdp ) was * * actually allocated which accounted for 99. 2 % of the annual budget. the general fund allocation totalled uah 14, 300. 1 million ( 100 % of the budget ) and the special fund – uah 860. 1 million ( 87. 7 % of the budget ) ( diagram 1. 1 ). in comparison to 2012 the financial resources were * * diagram 1. 1. funding of the * * armed forces for 2010 - 2013, billion uah, billion uah 9. 1 % 7. 8 % 4. 6 %",452,103,130,9,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
15,"12. 7 10. 5 0. 5 % 14. 8 15. 2 | 12. 7 10. 5 | col2 | col3 | col4 | col5 | | - - - | - - - | - - - | - - - | - - - | * * 2010 * * * * 2011 * * * * 2012 * * * * 2013 * * actual funding inflation index increased by uah 398. 3 million. the allocated resources in 2013 were directed to the following areas ( diagram 1. 2 ) : - maintenance of the armed forces – uah 12, 451. 3 million or 82. 1",388,108,130,9,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
16,"% of the total amount ; - training of the armed forces – uah 1172. 3 million ( 7, 7 % ) ; - materiel development – uah 1536. 6 million ( 10, 2 % ). - - - - - regulatory support and funding of the armed forces requirements in 2013 chapter 1 * * diagram 1. 2. the expenditure structure of the * * ministry of defence for the period 2010 - 2013, % 50, 0 87, 9 86, 8 82, 0 82, 1 20, 0 30, 0 5, 7 7, 7 5, 1 4, 2 7, 0 9, 0",416,102,130,9,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
17,"12, 3 10, 2 * * world * * * * 2010 * * * * 2011 * * * * 2012 * * * * 2013 * * * * practice * * maintenance of the armed forces training of the armed forces investments made for materiel development according to the planned indexes the underfunding amounted for uah 121. 0 million ( annex 2 ). at the same time uah 8 million were allocated from the reserve fund for the troops ( forces ) needs [ 1 ]. the preliminary monitoring of financial transactions and contracts audit was introduced, and anti - corruption analysis of the risk areas of the armed forces functioning was conducted",583,116,130,9,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
18,"in order to exclude the corruption component in the ministry of defence. as a result of the measures taken and the introduction of additional control mechanisms to prevent inefficient administrative decisions in 2013, significant resources for the armed forces reform were retained. in general the loss of uah 106 million was averted, unreasonable use of uah 24 million was prevented and more than uah 58 million were reimbursed. | col1 | 50, 0 | col3 | 87, 9 | col5 | 86, 8 4, 2 | col7 | 82, 0 | col9 | 82, 1 | col11 | | -",523,100,130,9,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
19,"- - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | | | 20, 0 | | | | | | | | | | | | 30, 0 | | | | | | | | | | | | | | | | | | 5, 7 | | 7, 7 | | | | | | 5, 1 7, 0 | | 9, 0 | | 12, 3 | | 10, 2 | | * * in 2013 for the first time over the",270,119,130,9,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
20,"past years allocation of less * * * * than 1 % of gdp were provided for the defence needs, which did * * * * not meet the resource requirements of the armed forces in full. * * * * distribution of the ministry of defence expenditures in such areas * * * * as maintenance of the armed forces, training of troops ( forces ) and * * * * the materiel development did not meet the classical world model. * * 1 the decree of the cabinet of ministers of ukraine “ on the allocation of funds for emergency measures to relief consequences of unfavourable weather conditions occurred in vinnytsia, volyn ’",595,115,130,9,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
21,", zhytomyr, kyiv, l ’ viv, rivne, ternopil, khmelnytskyi and chernivtsi regions ” # 14 - r as of january 16, 2013 the decree of the cabinet of ministers of ukraine “ on satisfaction of accounts payable with the reimbursement of expenditures as a result of emergency measures to relief consequences of emergency situation on february 7 - 8, 2012 at the facilities of the centre for medical rehabilitation and sanatorium treatment “ crimea ” in the village of partenit ” # 311 - r as of may 20, 2013 the decree of the",515,94,130,9,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
22,"cabinet of ministers of ukraine “ on the allocation of funds for reimbursement of costs as a result of the relief of consequences of natural disasters occurred on march 22 - 26, 2013 in vinnytsia, volyn ’, kyiv, l ’ viv, poltava, sumy, chernihiv regions and kyiv ” # 535 - r as of july 17, 2013 - - - - -",304,62,87,9,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
23,# # # # # chapter 2,19,7,9,10,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
24,"# # # # command and control system of the armed forces, organisation, manpower and equipment improvement of the command and control system of the armed forces organisation of the armed forces materiel supplies - - - - - - - - - -",229,44,49,11,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
25,# # # # # chapter 2,19,7,9,12,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
26,"# # # # command and control system of the armed forces, organisation, manpower and equipment improvement of the command and control system of the armed forces at the end of 2013 the command and control system of the armed forces included the following ( figure 2. 1 ) : - _ strategic level – the ministry of defence, the general staff of the armed forces ; _ - _ operational level – the services ’ commands, operational commands “ north ”, _ “ south ”, the 8 [ th ] army corps ’ command, air commands ; - _ tactical level – task force ( group ), brigades, regiments, bases, depots and _ arsenal",594,115,130,13,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
27,"##s and other military units ’ commands. strategic level of command the distribution of functions and tasks between structural units [ 1 ] was legislatively affirmed and the structure of the organisation of the ministry of defence was specified during the year, namely : - meeting the requirements of the president of ukraine to direct and coordinate the activity of the state emergency service of ukraine as well as regulating state * * figure 2. 1. the armed forces command and control elements as at the end of 2013 * * | col1 | col2 | col3 | col4 | col5 | col6 | col7 | col8 | col9 | col10 | col",599,113,132,13,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
28,##11 | the arma - ments of the armed forces | col13 | col14 | col15 | col16 | col17 | col18 | | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | - - - | | | | | | | | | | | | | | | | | | | | | | | | |,287,120,132,13,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
29,| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | air commands task force | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | air commands | | | | | | | | | | | | | | | | | | | | | task forc | | | | | | | | | | | | | | | | | | | | | | |,284,127,130,13,ukraine_2013_WhiteBook.md,2025-01-28 18:54:08
