chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # указ президента украіни * * _ [ { указ втратив чинність на підставі указу президента № 121 / 2021 від 25. 03. 2021 } ] ( https : / / zakon. rada. gov. ua / laws / show / 121 / 2021 # n8 ) _ * *,197,50,114,0,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
2,"# # # про рішення ради національноі безпеки і оборони украіни від 2 вересня 2015 року "" про нову редакцію воєнноі доктрини украіни "" [ відповідно до статті 107 конст",165,30,130,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
3,"##итуціі украіни, частини другоі статті 2 закону украіни "" про ] ( https : / / zakon. rada. gov. ua / laws / show / 254 % d0 % ba / 96 - % d0 % b2 % d1 % 80 # n4664 ) основи національноі безпеки украіни "" п",206,50,132,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
4,"##остановляю : 1. увести в дію рішення ради національноі безпеки і оборони украіни від 2 вересня 2015 року "" про нову редакцію воєнноі доктрини украіни "" ( додаєтьс",164,28,132,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
5,"##я ). 2. затвердити воєнну доктрину украіни ( додається ). 3. визнати такими, що втратили чинність : [ указ президента украіни від 15 червня 2004 року № 648 "" про воє",167,31,132,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
6,"##нну доктрину украіни "" ; ] ( https : / / zakon. rada. gov. ua / laws / show / 648 / 2004 ) [ статтю 2 указу президента украіни від 15 липня 2004 року № 800 "" про рішення ради ] ( https : / / zakon. rada. gov. ua / laws / show / 800 / 2004",240,59,132,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
7,") національноі безпеки і оборони украіни від 6 липня 2004 року "" про дальшии розвиток відносин з нато з урахуванням результатів засідання комісіі украіна - нато н",162,27,130,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
8,"##а наивищому рівні 29 червня 2004 року "" ; [ статтю 1 ] ( https : / / zakon. rada. gov. ua / laws / show / 702 / 2005 ) указу президента украіни від 21 квітня 2005 року № 702 "" питання воєнноі доктрини украі",208,46,132,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
9,"##ни "" ; [ статтю 3 указу президента украіни від 8 липня 2009 року № 518 "" про внесення змін до ] ( https : / / zakon. rada. gov. ua / laws / show / 518 / 2009 ) деяких указів президента украіни "" ; [ стат",205,48,132,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
10,"##тю 2 ] ( https : / / zakon. rada. gov. ua / laws / show / 390 / 2012 # n6 ) указу президента украіни від 8 червня 2012 року № 390 "" про рішення ради національноі безпеки і оборони украіни від 8 червня 2012 р",209,47,132,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
11,"##оку "" про нову редакцію воєнноі доктрини украіни "". 4. міністерству закордонних справ украіни, міністерству оборони украіни забезпечувати інформаці",149,19,132,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
12,##ине супроводження виконання воєнноі доктрини украіни. 5. цеи указ набирає чинності з дня иого опублікування. * * президент украіни * * * * п. порошенко * * * * м,163,30,132,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
13,. киів * * * * 24 вересня 2015 року * * * * № 555 / 2015 * * - - - - - * * указом президента украіни * * * * від 24 вересня 2015 року № 555 / 2015 * *,150,45,89,1,ukraine_2015_MilitaryDoctrine.md,2025-01-28 18:56:33
