chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # указ президента украіни * * _ [ { указ втратив чинність на підставі указу президента № 121 / 2021 від 25. 03. 2021 } ] ( https : / / zakon. rada. gov. ua / laws / show / en / 121 / 2021 # n8 ) _ * *,202,52,116,0,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
2,"# # # про рішення ради національноі безпеки і оборони украіни від 2 вересня 2015 року "" про нову редакцію воєнноі доктрини украіни "" [ відповідно до статті 107 конст",165,30,130,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
3,"##итуціі украіни, частини другоі статті 2 закону украіни "" про ] ( https : / / zakon. rada. gov. ua / laws / show / en / 254 % d0 % ba / 96 - % d0 % b2 % d1 % 80 # n4664 ) основи національноі безпеки украіни",207,50,132,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
4,""" постановляю : 1. увести в дію рішення ради національноі безпеки і оборони украіни від 2 вересня 2015 року "" про нову редакцію воєнноі доктрини украіни "" ( додаєт",163,29,130,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
5,"##ься ). 2. затвердити воєнну доктрину украіни ( додається ). 3. визнати такими, що втратили чинність : [ указ президента украіни від 15 червня 2004 року № 648 "" про в",167,31,132,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
6,"##оєнну доктрину украіни "" ; ] ( https : / / zakon. rada. gov. ua / laws / show / en / 648 / 2004 ) [ статтю 2 указу президента украіни від 15 липня 2004 року № 800 "" про рішення ради ] ( https : / / zakon. rada. gov. ua / laws / show",234,57,132,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
7,"/ en / 800 / 2004 ) національноі безпеки і оборони украіни від 6 липня 2004 року "" про дальшии розвиток відносин з нато з урахуванням результатів засідання комісіі украіна",171,30,130,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
8,"- нато на наивищому рівні 29 червня 2004 року "" ; [ статтю 1 ] ( https : / / zakon. rada. gov. ua / laws / show / en / 702 / 2005 ) указу президента украіни від 21 квітня 2005 року № 702 "" питання воєнноі доктр",210,49,130,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
9,"##ини украіни "" ; [ статтю 3 указу президента украіни від 8 липня 2009 року № 518 "" про внесення змін до ] ( https : / / zakon. rada. gov. ua / laws / show / en / 518 / 2009 ) деяких указів президента укра",205,47,132,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
10,"##іни "" ; [ статтю 2 ] ( https : / / zakon. rada. gov. ua / laws / show / en / 390 / 2012 # n6 ) указу президента украіни від 8 червня 2012 року № 390 "" про рішення ради національноі безпеки і оборони украіни",208,48,132,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
11,"від 8 червня 2012 року "" про нову редакцію воєнноі доктрини украіни "". 4. міністерству закордонних справ украіни, міністерству оборони украіни забезпечув",153,22,130,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
12,##ати інформаціине супроводження виконання воєнноі доктрини украіни. 5. цеи указ набирає чинності з дня иого опублікування. * * президент украіни * * * * п. по,159,26,132,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
13,##рошенко * * * * м. киів * * * * 24 вересня 2015 року * * * * № 555 / 2015 * * - - - - - * * указом президента украіни * * * * від 24 вересня 2015 року № 555 / 2015 * *,169,50,103,1,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
14,"# # # # воєнна доктрина украіни тимчасова окупація росіиською федерацією частини територіі украіни - автономноі республіки крим і міста севастополя, роз",152,22,130,2,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
15,##палювання росією зброиного конфлікту в східних регіонах украіни та руинування системи світовоі та регіональноі безпеки і принципів міжнародного права зум,155,20,132,2,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
16,##овлюють перегляд та уточнення доктринальних положень щодо формування та реалізаціі воєнноі політики украіни.,110,13,98,2,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
17,"# # # # i. загальні положення 1. воєнна доктрина украіни ( далі - воєнна доктрина ) є системою поглядів на причини виникнення, сутність і характер сучасних воє",159,28,130,3,ukraine_2015_NationalSecurityStrategy.md,2025-01-28 18:54:38
