chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"- - - - - this statement of values is intended to shape the behaviour of all those involved in acquisition, including ministers, defence management board members, customers at all levels, the scrutiny community, project teams in the various delivery organisations and our private sector partners. everything we do is driven by the defence vision :",347,56,64,0,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
2,# # # # # # the defence vision defending the united kingdom and its interests strengthening international peace and stability,125,21,23,1,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
3,"# # # # # # a force for good in the world we achieve this aim by working together on our core task to produce battle - winning people and equipment that are : [ fit for the challenge of today ] [ ready for the tasks of tomorrow ] [ capable of building for the future ] by working together across all the lines of development, we will deliver the right equipment and services fi t for the purpose required by the customer, at the right time and the right cost. in delivering this vision in acquisition, we all must : * * [ recognise that ] [ people are the key to our success ; ] [ equip them",591,122,130,2,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
4,"] * * * * with the right skills, experience and professional qualifi cations ; * * * * [ recognise the ] [ best can be the enemy of the very good ; ] [ distinguish ] * * * * between must have, desirable, and nice to have if aff ordable ; * * * * [ identify ] [ trade off s between performance, time and cost ; ] [ cases for ] * * * * additional resources must off er realistic alternative solutions ; * * [ never assume additional resources ] [ will be available ; ] * * cost growth on one project can only mean * * * * less for",528,119,130,2,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
5,"others and for the front line ; * * * * [ understand that ] [ time matters ; ] [ slippage costs – through ] * * * * running on legacy equipment, extended project * * * * timescales, and damage to our reputation ; * * * * [ think ] [ incrementally ; ] [ seek out agile solutions with open ] * * * * architecture which permit “ plug and play ” ; allow space * * * * for innovation and the application of best practice ; * * [ quantify risk ] [ and reduce it by placing it where it can ] * * be managed most eff ec",511,118,130,2,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
6,"##tively ; stopping a project * * * * before main gate can be a sign of maturity ; * * [ recognise and respect the contribution made by ] industry ; seek to share objectives, risks and rewards * * while recognising that diff erent drivers apply ; * * * * [ value ] [ openness and transparency ; ] [ share future plans ] * * * * and priorities wherever possible to encourage * * * * focused investment and avoid wasted eff ort ; * * * * [ embed a ] [ through life culture ] [ in all ] * * * * planning and decision making ; * * *",528,118,134,2,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
7,* [ value ] [ objectivity ] [ based on clear evidence rather than ] * * * * advocacy ; ensure that we capture past experience * * * * and allow it to shape our future behaviour ; * * * * [ realise that ] [ success and failure matter ; ] [ we will hold ] * * * * people to account for their performance. * * ministers and members of the defence management board will play their part in working together for defence by : [ speeding decision taking ] [ keeping the approval process simple ] [ empowering teams to deliver ] - - - - -,529,114,119,2,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
8,# # # # defence industrial strategy defence white paper,55,10,12,3,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
9,# # # # # # presented to parliament by the secretary of state for defence by command of her majesty december 2005 £18. 00,121,25,29,4,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
10,# # # # # # cm 6697 - - - - -,29,13,17,5,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
11,"# # # # # # foreword he country is rightly proud of its armed forces, and recognizes the vital contribution they make to ensuring our security in an uncertain world. since the strategic defence review in 1998, and through successive white papers, we have been transforming the royal navy, army and royal air force to face the demands of the 21st century. our",358,64,73,6,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
12,"# t plans provide for agile, fl exible forces that can respond effectively to the varied challenges and opportunities we face now and in the future. that realignment is supported by a substantial equipment programme, reconfi guring our forces to project power round the world to protect uk interests and strengthen international peace and stability. this has been supported by sustained real increases in the defence budget arising from each spending review since the government was elected in 1997. our defence industrial strategy takes forward our defence industrial policy, published in 2002, by providing greater transparency of our future defence requirements and, for the fi rst time, setting out those industrial capabilities we",735,113,130,7,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
13,"need in the uk to ensure that we can continue to operate our equipment in the way we choose. the defence industrial strategy recognises the important contribution that our defence industry makes to delivering military capability and the clarity provided in the strategy will, we believe, promote a dynamic, sustainable and globally competitive defence manufacturing sector. the uk market for defence equipment and services is the second largest in the world, and we recognise that the uk has a broad - based and sophisticated defence industry. the uk offers unique attractions to business and we continue to benefi t from the presence in our market of companies, whoever their shareholders are, who are prepared to invest",721,116,130,7,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
14,"and develop their businesses here. but government is clear that there are also challenges ahead. the complex, technologically challenging and high - value systems which we are introducing – and which take many years to design and bring into service – will last for many years. this places increasing emphasis on an ability to support and upgrade them through life, as well as having implications for the level of industrial capability and capacity that it is sensible or economic for industry to retain. we recognize that industry will have to reshape itself, to improve productivity and to adjust to lower production levels once current major equipment projects have been completed, while at the same time retaining the",720,117,130,7,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
15,"specialist skills and systems engineering capabilities required to manage military capability on a through life basis. just as the roles and structures of the armed forces are transforming, so too are those of the defence industry which has itself to face the future with confi dence. in this strategy, we consider carefully which industrial capabilities we need to retain in the uk to ensure that we can continue to operate our equipment in the way we choose to maintain appropriate sovereignty and thereby protect our national security. the strategy sets these out, and explains clearly for the fi rst time which industrial capabilities we require to be sustained onshore, noting that – as now – there are",707,117,130,7,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
16,"many that we can continue to seek to satisfy through open international competition. in doing so, it builds upon the defence industrial policy, explains more clearly how procurement decisions are made, and to assist industry in planning for the future commits the government to greater transparency of our forward plans, noting that as in any business, these change over time as spending priorities shift or cost estimates mature. to implement this strategy will require changes on behalf of both industry and government. industry will need to adjust to sustain the capabilities we need once current production peaks are passed. the government, too, needs to drive forward improvements in the way we acquire, support and upgrade our",732,116,130,7,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
17,"equipment. together, the defence industry and government have to change their relationship, working to ensure that our armed forces continue to have the equipment they need. doing this will help ensure the uk defence industry has a sustainable and bright future. this will require continuous effort on both sides over the coming years as it will not be easy. however, by starting the process today, while workloads are high, we can avoid facing a crisis in a few years time. we recognize some companies will fi nd the strategy ’ s conclusions diffi cult, but believe that industry, the city, the government and the country needs the additional clarity we are",658,111,130,7,unitedkingdom_2005_DefenceIndustrialStrategy.md,2025-01-28 18:56:34
