chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# national security capability review,37,5,7,0,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
2,"# # # # # including the second annual report on implementation of the national security strategy and strategic defence and security review 2015 - - - - - © crown copyright 2018 produced by cabinet office you may re - use this information ( excluding logos ) free of charge in any format or medium, under the terms of the open government licence. to view this licence, visit [ http : / / www. nationalarchives. gov. uk / doc / open - government - licence / ] ( http : / / www. nationalarchives. gov. uk / doc / open - government - licence / ) [ or email : psi @",560,113,130,1,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
3,nationalarchives. gsi. gov. uk ] ( mailto : psi % 40nationalarchives. gsi. gov. uk? subject = ) where we have identified any third party copyright material you will need to obtain permission from the copyright holders concerned. alternative format versions of this report are available on request from bli d @ bi t ffi k - - - - -,330,60,82,1,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
4,"# # contents * * foreword by the prime minister * * * * 2 * * * * overview * * * * 3 * * * * the national security context * * * * 5 * * * * our vision, values and approach * * * * 7 * * our global britain vision and values 7 our approach 9 the fusion doctrine 10 * * our national security capabilities * * * * 12 * * defence 14 counter - terrorism 18 cyber 21 serious and organised crime 23 ports and borders 26 national resilience 28 global britain 30 national security communications 34 economic security, prosperity and trade 36 development 41 cross - government funds 44 * * annex",585,124,130,2,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
5,: principal commitments from the strategic defence and security * * * * review 2015 * * * * 46 * * - - - - -,108,27,29,2,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
6,"# # foreword by the prime minister last year, we commissioned the national security capability review to establish how best we can apply our national security apparatus to address the increasing and diversifying threats to our country and to our way of life. overall the framework of the 2015 national security strategy and the strategic defence and security review remains right. but since it was published, threats have continued to intensify and evolve and we face a range of complex challenges at home and overseas : the resurgence of state - based threats and increasing competition between states ; the undermining of the international rules based order ; the rise in cyber - attacks from both state and non",713,119,130,3,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
7,"- state actors and the wider impact of technological developments ; and the increase in threat posed by terrorism, extremism and instability. over the past year in the uk we have witnessed appalling terrorist attacks in london and manchester. but also a brazen and reckless act of aggression on the streets of salisbury : attempted murder using an illegal chemical weapon, amounting to an unlawful use of force against the uk. crucially what all of these incidents have made clear is that our national security is conditional on not only the police and security services who work so hard to keep us safe at home, or on the brave men and women of our armed",655,115,130,3,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
8,"forces working tirelessly around the world – but on our ability to mobilise most effectively the full range of our capabilities in concert to respond to the challenges we face. so as this report sets out, we have agreed a new approach to the orchestration of our national security capabilities. based on the new fusion doctrine, this approach will ensure that in defending our national security we make better use of all of our capabilities : from economic levers, through cutting - edge military resources to our wider diplomatic and cultural influence on the world ’ s stage. every part of our government and every one of our agencies has its part to play. i am",663,116,130,3,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
9,"confident that we can rise to the challenges ahead and that we can build on our considerable strengths to enhance our national security. to leverage our influence as a nation with the largest defence and security budget in europe to advocate for peace and stability and promote our prosperity around the world. to work with our partners and allies to strengthen our collective commitment to the international rules based order and project our global influence. and to stand together to defeat attempts to undermine our security and prosperity, to defend the values that lie at the very heart of our society, and to enhance our ability to protect our people. as long as we defend our interests and stand up for our",713,122,130,3,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
10,"values, there will continue to be those who seek to undermine or attack us. but these people should be in no doubt that we will use every capability at our disposal to defeat them. - - - - -",190,39,44,3,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
11,"# # overview 1. the national security council ( nsc ) reviewed the national security strategy and strategic defence and security review ( sdsr 2015 ) after the general election in 2017. the nsc concluded that the sdsr, and its three national security objectives, should continue to frame our approach to national security. the nsc commissioned a focused national security capability review ( nscr ) to identify how we could develop, deliver and deploy our considerable national security capabilities to maximum collective effect. 2. the world has become more uncertain and volatile since 2015. this report updates the sdsr ’ s assessment of the complex and overlapping challenges likely to drive uk",698,112,130,4,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
12,"security priorities over the next decade. it explains how we are taking a transformative whole - ofgovernment approach in response, bringing to bear the widest possible range of capabilities. it also highlights areas where we want to sustain dynamic cooperation with the eu to protect capabilities that keep people safer across the whole of our continent. 3. the nscr focused on capabilities that are critical to our national security, where we judged that they could benefit from review to support implementation of the sdsr. we have not revised any of the sdsr principal commitments as a result of the nscr. this document also incorporates our annual report on implementation of the",684,111,130,4,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
13,"2015 sdsr. we set out our progress against commitments in the sdsr and the actions we are taking as a result of the nscr : - we will use a new national security doctrine, the fusion doctrine, to improve our collective approach to national security, building on the creation of the nsc eight years ago so that we use our security, economic and influence capabilities to maximum effect to protect, promote and project our national security, economic and influence goals. - we will further strengthen and modernise defence and the armed forces to deliver better military capability in an enduringly sustainable way, optimise how the ministry of defence ( mod )",657,111,130,4,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
14,"is organised and is operating, pursue a more strategic efficiency and business modernisation programme, and improve our commercial and industrial approach through the modernising defence programme ( mdp ). the mdp will build on the firm foundations of the sdsr and be informed by the work already undertaken as part of the nscr. - we will publish a new counter - terrorism strategy, which will include measures to improve our ability to disrupt terrorist plots in their early stages and improve frontline integration of our counter - terrorism response. - we will continue to implement the national cyber security strategy and ensure it * * keeps pace with the threat, including through the national",699,114,130,4,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
15,"cyber security centre. * * - we will take a whole - of - government approach to serious and organised crime, including a single cross - government ministerial decision - making body, a new intelligence framework, better community engagement and a national economic crime centre in partnership with the private sector. - - - - - - we will integrate the knowledge and expertise held by all border organisations to produce * * comprehensive strategic threat assessments for the border. * * - we will improve assurance of resilience and readiness of local and national * * capabilities, reinforce mutual aid systems during major disasters and continue to * * develop a holistic approach to supporting victims of",707,118,130,4,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
16,"emergencies. - we will strengthen our overseas network so that we can reinvest in our relationships around the world, champion the rules - based system including free trade and use our soft power to project our values and advance uk interests. - we will significantly expand the national security communications team to make communications an integral part of our approach to national security. - we will integrate economic goals and capabilities throughout national security. - we will ensure our development capability responds to changes in global poverty and national security challenges. - we will enhance the cross - government funds by improving strategic direction through the fusion doctrine, governance through a new ministerial committee, and efficient administration by",781,118,130,4,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
17,merging the secretariats into a single funds unit. - - - - -,60,13,17,4,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
18,"# # the national security context 1. in sdsr 2015, we described how the world is changing rapidly and fundamentally. we continue to see long - term shifts in the balance of global economic and military power, increasing competition between states as well as the threat from non - state actors. while the uk has chosen to leave the eu, we are unconditionally committed to european security and defence and want to work closely with our european partners to keep all of our citizens safe and our continent secure. 2. in the sdsr we identified four challenges likely to drive uk security priorities for the coming decade. the challenges have become more complex,",659,113,130,5,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
19,"intertwined and dangerous as the world has become more uncertain and volatile. domestic, overseas and online threats are increasingly integrated as adversaries develop capabilities and exploit vulnerabilities across borders and between the cyber and physical worlds. we have also added two additional challenges : - the increasing threat posed by terrorism, extremism and instability ; - the resurgence of state - based threats ; and intensifying wider state competition ; - the erosion of the rules - based international order, making it harder to build consensus and tackle global threats ; and - the impact of technology, especially cyber threats and wider technological developments. and in addition : - the ongoing",719,111,130,5,unitedkingdom_2018_NationalSecurityCapabilityReview.md,2025-01-28 18:56:32
