chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"ministerio de defensa nacional! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 5. png ] ( 0 _ image _ 5. png )! [ 0 _ image _ 7. png ] ( 0 _ image _ 7. png ) ministerio del interior ministerio de relaciones exteriores ministerio de economia y finanzas montevideo, * * 2 3 u i c 2020 * *! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png )! [",350,92,130,0,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
2,"0 _ image _ 2. png ] ( 0 _ image _ 2. png )! [ 0 _ image _ 3. png ] ( 0 _ image _ 3. png )! [ 0 _ image _ 4. png ] ( 0 _ image _ 4. png )! [ 0 _ image _ 6. png ] ( 0 _ image _ 6. png ) visto : la propuesta de politica de defensa nacional, formulada por el consejo de defensa nacional ( codena ) ; resultando : 1 ) que la referida iniciativ",339,91,130,0,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
3,"##a cumple con lo establecido en la ley nº 18. 650 ( ley marco de defensa nacional ), de 19 de febrero de 201 o. 11 ) que el articulo 3º de la citada norma legal define como politica de defensa nacional, como una la politica publica, la cual debe propender a traves de acuerdos amplios a politicas de estado y debe cumplir con los principios generales del derecho interno y del derecho internacional, en coord",409,76,132,0,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
4,"##inacion con la politica exterior del estado ; 111 ) que el consejo de defensa nacional ( codena ) tiene atribuido, entre otros cometidos, el de asistir al poder ejecutivo a traves del asesoramiento al presidente de la republica, en la formulacion de la directiva de politica de defensa nacional, la que debera ser emitida en el primer ano de cada gobierno, de conformidad con lo dispuesto en el literal g ) del artic",418,74,132,0,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
5,"##ulo 2º del decreto nº 147 / 013, de 14 de mayo de 2013 ; considerando : 1 ) que la propuesta realizada por el consejo de defensa nacional ( codena ) constituye el documento de actualizacion, planificacion y ejecucion de la politica de defensa nacional para el periodo 2020 - 2025 ; 11 ) que dicho documento determina las directivas y los responsables de la ejecucion de la politica de defensa nacional a implementarse en el",425,77,133,0,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
6,"periodo 2020 - 2025 ; atento : a lo precedentemente expuesto y a lo dispuesto por la ley nº 18. 650, de 19 de febrero de 2010 y por el decreto nº 147 / 013, de 14 de mayo de 2013 ;! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) \ # el presidente de la republica decreta : articulo 1°. - apruebase la propuesta de politica de defensa nacional formulada por el consejo de",369,83,130,0,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
7,"defensa nacional ( codena ), la que luce como anexo y forma parte integrante del presente decreto. articulo 2°. - comuniquese, publiquese, etc.! [ 1 _ image _ 4. png ] ( 1 _ image _ 4. png )! [ 1 _ image _ 1. png ] ( 1 _ image _ 1. png )! [ 1 _ image _ 2. png ] ( 1 _ image _ 2. png )! [ 1 _ image _ 3. png ] ( 1 _",314,82,130,0,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
8,"image _ 3. png ) ' - - - - _ _ _ _ _ _ _ _ _,.! [ 1 _ image _ 5. png ] ( 1 _ image _ 5. png )",93,35,46,0,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
9,"# politica de defensa nacional directivas - periodo 2020 - 2025 1. - introduccion en febrero de 2010 se aprobo la ley 18. 650 denominada "" ley marco de defensa nacional "" ( lmdn ), norma que creo el sistema de defensa nacional y que definio sus componentes : a ) el poder ejecutivo, b ) el poder legislativo y c ) el consejo de defensa nacional ( codena ). en la reglamentacion posterior de este",395,76,130,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
10,"ultimo, se previo que en el primer ano de cada gobierno se formularan las directivas de polttica de defensa nacional "". ( dec. 147 / 013, art. 2 literal g ) cuya primera version se confecciono durante la administracion de gobierno 2010 - 2015 ( decreto 105 / 014 ). en esta oportunidad y en cumplimiento de lo dispuesto en esa normativa, se presenta la politica de defensa nacional correspondiente al periodo",408,72,130,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
11,"2020 - 2025, la que deja sin efecto y sustituye la version anterior emanada del decreto 105 / 014. la politica de defensa nacional es una politica publica y como tal puede definirse como "" [.... ] toda accion que se cumple desde la autoridad estatal leg { tima y que posee como peculiaridad regular el pretender cierto nivel de continuidad, y coherencia, aunque puede consistir, en determinadas circunstan",405,69,130,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
12,"##cias, en decisiones aisladas y seguidas de sus correspondientes cumplimientos "". ( aguilar villanueva, 1992 ) desde una perspectiva global y en concordancia con la normativa internacional, la politica de defensa adhiere a los principios enunciados en la carta de las naciones unidas y en la carta de la organizacion de estados americanos. a nivel interno, estos principios se refuerzan en la lmdn,",399,63,132,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
13,"en su articulo 3, donde se establece que la politica de defensa nacional debe cumplir "" [.... ] con los principios generales del derecho interno y del derecho internacional, en coordinacion con la politica exterior del estado ; y respetar, especialmente, los principios de autodeterminacion de los pueblos, de preservacion de la paz, de no intervencion en los asuntos internos de otras naciones, de sol",402,65,130,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
14,"##ucion padf ¡ ca de las controversias y de cooperacion entre los estados. se establece la accion diplomatica como primer instrumento de solucion de conflictos. "" esta misma ley, en su articulo 1, define a la defensa nacional como el conjunto de actividades civiles y militares dirigidas a preservar la soberania y la independencia de nuestro pa ( s, a conservar la integridad del territorio y de sus recursos estrate",417,70,132,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
15,"##gicos, as ( como la paz de la republica, en el marco de la constitucion y las leyes ; contribuyendo a generar las condiciones para el bienestar social, presente y futuro de la poblacion. en lo que refiere al accionar en materia de defensa, la lmdn adhiere, en su articulo 4, al ejercicio del derecho a la legitima defensa reservandose el "" [.... ] recurso del uso de",368,68,132,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
16,"la fuerza para los casos de agresion militar, sin perjuicio de ejercer todos los medios disuasorios y preventivos que resulten adecuados "". a partir de las normas citadas anteriormente, este documento tiene como objetivo la definicion de las directivas de politica de defensa nacional para el quinquenio 20202025. dentro del proceso metodologico para su formulacion, se definieron y alinearon los componentes inherentes a",421,63,130,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
17,"toda politica de defensa, a saber : 1. una perspectiva general de las principales amenazas a nivel global y regional. 2. definiciones conceptuales actualizadas en materia de seguridad y defensa. 3. la determinacion de tres niveles de objetivos, alineados de lo mas general a lo mas particular en materia de defensa nacional. 4. la definicion de las amenazas que obstaculizan y ponen en peligro la consecucion de",411,67,130,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
18,"esos objetivos. descritos y definidos estos componentes, se procedio a un proceso de analisis conjunto de los mismos, de manera de valorar la forma mas eficiente y eficaz de cumplir con los objetivos y salvaguardarlos de las amenazas. para ello, el documento arriba a su cometido final, definiendo dos grandes lineamientos estrategicos, que reflejan un gran "" paradigma defensivo """,381,60,130,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
19,"que guia y encauza a las directivas propiamente dichas, elaboradas como resultado del proceso anterior y adecuadas a los medios y recursos del estado disponibles. en cuanto a su formato, al * * que hacer * * con el que se define cada directiva en un numeral, se le agrega * * quien lo debera hacer, * * asignando, de esa forma, responsabilidades concretas para su cumplimiento. a",379,68,130,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
20,"manera de conclusion final, el documento no se explaya en consideraciones geopoliticas y en la construccion de escenarios, tarea propia y prevista en la futura redaccion de un libro blanco de defensa.",200,32,63,1,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
21,"# 11. - situacion mundial ensayar un analisis actual de la seguridad internacional corre el riesgo de caer en omisiones o simplificaciones, dada la complejidad de valoraciones que los actores del sistema internacional deben realizar, a la hora de disenar sus estrategias de seguridad y defensa. a esta multiplicidad de factores se le debe agregar la aparicion de la pandemia de covid 19, con la potencialid",406,66,130,2,uruguay_2020_NationalDefense_noneng.md,2025-01-28 18:58:07
