chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"- - - - -, ~ ( ) r ' n j 0 _ ' _ _ { l0 ·! ldj., ' y _ _ c 1 _ ii * * na 0 * * * * al * *",89,40,48,0,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
2,# # # # cu y,12,6,8,1,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
3,# # # # # egy * * fth * * * * uni ed sta * * * * the white house * * * * january 1988 * * - - - - - * * navalpostgraouateschool * * * * monterey ca 9394 ~ 51 01 * * * * contents * * * * preface... iv * * arms reductions... 15 maintaining conventional deterrence... 18 * * i. historical dimensions of u. s. * * maintaining a ational mobilization base... 21 * * national security strategy... 1 * * _ supporting policies,417,96,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
4,"... 22 _ u. s. national space policy... 22 * * ii. * * * * u damentals of u. s. * * * * ational * * u. s. intelligence policy... 23 * * security strat gy... 3 * * _ the framework - values, interests, and _ * * iv. integrating elements of power into * * _ national security objectives... 3 _ * * national security strategy... 25 * * _ principal threats to us. interests... 5 _ _ strategy for the western hemisphere... 25 _",421,89,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
5,"_ strategy for the soviet union and eastern _ _ europe... 26 _ * * iii. power, policy and strategy... 7 * * _ strategy for western europe and _ _ elements of us. ' national power... 7 _ _ nato... 27 _ a period of transition... 8 _ strategy for the middle east and south _ _ asia... 29 _ _ us. diplomatic policy... 9 _ _ strategy for east asia and the pacific... 30 _ policies to move america forward... 9 _ strategy for africa... 32 _ informational support to diplomatic",470,93,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
6,"power... 10 _ strategy for low intensity conflict... 34 _ _ us. economic policy... 11 _ international economic policy... 11 * * v. executing the strategy... 37 * * _ us. defense policy... 13 _ a policy of deterrence... 13 _ resource support... 37 _ maintaining strategic deterrence... 14 _ bipartisan cooperation... 40 _ iii - - - - - * * preface * * this statement of america ' s ational security strategy report therefore parallels that of last year, with changes builds on my initial report to the",500,90,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
7,"congress and the as necessary to reflect significant developments in the american people last year. in the twelve months since, interim. these include : the strategy outlined in that first report has served the nation well in protecting our interests and advancing - our persistence and adherence to principle have our security objectives around the world. borne fruit in the historic agreement to eliminate intermediate - range nuclear forces ( i nfl - the fi rst of in last year ' s report i noted that, at the outset of this the nuclear era to achieve meaningful reductions in administration, i had set forth four broad objectives u. s. and soviet arsenals. this treaty is a victory",685,117,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
8,"for that underpinned our ational security strategy. they the atlantic alliance as well, reflecting the firmness were : that all allies showed. we have also made further progress toward a start agreement that could cut - fi rst, to restore ou r nation ' s mil itary strength after a u. s. and soviet strategic offensive arms by 50 period of decline in which the soviet union percent. overtook us in many critical categories of military power ; - our sol program is making great progress, moving us toward the prospect of a safer world - one wh ich - second, to restore our nation ' s economic strength depends for its",616,112,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
9,"security on strategic defense, rather and reinvigorate the world economic system ; than on the threat of mutual nuclear retaliation. - thi rd, to restore the nation ' s international prestige - in the persian gulf we have augmented our as a world leader ; and traditional military presence to prevent iran from interfering with u. s. - flag shipping and to support - fourth, to restore pride among all americans and our diplomatic efforts to bring an end to the tragic carry our message to the world that individuals and iran - iraq war. our allies ' contributions to the safe not governments should control their economic, navigation of the gulf by non - bell",660,116,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
10,"##igerent shipping spiritual and political destinies. are welcomed, and underline the importance which the free world ascribes to this strategically and our national security strategy continues to be aimed economica ily pivota i region of the world. at reinforcing the gains we have achieved in each of these areas, while employing all the elements of our - critical imbalances remain in the international national power - political, economic and military - in a economy which could portend problems ahead coordinated way to advance the full range of national unless they are addressed in a forthright and security interests outlined elsewhere in this report. effective manner",676,105,133,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
11,"by the governments of the industrialized nations. the major world economies, the fundamentals of our strategy change little from including our own, are sound and can provide the year to year ; our interests and objectives are derived basis for continued growth and prosperity, provided from enduring values. much of the discussion in this we and our partners deal with important fiscal, iv - - - - - trade and budgetary issues insensible and - at home, however, the reluctance on the part of the cooperative ways. congress to provide the financial resources necessary to support our national security strategy - in the soviet union we hear talk of "" new thinking "" is",667,114,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
12,"a cause for rising concern. our assessment of and of basic changes in soviet policies at home risks to important u. s. interests has increased, and and abroad. we will welcome real changes, but we some of the recent gains in redressing the military have yet to see any slackening of the growth of and geopolitical balance are in jeopardy. the im - plications of this adverse trend, now in its third soviet military power, or abandonment of expan - year, are discussed in more detail in the final sioni st aspi rations. as we work to find areas for fu r - chapter of th is",571,107,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
13,"report. ther cooperation, we will continue to judge the soviets by thei r actions, rather than thei r words, and i forward this report with the confidence that it will to found our national security strategy on a help the congress and the american people better realistic view of soviet aims and capabilities. understand our ational securi ty strategy and con - tribute to the consensus needed to enable us to fulfill - on many continents, efforts by the soviet union our responsibilities as leader of the world ' s and its clients to impose or maintain leninist democracies. regimes by force of arms are meeting increasing resistance. in afghanistan, nicaragua",661,111,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
14,", angola, and as i said in last year ' s report, we must never forget cambodia, anti - com mu nist insurgencies are raising that freedom is never really free ; it is the most costly the cost of aggression and offering hope of just thing in the world. and freedom is never paid for in a political solutions. our strong support for freedom lump sum. installments come due in every generation. fighters, from afghanistan to nicaragua, is a vital all any of us can do is offer the generations that insurance policy for peace with freedom. we are follow a chance for freedom. in the final analysis, this is the",605,112,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
15,"assurance that our national security strategy encouraging the broader democratic trend in the seeks to provide. i commend its reading to all world - from latin america to the philippines, to the americans. republic of korea. q ~ ~ january 1988 v - - - - - * * i. hi tor · c * * * * ime * * * * sions of * * * * u. s. * * * * ational security * * * * trategy * * this is my second report to the congress on our is the conviction that the united states ' most basic na - national security strategy. its focus is on",512,113,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
16,"how the tional security interests would be endangered if a principal elements of national power - diplomatic and hostile state or group of states were to dominate the informational, economic and military - can be eurasian landmass - that area of the globe often re - employed to support our national interests and pro - ferred to as the world ' s heartland. we fought two mote the objectives of peace, security, and freedom. it world wars to prevent this from occurring. and, since analyzes the major political, economic, and military 1945, we have sought to prevent the soviet union threats to our interests, and discusses the strategies from capital",651,110,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
17,"##izing on its geostrategic advantage to that we believe most appropriate to respond to those dominate its neighbors in western europe, asia, and threats and to help shape the future in accordance the middle east, and thereby fundamentally alter the with our positive goals and ideals. it also discusses global balance of power to our disadvantage. some of the dilemmas, tradeoffs and risks that america faces, because we realize that our knowledge the national strategy to achieve this objective has of our adversaries is never certain and that all been containment, in the broadest sense of that term. resources, including our national will, are finite. administrations have differed",685,108,133,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
18,"over which instruments of national power - diplomatic and informational, walter lippmann once wrote : economic or military - should receive the most atten -... the behavior of nations over a long period of tion at any particular time. but, in the final analysis, time is the most reliable, though not the only index every administration since world war ii has endorsed of their national interests. for though their interests the concept that the united states, in partnership with are not eternal, they are remarkably persis - its allies, must prevent the soviet union from domi - tent... there is no great mystery why this should",630,106,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
19,"nating those great concentrations of industrial power be : the facts of geography are permanent... thus and human capacity that are western europe and east successive generations of men tend to face the same asia. thus, shortly after world war ii, the united recurrent problems and to react to them in more or states helped rebuild, through the marshall plan, the less habitual ways. war - ravaged economies of europe, limiting soviet op - portunities to exploit europe ' s economic distress. in lippmann ' s observation is particularly apt. while it is addition, america deployed military forces forward, as commonplace to hear that u. s",638,106,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
20,". national security necessary, to help deter and contain soviet military strategy changes erratically every four to eight years as expansion. as soviet capabilities grew, our security a result of a new administration taking office, in reali - also required a large strategic nuclear force to aug - ty there is a remarkable consistency over time when ment the forward - deployed conventional deterrent and our policies are viewed in historical perspective. the to reinforce our deterrence of both nuclear and con - core interests and objectives of this nation have ventional attacks on ourselves or our allies. changed little since world war ii. the advent of nuclear weapons and intercontinental the first historical dimension",726,115,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
21,"of our strategy is delivery systems added another dimension to our relatively simple, clear - cut, and immensely sensible. it thi nking about ational secu rity strategy : these 1 - - - - - weapons became the primary threat to our national the united states has long recognized that, even as survival. thus, for over forty years, the deterrence of we have taken up a major role of world leadership, nuclear war and the reduction of its threat have been our interests and political values call for a deepening major objectives of u. s. national security strategy. we partnership with like - minded nations to advance the have pursued",631,110,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
22,"these objectives with renewed vigor, and cause of peace and freedom. thus, an abiding com - heartening results, during this administration. mitment to strong alliances has been a consistent and vital component of american strategy since the se - similarly, the economic element of our national power cond world war. even if we could afford, economi - has long been an important component of our na - cally and militarily, to chart our ational security tional security strategy. this administration ' s strong strategy without allies - which we cannot - we would support for an open and expanding world economy not want to do so",627,106,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
23,". "" fortress america "" is an obsolete and trading system reflects a fundamental national in - concept. such a policy would be dangerously mis - terest. the industrial democracies have long been im - guided and self - defeating. solidarity with our allies portant trading nations. an open world of enterprise multiplies the strength of all. it permits a sharing of and the free movement of people, goods, and ideas responsibilities and it reminds us that the cause of are not only the keys to our prosperity, but basic democracies is, after all, one of our most fundamental moral principles. we see an expanding global pros -",624,108,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
24,"goals. perity as enhancing our own. the global economy is clearly even more interdependent now than early in as with all administrations, during our stewardship we this century when america first endorsed these prin - have faced unique security challenges - and oppor - ciples ; and our need for access to markets and raw tunities - presented by a dynamic world and america ' s materials has increased. as a result, our commitment own needs. this has given our ational security to free and fair trade among nations is greater today strategy two additional emphases worth noting. the than ever. first is realism. we have sought",626,107,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
25,"to deal with the world as it is, not as we might wish it to be. a strategy the facts of geography, as lippmann pointed out, without illusions, based on observable facts, has been dictate basic dimensions of our national security our goal. we attempt to deal with both friends and strategy. since the early 19th century we have not adversaries on a basis that recognizes that acts are feared invasion of the american mainland ; and even more important than words, and that frankness is the to this day, our national territory remains relatively foundation of productive and enduring relationships secure against conventional attack, protected by among",650,108,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
26,"nations. at the same time, we have emphasiz - oceans on the east and west and friendly nations to ed our willingness to dialogue - to engage our adver - our immediate north and south. however, nuclear saries, in particular, in negotiations aimed at finding weapons and the means to deliver those weapons over areas of common interest, reducing sources of tension, great distances can now threaten our national survival. and rendering our relations more stable and predic - and most of our friends and allies - as well as the table. by emphasizing realism and a willingness to markets and resources that are integrated with our economy - are physically distant",659,112,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
27,"from the continental talk, we have been able to place our arms reduction united states. negotiations with the soviets on a more solid basis, culminating in the first agreement between the super - to help protect our friends and allies, and other u. s. powers to achieve significant reductions in nuclear interests abroad, we must not only possess national arsenals. strength, but we must be able to project this power - diplomatic and informational, economic, and this list of historical dimensions of u. s. ational military - across great sea and air distances. in the security strategy could be extended. academics and military sphere, we must maintain the capability",669,109,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
28,"to practitioners have debated the issue for years. but the secure our worldwide lines of communication ; to pro - fundamental point should be clear : there has been im - ject military power quickly ; to sustain forces at great pressive continuity in u. s. national security strategy, distances for extended periods of time ; and to pose a reflecting the fact that the strategy is grounded in un - credible deterrent to those who might contemplate changing geographic considerations, and designed to aggression against our allies and friends. preserve the fundamental values of our democracy. 2 - - - - - * * ii. fundamen a s of * * * *",635,114,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
29,"a ona • * * * * u. s. * * * * security strategy * * * * _ the framework - values, _ * * dependent nation, with its fundamental values intact1. the survival of the united states as a free and in - and its institutions and people secure. * * _ interests, and national _ * * * * _ security objectives _ * * 2. a healthy and growing u. s. economy to provide opportunity for individual prosperity and a resource base for our national endeavors. traditionally national security has been viewed as pro - tection from external allack, thought of largely in 3. a stable",560,111,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
30,"and secure world, free of major threats to terms of military defenses against military threats. but u. s. interests. that is clearly too narrow a conception. a nation ' s security today involves much more than the procure - 4. the growth of human freedom, democratic institu - ment and application of military forces. tions, and free market economies throughout the world, linked by a fair and open international trading national security strategy must start with the values system. that we as a nation prize. last year, in observing the 200th anniversary of our constitution, we celebrated 5. healthy and vigorous alliance relationships. these values",651,105,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
31,"with a sense of rededication - values such as human dignity, personal freedom, individual rights, the pursuit of happiness, peace and prosperity. these * * major objectives * * are the values that lead us to seek an international order that encourages self - determ ination, democratic * * in support of * * institutions, economic development, and human rights. * * u. s. interests * * the ultimate purpose of our national security strategy is to protect and advance those values. but, if they are u. s. national security objectives are broad goals to serve as the basis of a national security strategy, refined from our national",629,108,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
32,"interests. they provide a these values must be translated into the more concrete general guide for strategy in specific situations which terms of national interests and objectives. call for the coordinated use of national power. our principal national security objectives are : * * u. s. interests * * 1. to maintain the security of our nation and our allies. the united states, in cooperation with its allies, our national security. 5trategy reflects our national in - must seek to deter any aggression that could threaten terests and presents a broad plan for achieving the na - that security and, should deterrence fail, must be tional objectives that support",662,109,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
33,"those interests. the key prepared to repel or defeat any military attack and national interests which our strategy seeks to assure end the conflict on terms favorable to the united and protect include : states, its interests, and its allies. 3 - - - - - specifically : 3. to defend and advance the cause of democracy, - to d ter hostile attack on the united state, it fr edom, and human rights throughout the world. to citizens, military forces, or allies and to defeat ignore the fate 0 millions around the world wh seek attack if deterr nee fails. fre dom betrays our national heritage and over time would",607,110,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
34,"endanger our own freedom and that of our - to deal ffeetively with threat to the se urity of the allies. united states and its citizens sho of armed con - flict, including the threat of international terrorism. specifically : - to preven the domination of the eurasi n landmass - to promote national independence and the growth by the soviet union, or any other hostile power or of free institutio s worldwide. coalition of po ers. - to ncourag and support aid, trade, and invest - - to prevent transfer of milit rily critical technologie ment programs ihat promote",565,100,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
35,"economic develop - and resources to the soviet bloc and ho til coun - ment and the growth of free and humane social tries or groups. and political orders in the third world. - to reduce our reliance on nu lear eapons by - 0 encourage lib ralizing tendencies within the strengthenin our conventional forces, pursuing soviet un ion and its client states. equitable and verifiable arms control agreements and dev loping technologies for trate ic defense. 4. to resolve peacefully disputes which affect u. s. in - terest in troubled regions of th orld. regional con - - to assure unim",580,102,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
36,"##peded u. s. acce s to th oce ns and flict which involve allies or friends of the united space. states may threaten u. s. interests, and frequently pose - to foster closer relations with the people ' s republic the risk of escalation to wider confla ration. conflicts, of china. or attempts to subvert friendly governments, which are - to pr ent the spread of nuclear weap ns. instigated or supported by the soviets and their client state, represent particu larly erious threat to the in - 2. to respond to the challenges of the",529,96,132,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
37,"global co - ternational sy t m and th y to u. s. interests. nomy. our n tional security and economic strength are indivisibl. as lhe lobal economy evolves in in - specifically : cr asingly interdependent ways, we mu t b aware of - to addr s, where possible, the root causes of economic factors that may affect our national security, regional instabilities which create the risk of war. n w or in the future. since our d pendence on for - - to maint in ta i regional military balances ign sourc of supply",503,96,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
38,"has grown in many itical vis - - vis th soviet union and tates aligned with it. - to neutral ize the efforts of the soviet union to in - ar a, the potential vulnerability of our supply lines is crease its influence in the world, and to weaken the a matt r of con ern. additionally, the threat of a iinks etwe n the soviets and thei r cl ient states in global spiral of protectionism mu t be combatted, and the third world. the probl m of debt in the developing world is a - to aid in combatting threats to the stability of burden",529,107,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
39,"on international prosperity. friendly governments and in titutions from insurgen - cies, subversion, sta e - ponsored terrorism and the spe ifically : international traffickin of illicit drugs. - to promote a strong, prosperous and comp titive u. s. eco my, in the context of a table and grow - 5. to build effe tive and friendly relation hips with all ing world econ my. nati n with whom th r is a ba is of shared concern. - to ensure access to foreign markets, energy, and in the world today, there are over 150 nations",521,96,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
40,". not mineral re ources by the united state nd it allies ne of them is the equal of the united states in total and friends. power or wealth, ut each is sovereign, and most, if - to promote a well - functioning international eco - not all, tou h u. s. interests directly or indirectly. nomic system with minimal istor ions to t de nd spe ifically : inve ment, with stable urr n ies, and broadly - to make m jor int rnational institutions more effec - agreed and respect d rules for managing and tive in promoting",511,100,130,2,us_1988_NationalSecurityStrategy.md,2025-01-28 18:56:30
