chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # of thenationalmilitary strategy,35,5,12,0,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
2,# 2018,6,2,4,1,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
3,"# # # the joint staff - - - - - the 2018 national military strategy ( nms ) provides the joint force a framework for protecting and advancing u. s. national interests. pursuant to statute, it reflects a comprehensive review conducted by the chairman with the other members of the joint chiefs of staff and the unified combatant commanders. as an overarching military strategic framework, this strategy implements the substantial body of policy and strategy direction provided in the 2017 national security _ strategy, the 2018 national defense strategy ( nds ), the _ _ defense planning guidance ( dpg ), and other documents. _ the 2018 nms provides the",653,111,130,2,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
4,"chairman ’ s military advice for how the joint force implements the defense objectives in the nds and the direction from the president and the secretary of defense. the 2018 nms also reflects lessons learned from implementing global integration over the last two years. the strategy articulates a continuum of strategic direction to frame global integration into three strategy horizons to meet the challenges of the existing and future security environment. force employment addresses planning, force management, and decisionmaking to fulfill the defense objectives of the nds. force development adapts functions, capabilities, and concepts to improve the current joint force. force design innovates to enable the joint force to do",732,110,130,2,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
5,"what it does differently to retain a competitive advantage against any adversary. the vision of the joint force articulated in the 2018 nms is a joint force capable of defending the homeland and projecting power globally, now and into the future. - - - - -",256,46,52,2,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
6,"# # # # g pp from its global perspective, the nms premises an adaptive and innovative joint force capable of employing its capabilities seamlessly across multiple regions and all domains - - continuing the transition from a regional to a global mindset and approach. this strategy * * nds relevant security trends * * - reemergence of great - power competition anchors its - post - world war ii order — resilient but approach against a weakening set of clearly - technology and the changing character of war : identified security diffusion, competition, and new threats trends outlined in - empowered non - state actors the nds ( see inset ).",642,112,130,3,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
7,"- homeland is no longer a sanctuary - threat of weapons of mass destruction ( wmd ) these trends, - allies and partners — evolving opportunities especially those - battle of narratives posed by the - scale and urgency of change reemergence of great power competition with china and russia, represent the most difficult challenges facing the joint force. however, the full scope of global integration must recognize uncertainty and be vigilant for emerging threats to the security and interests of the united states, its allies and partners. in a security environment where the homeland is no longer a sanctuary and every operating domain is contested, competitors and adversaries will continue to operate",704,113,130,3,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
8,"across geographic regions and span multiple domains to offset or erode joint force advantages. to achieve military advantage over competitors and adversaries, the nms introduces the notion of joint _ combined arms, defined as the conduct of operational art _ _ through the integration of joint capabilities in all domains. _ the joint force and its leaders must be as comfortable fighting in space or cyberspace as they are in the other three traditional domains of land, sea, or air. - - - - -",494,85,99,3,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
9,"# # # # p y to guide force employment, the 2018 nms orients on the defense objectives in the nds as its ends. to implement those ends, the 2018 nms articulates five mutually supporting mission areas ( see inset ) as the principal ways that the joint force operates across the continuum of conflict in multiple regions and in all domains. defending the homeland is a joint force activity that cuts across all five mission areas and spans all joint functions. * * nms mission areas * * - respond to threats - deter strategic attack ( and proliferation of wmd ) - deter conventional attack - assure allies and partners - compete",625,114,130,4,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
10,"below the level of armed conflict ( with a military dimension ) the joint force will leverage a wide range of means to enhance force employment. dynamic force employment ( dfe ) serves as the force management framework to prioritize preparedness for war while meeting current force demands in day - to - day operations. by proactively shaping the security environment through identifying and exploiting strategic opportunities, dfe aligns joint force actions across multiple global campaign plans, defense critical missions, time horizons, warfighting domains, and geographic boundaries. as one of the principal methods by which the joint force operationalizes the nds ’ s global operating model, d",698,107,130,4,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
11,"##fe will assist in balancing current operational needs with readiness recovery and modernization to preserve joint force competitive advantage. the 2018 nms acknowledges the unique contributions of allies and partners, a strategic source of strength for the joint force. building a strong, agile, and resilient force requires better interoperability and enhancing the combat - - - - - nms also informs engagement with interagency partners, both abroad and domestically, to enable the joint force to best support the application of all instruments of national power throughout the continuum of conflict. to prepare the joint force for employment, exercises build readiness, interoperability, and the mutual trust required for",725,107,132,4,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
12,"a joint combined arms approach to global campaigning. those exercises are key to building interoperability, relationships, and capabilities of allies, partner nations, and interagency partners, as well as enabling units and leaders to “ punch above weight class ” when necessary. exercises can also facilitate near - term experimentation to rapidly incorporate innovative ideas and disruptive technologies that promote competitive advantage.",441,61,76,4,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
13,"# # # # force development and force design force development and force design are the expression of joint force adaptation and innovation under global integration to implement the nds ’ s direction to build a more lethal force. force development adapts current planning, decisionmaking, and force management processes to enable the joint force to do what it does _ better. force design enables the joint force to do what it _ does in fundamentally different and disruptive ways to ensure the joint force can deter or defeat future adversaries. as with force employment, the ends for force development and force design are drawn from the defense objectives of the nds. to implement those",686,114,130,5,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
14,"ends and build a combatcredible joint force capable of defending the homeland, deterring competitors, and defeating adversaries, the nms outlines three ways oriented on the investments in the joint force ’ s people, ideas, and equipment to maintain its competitive advantage. - - - - - the 2018 nms provides guidance to inform the development of a capstone concept for joint operations ( ccjo ). the ccjo will express the collective vision of the joint chiefs of staff for a joint force designed and able to out - think, outmaneuver, and out - fight any adversary under conditions of disruptive change. it will",610,103,130,5,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
15,"mark a shift to a concept - driven, threat - informed, capability development process and provide a campaign approach to unify service capabilities across materiel and non - materiel solutions. achieving the joint chiefs ’ vision will require people — the joint force ’ s primary source of competitive advantage — to continuously adapt and innovate to maintain their competitive edge. consistent with the guidance laid out in the nds, capability investments must emphasize military advantages in lethality and operational reach, while enabling the joint force to compete effectively below the level of armed conflict. - - - - - the 2018 national military strategy describes a roadmap for how the joint",701,112,130,5,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
16,"force will defend the homeland and retain its competitive advantage to deter competitors and defeat adversaries, whether great power competitors like china and russia or other security challenges, now and into the future. implementation of the strategy is informed by strategic frameworks, input from the field, and the judgment of senior leaders. the nms guides other joint documents including the joint strategic campaign plan, global campaign plans, the ccjo, and other capability development and program advice documents, and the body of assessments that benchmark those documents. collectively, the strategy and its related processes will enable the joint force to provide a range of military options that enhance the military contribution",744,110,130,5,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
17,"to national security and best serve the national interests of the united states. * * office of primary responsibility : * * strategy development division deputy directorate for joint strategic planning directorate for strategy, plans, and policy ( j - 5 ) the joint staff - - - - - - - - - -",291,55,60,5,us_2018_MilitaryStrategy.md,2025-01-28 18:55:34
